lambda_z,sigma_z_kPa,lambda_theta,sigma_theta_kPa
1.115,1.286201406589311,1.5988953902543248,1.1666085388980516
1.117,1.3063160868616976,1.60223401311425,1.2012638848613502
1.119,1.3045140761724954,1.602186296823295,1.15674420042349
1.121,1.3031514582279418,1.6022085443463467,1.1511557154270633
1.123,1.293273525233239,1.603136247905655,1.187773218268245
1.125,1.3272354424419521,1.6053666465541967,1.1555059466799265
1.127,1.3888010458625857,1.60951001393801,1.23094815928611
1.129,1.428380557420466,1.60792672133795,1.2128318461704868
1.131,1.4575653357516605,1.60446038619436,1.168531999127775
1.133,1.500115540351833,1.6013519818520365,1.1302816247944534
1.135,1.5555476944352853,1.59689731828102,1.04104337585202
1.137,1.6056401459984706,1.5963613315445233,1.12358857449242
1.139,1.6494203264762342,1.594224087334495,1.127095804206025
1.141,1.694497627661411,1.5870772217489968,1.1162953935943534
1.143,1.734391146628006,1.58784407369357,1.02625572651585
1.145,1.7851307716779254,1.5901321725406434,1.1580992585598568
1.147,1.8332170901818445,1.59071059719584,1.21848313015226
1.149,1.8839491965072515,1.5896912564975498,1.1599599610322633
1.151,1.924357698694907,1.58703821084503,1.13898409005389
1.153,1.9821686350445482,1.5785716424841334,1.1320305653718832
1.155,2.013863027454945,1.576497693487375,1.1697866608428749
1.157,2.0523588152154546,1.5760180206396102,1.1135476134301465
1.159,2.076378886278152,1.5755369100868202,1.1012549962890499
1.161,2.126027819269223,1.5635465430234599,1.0786165710474231
1.163,2.1698434783044056,1.5584091724138651,1.0427107276756749
1.165,2.221486163819408,1.5604785559804302,1.0373692115910433
1.167,2.247390608631435,1.5602847789692098,1.015699601067955
1.169,2.2535908447178783,1.5616185103406732,1.0358740336896133
1.171,2.2621984901466456,1.554707426015765,1.072629455955785
1.173,2.2779083086794665,1.5526219057003499,1.0698609967401653
1.175,2.2989046958602724,1.554502622314485,1.0108168732705365
1.177,2.3348825419396966,1.5426530421344935,1.0121452042854333
1.179,2.363903551519598,1.54125439578065,0.9655368120338835
1.181,2.400723549378015,1.54320986093936,1.0255874944532
1.183,2.4467868156002637,1.541582240774165,1.02891869637014
1.185,2.497180818832256,1.5383452428537134,1.0472903363702535
1.187,2.525009963084893,1.53499568586896,1.010856923558
1.189,2.5732819561207445,1.53237653786166,0.9718166791692123
1.191,2.637306586240009,1.535420337804375,0.9557311755823275
1.193,2.6823665640991408,1.5223469045091067,0.9626117405501544
1.195,2.7199734121788617,1.52759021205577,1.023244591266679
1.197,2.7857405550543537,1.5364967981555633,0.9702588152101139
1.199,2.8651658032816845,1.5222714372125379,0.9925180300012265
1.203,2.928641713830208,1.51515091379811,0.9429211251301914
1.205,2.9773575439930613,1.5213039706844869,1.006232049401737
1.207,3.0340161327789716,1.521818165811315,0.943406350511942
1.209,3.0919771881999822,1.520954277337496,0.9763630095963942
1.211,3.150743817932551,1.5174996547838866,1.0186137500761834
1.213,3.1951179732659383,1.5113741875937499,0.933511670006292
1.215,3.2475775660420196,1.49856512500575,0.9444276300934572
