lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa
1.221318263093,0.3238777728182339,1.492,12.1264533684782
1.2217837742068949,0.36836620441137913,1.492,11.642738912608191
1.2228933278028993,0.4068220445998868,1.492,11.943423791131933
1.2242237858806018,0.4368526501846131,1.492,12.132270504169792
1.225854401115957,0.46054698894330254,1.492,12.113299722314293
1.227620088439869,0.4797596365771358,1.492,12.093439756040862
1.229370442302169,0.4944444167237773,1.492,12.089690160305251
1.2311301773570298,0.5070941706228947,1.492,12.102389164949678
1.232920620173236,0.5185385641893222,1.492,12.126791605065023
1.2347364231972044,0.5289285255875301,1.492,12.159712200799094
1.2365722388753522,0.5384149829819886,1.492,12.197965672299697
1.2384227196540962,0.5471488645371685,1.492,12.238366739714634
1.2402825179798538,0.5552810984175399,1.492,12.277730123191716
1.2421462862990418,0.5629626127875733,1.492,12.31287054287875
1.2440086770580772,0.570344335811739,1.492,12.340602718923538
1.2458643427033769,0.5775771956545077,1.492,12.357741371473889
1.247708730081237,0.5847876441166936,1.492,12.361408743064677
1.2495522255852385,0.5916584347634224,1.492,12.355119903619336
1.2513992708911437,0.5980945899029346,1.492,12.34152401840749
1.2532493652501748,0.6041587159632482,1.492,12.3215516032754
1.2551020079135544,0.6099134193723807,1.492,12.296133174069324
1.2569566981325042,0.6154213065583503,1.492,12.266199246635523
1.2588129351582473,0.6207449839491747,1.492,12.232680336820254
1.2606702182420055,0.625947057972872,1.492,12.196506960469776
1.262528046635001,0.63109013505746,1.492,12.158609633430348
1.2643859195884566,0.6362368216309567,1.492,12.119918871548233
1.2662433363535943,0.6414497241213798,1.492,12.081365190669684
1.2680997961816363,0.6467914489567475,1.492,12.043879106640965
1.2699547983238053,0.6523246025650774,1.492,12.008391135308333
1.2718078420313232,0.6581117913743876,1.492,11.975831792518045
1.2736584265554125,0.664215621812696,1.492,11.947131594116364
1.2755060511472955,0.6706987003080205,1.492,11.923221055949547
1.2773508969501053,0.6775867183795095,1.492,11.904435919874548
1.2791981801374532,0.6846141970019219,1.492,11.886193539893647
1.2810475599222761,0.6917818635897638,1.492,11.867777608403117
1.2828971336970791,0.699171652238846,1.492,11.849739389956788
1.284744998854367,0.7068654970449803,1.492,11.832630149108489
1.2865892527866445,0.7149453321039778,1.492,11.817001150412043
1.2884279928864166,0.7234930915116501,1.492,11.803403658421281
1.2902593165461882,0.732590709363808,1.492,11.792388937690028
1.292081321158464,0.7423201197562634,1.492,11.78450825277211
1.2938921041157492,0.7527632567848277,1.492,11.780312868221355
1.2956858855987539,0.7646260842782341,1.492,11.780082674193828
1.2974498600109874,0.7802202518542926,1.492,11.782537396394197
1.2992088654362801,0.7965318036880662,1.492,11.787382282070745
1.300992767363626,0.8097947826108809,1.492,11.794833567516347
1.302813088344307,0.8201800687106694,1.492,11.873090176635674
1.3046540095920847,0.8288133058849766,1.492,11.987982293515094
1.3065027578734987,0.8344758060523758,1.492,12.019081025944095
1.3083656998957103,0.8378452847825397,1.492,11.974927581439667
1.3102353073717299,0.8404801412870595,1.492,11.91066846559625
1.3120973256696684,0.8437527737015735,1.492,11.865972552351758
1.3139411419657514,0.8491587290408786,1.492,11.864406171088923
1.31577268904984,0.857386976673836,1.492,11.873865098931496
1.3175965358461992,0.8675614899023719,1.492,11.887718801519881
1.3194167007128408,0.8787343638657354,1.492,11.90245290971722
1.3212372020077765,0.8899576937031759,1.492,11.914553054386657
1.3230620580890184,0.9002835745539423,1.492,11.920504866391333
1.324892535866329,0.9094554739007318,1.492,11.920468948790221
1.3267250086649127,0.9183775241339912,1.492,11.919835164855648
1.3285589104786673,0.9271306200894728,1.492,11.918879121365967
1.3303937708332778,0.935771046997787,1.492,11.917737369316303
1.3322291192544293,0.9443550900895438,1.492,11.916546459701781
1.3340644852678072,0.9529390345953531,1.492,11.915442943517528
1.335899398399096,0.9615791657458256,1.492,11.914563371758666
1.3377333881739815,0.9703317687715712,1.492,11.914044295420325
1.339567600178503,0.9791559278291914,1.492,11.914316231787947
1.3414114118529727,0.9874939462825026,1.492,11.917505632305755
1.3432612800633257,0.9955283118482084,1.492,11.923727325962894
1.3451109832600223,1.0035995139067355,1.492,11.932637315109003
1.346954299893522,1.0120480418385107,1.492,11.94389160209373
1.3487850084142845,1.021214385023961,1.492,11.957146189266712
1.3505968872727703,1.031439032843514,1.492,11.97205707897759
1.3523837149009013,1.0430624776321202,1.492,11.988280292143221
1.3541267807513258,1.0588083208549348,1.492,12.02134553964184
1.3558351809788804,1.0785355676594035,1.492,12.07236322421077
1.3575442904155233,1.0983059313161883,1.492,12.119474250370622
1.3592894838932101,1.1141811250959512,1.492,12.140819522642008
1.3610880883425824,1.1257836257003688,1.492,12.125647699451916
1.3629192695157792,1.135719516206062,1.492,12.09425896348695
1.3647625344871284,1.1440849811893525,1.492,12.070808541468395
1.3666048141587637,1.1509873208137356,1.492,12.071106899559428
1.3684563710563522,1.1567137183616107,1.492,12.080776247835677
1.3703147547326366,1.1616800972342425,1.492,12.095449740935173
1.3721761821369978,1.1663050272351099,1.492,12.112117915156926
1.3740368702188168,1.1710070781676927,1.492,12.12777130679995
1.375893035927474,1.1762048198354709,1.492,12.139400452163258
1.3777408962123496,1.1823168220419233,1.492,12.143995887545858
1.3795807982260897,1.1895212091323424,1.492,12.142874751752174
1.3814161998892027,1.197614838766528,1.492,12.139787212229429
1.3832478306218874,1.2064510651496347,1.492,12.13520302775944
1.385076419650705,1.2158832509221686,1.492,12.129591742576661
1.3869026962022186,1.2257647587246372,1.492,12.123422900915552
1.3887273895029892,1.2359489511975463,1.492,12.117166047010558
1.3905512287795798,1.246289190981403,1.492,12.11129072509614
1.3923749432585526,1.256638840716713,1.492,12.10626647940675
1.3941992621664692,1.266851263043984,1.492,12.102562854176846
1.396024914729892,1.2767798206037217,1.492,12.100649393640877
1.397851943019583,1.2864063667107513,1.492,12.101768558831157
1.3996783097589662,1.2961098452260036,1.492,12.108632032412364
1.4015039592770144,1.3059085947776243,1.492,12.120678661943382
1.403329054916844,1.3157804197550718,1.492,12.137056910785436
1.4051537600215718,1.3257031245478046,1.492,12.156915242299759
1.406978237934314,1.3356545135452795,1.492,12.179402119847573
1.4088026519981873,1.3456123911369566,1.492,12.20366600679011
1.4106271655563085,1.355554561712293,1.492,12.228855366488599
1.4124519419517934,1.3654588296607473,1.492,12.254118662304267
1.4142771445277595,1.3753029993717774,1.492,12.278604357598343
1.4161029366273223,1.3850648752348413,1.492,12.301460915732056
1.417929481593599,1.3947222616393977,1.492,12.32183680006663
1.419756942769706,1.404252962974905,1.492,12.3388804739633
1.4215854834987598,1.413634783630821,1.492,12.35174040078329
1.4234152671238771,1.422845527996604,1.492,12.359565043887828
1.4252464561339226,1.4318636519726267,1.492,12.361606232861481
1.4270791141609522,1.440698706668116,1.492,12.360853590040591
1.4289131275497675,1.449373436769878,1.492,12.35909671177727
1.4307483655813946,1.4579033915842785,1.492,12.356438150628385
1.4325846975368604,1.4663041204176819,1.492,12.352980459150812
1.4344219926971906,1.4745911725764533,1.492,12.348826189901416
1.4362601203434116,1.4827800973669578,1.492,12.344077895437072
1.4380989497565497,1.4908864440955596,1.492,12.338838128314649
1.4399383502176308,1.498925762068625,1.492,12.333209441091014
1.4417781910076815,1.5069136005925177,1.492,12.327294386323041
1.443618341407728,1.5148655089736036,1.492,12.321195516567602
1.4454586706987962,1.5227970365182468,1.492,12.315015384381562
1.4472990481619126,1.5307237325328127,1.492,12.308856542321795
1.449139343078103,1.5386611463236661,1.492,12.302821542945171
1.4509794247283945,1.5466248271971723,1.492,12.29701293880856
1.4528191623938127,1.5546303244596962,1.492,12.291533282468833
1.454658425355384,1.5626931874176027,1.492,12.286485126482859
1.4564970828941344,1.570828965377256,1.492,12.28197102340751
1.4583350042910905,1.579053207645022,1.492,12.278093525799655
1.4601720588272782,1.5873814635272654,1.492,12.274955186216165
1.4620081157837241,1.5958292823303513,1.492,12.272658557213912
1.463843044441454,1.6044122133606444,1.492,12.271306191349764
1.465676760182091,1.613141606441895,1.492,12.271007209755142
1.4675103969021601,1.62191621809176,1.492,12.271999844124927
1.46934439594654,1.63069372329085,1.492,12.274307252056781
1.4711786292943974,1.6394830152031399,1.492,12.277853385441393
1.4730129689249003,1.6482929869926033,1.492,12.282562196169444
1.474847286817216,1.6571325318232146,1.492,12.288357636131625
1.476681454950512,1.6660105428589478,1.492,12.295163657218616
1.4785153453039561,1.6749359132637764,1.492,12.302904211321106
1.4803488298567158,1.6839175362016756,1.492,12.311503250329778
1.4821817805879585,1.692964304836619,1.492,12.320884726135322
1.4840140694768515,1.7020851123325802,1.492,12.330972590628418
1.4858455685025629,1.7112888518535339,1.492,12.341690795699755
1.48767614964426,1.720584416563454,1.492,12.352963293240014
1.48950568488111,1.7299806996263147,1.492,12.364714035139887
1.4913340461922806,1.73948659420609,1.492,12.376866973290053
1.4931611055569396,1.749110993466754,1.492,12.389346059581202
1.494986734954254,1.7588627905722807,1.492,12.402075245904017
1.4968108063633923,1.7687508786866444,1.492,12.414978484149184
1.4986331917635212,1.7787841509738191,1.492,12.42797972620739
1.5004537631338082,1.7889715005977787,1.492,12.441002923969316
1.5022723924534214,1.7993218207224977,1.492,12.453972029325653
