param,index,value
base.iso._bth,,-3.912302268
base.iso._bz,,1.438612332
base.iso.bthz,,0.6789850745
base.aniso._α,,1.203154359
base.aniso._k1,0,2.248071359
base.aniso._k1,1,2.248071359
base.aniso._k1,2,-8.212499721
base.aniso._k1,3,-0.1273626074
base.aniso._k2,0,1.768272343
base.aniso._k2,1,1.768272343
base.aniso._k2,2,7.41771963
base.aniso._k2,3,1.258680839
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-1.852156304
base.aniso._kappa,1,-1.852156304
base.aniso._tau_raw,0,3.073653055
base.aniso._tau_raw,1,3.073653055
base.aniso._tau_raw,2,-0.7025815963
base.aniso._tau_raw,3,-0.2396401416
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-0.4621241031
base.aniso._lambda_lb_raw,1,-0.4621241031
base.aniso._lambda_lb_raw,2,-0.7920560779
base.aniso._lambda_lb_raw,3,-1.014062857
base.aniso._lambda_ub_raw,0,0.3901057236
base.aniso._lambda_ub_raw,1,0.3901057236
base.aniso._lambda_ub_raw,2,0.2260623436
base.aniso._lambda_ub_raw,3,1.758610351
base.aniso._logn_mu_raw,0,-2.01234979
base.aniso._logn_mu_raw,1,-2.01234979
base.aniso._logn_mu_raw,2,-1.354374853
base.aniso._logn_mu_raw,3,-3.073951663
base.aniso._logn_sig_raw,0,-3.545021492
base.aniso._logn_sig_raw,1,-3.545021492
base.aniso._logn_sig_raw,2,-2.403994875
base.aniso._logn_sig_raw,3,-1.289799991
base.aniso._beta_a_raw,0,0.2
base.aniso._beta_a_raw,1,0.2
base.aniso._beta_a_raw,2,0.2
base.aniso._beta_a_raw,3,0.2
base.aniso._beta_b_raw,0,0.2
base.aniso._beta_b_raw,1,0.2
base.aniso._beta_b_raw,2,0.2
base.aniso._beta_b_raw,3,0.2
base.aniso._recruit_ref_stretch,,1.465309059
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
