param,index,value
base.iso._bth,,-4.488323434
base.iso._bz,,1.903946908
base.iso.bthz,,0.6324105014
base.aniso._α,,0.8759308593
base.aniso._k1,0,3.034254951
base.aniso._k1,1,3.034254951
base.aniso._k1,2,-8.694276313
base.aniso._k1,3,-0.2913418003
base.aniso._k2,0,2.360885968
base.aniso._k2,1,2.360885968
base.aniso._k2,2,7.58801515
base.aniso._k2,3,1.330581119
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-3.169594252
base.aniso._kappa,1,-3.169594252
base.aniso._tau_raw,0,3.728814223
base.aniso._tau_raw,1,3.728814223
base.aniso._tau_raw,2,-0.696150107
base.aniso._tau_raw,3,-0.7225838536
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-0.6161549162
base.aniso._lambda_lb_raw,1,-0.6161549162
base.aniso._lambda_lb_raw,2,-0.7927976093
base.aniso._lambda_lb_raw,3,-1.018083989
base.aniso._lambda_ub_raw,0,0.2257573981
base.aniso._lambda_ub_raw,1,0.2257573981
base.aniso._lambda_ub_raw,2,0.2346436771
base.aniso._lambda_ub_raw,3,1.750650473
base.aniso._logn_mu_raw,0,-2.135413152
base.aniso._logn_mu_raw,1,-2.135413152
base.aniso._logn_mu_raw,2,-1.342640538
base.aniso._logn_mu_raw,3,-3.061414582
base.aniso._logn_sig_raw,0,-4.545319001
base.aniso._logn_sig_raw,1,-4.545319001
base.aniso._logn_sig_raw,2,-2.435328327
base.aniso._logn_sig_raw,3,-1.276544951
base.aniso._beta_a_raw,0,0.2
base.aniso._beta_a_raw,1,0.2
base.aniso._beta_a_raw,2,0.2
base.aniso._beta_a_raw,3,0.2
base.aniso._beta_b_raw,0,0.2
base.aniso._beta_b_raw,1,0.2
base.aniso._beta_b_raw,2,0.2
base.aniso._beta_b_raw,3,0.2
base.aniso._recruit_ref_stretch,,1.465309059
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
