lambda_z,sigma_z_kpa
1.251,3.487634439318398
1.2522756892230575,3.526723050279838
1.253,3.4957760466635164
1.2535513784461152,3.555330573232455
1.2548270676691728,3.5867963612895646
1.255,3.5625896226540754
1.2561027568922305,3.619720717557071
1.257,3.6632765889492567
1.2573784461152882,3.6521856398299812
1.2586541353383458,3.682506714882967
1.259,3.7427301439008853
1.2599298245614035,3.7094976729012186
1.261,3.7685076894457374
1.261205513784461,3.735024474621792
1.2624812030075188,3.7553413921690404
1.263,3.7620250667557675
1.2637568922305764,3.7685906310062913
1.265,3.7563625645592063
1.265032581453634,3.780099716650464
1.2663082706766917,3.7929975457502234
1.267,3.802516866424179
1.2675839598997494,3.808322850503147
1.268859649122807,3.826767590806465
1.269,3.7971796409549707
1.2701353383458645,3.847767362171525
1.271,3.8595261395509213
1.271411027568922,3.8706346500683164
1.2726867167919798,3.8931367594862034
1.273,3.9143582948124136
1.2739624060150374,3.9177202081546754
1.275,3.946259627536501
1.275238095238095,3.945381876401769
1.2765137844611527,3.9703361652761036
1.277,3.968271235720482
1.2777894736842104,3.990605625359904
1.279,4.020968301835029
1.279065162907268,4.009248995980937
1.2803408521303257,4.028178220659309
1.281,4.059064815095997
1.2816165413533833,4.048742835999386
1.282892230576441,4.0687286582985305
1.283,4.052887163042708
1.2841679197994986,4.086285986537532
1.285,4.08828765991996
1.2854436090225563,4.1016845159863955
1.286719298245614,4.117063757850086
1.287,4.141418564158896
1.2879949874686716,4.134638025716121
1.289,4.144180165345064
1.2892706766917292,4.156739908523503
1.2905463659147869,4.179100856610207
1.291,4.1656707338466985
1.2918220551378445,4.199518776649244
1.293,4.2125085659025885
1.2930977443609022,4.22179613348552
1.2943734335839598,4.247982431045185
1.295,4.2702156496228865
1.2956491228070175,4.276861859443066
1.2969248120300751,4.307601834452971
1.297,4.284365566273567
1.2982005012531328,4.339250744854489
1.299,4.367817774699167
1.2994761904761905,4.371606281767402
1.300751879699248,4.401311162509156
1.301,4.412553431190133
1.3020275689223058,4.428778586414987
1.303,4.461022492512759
1.3033032581453634,4.4568080149254685
1.304578947368421,4.481396029749796
1.305,4.518663649558351
1.3058546365914787,4.503816451869786
1.307,4.5205761967979425
1.3071303258145361,4.524524747966871
1.3084060150375938,4.543214588068492
1.309,4.54265600946159
1.3096817042606514,4.559605336167865
1.310957393483709,4.576424301792522
1.311,4.581071291226811
1.3122330827067668,4.596024623465731
1.313,4.6010324706320915
1.3135087719298244,4.61691067816939
1.314784461152882,4.635573987971114
1.315,4.619241698599767
1.3160601503759397,4.650966514214854
1.317,4.6921703359463
1.3173358395989974,4.666271561018518
1.318611528822055,4.683473060391769
1.319,4.714284911529187
1.3198872180451127,4.703229904152259
1.321,4.691254153181043
1.3211629072681703,4.723922158676139
1.322438596491228,4.742677510722132
1.323,4.728435098328122
1.3237142857142856,4.760282471970969
1.3249899749373433,4.778149957296688
1.325,4.783753521834224
1.326265664160401,4.797828757091394
1.327,4.814972023703908
1.3275413533834586,4.818593894089174
1.3288170426065162,4.839864533267389
1.329,4.858291248513137
1.3300927318295739,4.862067674781557
1.331,4.881179926221342
1.3313684210526315,4.884257568550047
1.3326441102756892,4.9057593515804
1.333,4.8811665244933895
1.3339197994987468,4.924589035161517
1.335,4.942631158785216
1.3351954887218045,4.942709173307265
1.3364711779448621,4.962695324075148
1.337,4.997762656339514
1.3377468671679198,4.986856555378258
1.339,4.995789031617929
1.3390225563909774,5.015230994394534
1.340298245614035,5.043087861698698
1.341,5.029096556394121
1.3415739348370925,5.066139215011045
1.3428496240601504,5.088206806983063
1.343,5.104281545942962
1.3441253132832078,5.112995069211036
1.345,5.161611917754802
1.3454010025062655,5.142902861905797
1.3466766917293231,5.1725786806309975
1.347,5.154300154886016
1.3479523809523808,5.199050543491545
1.349,5.212036406778054
1.3492280701754384,5.225258999564617
1.350503759398496,5.252011576754992
1.351,5.282923289243031
1.3517794486215537,5.280556941972851
1.353,5.286948660090712
1.3530551378446114,5.312201352331573
1.354330827067669,5.344752514589424
1.355,5.358416974693304
1.3556065162907267,5.379664573213516
1.3568822055137844,5.414615116979997
1.357,5.420723892800804
1.358157894736842,5.451265846712276
1.359,5.454505775377459
1.3594335839598997,5.488239328921647
1.3607092731829573,5.522767908639958
1.361,5.54790541643349
1.361984962406015,5.556327045056964
1.363,5.6128506202625115
1.3632606516290726,5.591096708973749
1.3645363408521303,5.6271445157216835
1.365,5.624345054082845
1.365812030075188,5.661460666865007
1.367,5.675862375641973
1.3670877192982456,5.691543891183038
1.3683634085213032,5.719534359261175
1.369,5.75524986055382
1.3696390977443609,5.74764252962702
1.3709147869674185,5.776805682058001
1.371,5.784861058778032
1.3721904761904762,5.8044520922348575
1.373,5.818824755827827
1.3734661654135338,5.828613266858532
1.3747418546365915,5.850083150261496
1.375,5.874509562307958
1.376017543859649,5.872103889390842
1.377,5.8934554069850735
1.3772932330827068,5.897692155900025
1.3785689223057642,5.926467124489536
1.379,5.897712402364226
1.379844611528822,5.957762059098312
1.381,5.958089770517854
1.3811203007518795,5.9894024873900795
1.3823959899749372,6.022437844951846
1.383,6.038038850160481
1.3836716791979948,6.0561140818551396
1.3849473684210525,6.091638959659131
1.385,6.115496697120692
1.3862230576441101,6.1270853309907505
1.387,6.175329253152369
1.3874987468671678,6.162782903895571
1.3887744360902254,6.196379315928226
1.389,6.199941502668352
1.390050125313283,6.227359791692461
1.391,6.231513452884006
1.3913258145363407,6.255001529921043
1.3926015037593984,6.281511303446522
1.393,6.297280942550789
1.393877192982456,6.308735371094179
1.395,6.340556694828458
1.3951528822055137,6.3360235532264015
1.3964285714285714,6.3631152014035
1.397,6.370904889566537
1.397704260651629,6.389556360020709
1.3989799498746867,6.416414959152882
1.399,6.427046324554695
1.4002556390977443,6.444694921255397
1.401,6.452074216275018
1.401531328320802,6.473457684784224
1.4028070175438596,6.502613664120537
1.403,6.483201380851237
1.4040827067669173,6.531093042067123
1.405,6.562083136282915
1.405358395989975,6.559838890772371
1.4066340852130326,6.592051391004274
1.407,6.610621951102548
1.4079097744360902,6.628299406330242
1.409,6.6414336317840466
1.4091854636591479,6.664417909276208
1.4104611528822055,6.69829173245759
1.411,6.701334974412103
1.4117368421052632,6.730968909253002
1.413,6.786392143905988
1.4130125313283206,6.762315600175994
1.4142882205513785,6.792581506649238
1.415,6.815691886255937
1.415563909774436,6.820911633980819
1.4168395989974936,6.847638109395255
1.417,6.869164300132479
1.4181152882205512,6.872380563280773
1.419,6.895520418602992
1.4193909774436089,6.89398185717266
1.4206666666666665,6.9156073102920885
1.421,6.903247362916307
1.4219423558897242,6.936032319468096
1.423,6.950972553701173
1.4232180451127818,6.9549697330923195
1.4244937343358395,6.974525306595258
1.425,6.991160178578248
1.4257694235588971,6.99582995308265
1.427,7.013861091292071
1.4270451127819548,7.019487750161119
1.4283208020050124,7.043039070133643
1.429,7.046343502707084
1.42959649122807,7.065168791709338
1.4308721804511277,7.088573612514392
1.431,7.091669544568216
1.4321478696741854,7.114836768576103
1.433,7.132109968292387
1.433423558897243,7.145000186439822
1.4346992481203007,7.17829526306407
1.435,7.158488031533029
1.4359749373433583,7.214343159049978
1.437,7.2264774817613535
1.437250626566416,7.254290209210382
1.4385263157894737,7.298295536244405
1.439,7.304557072743645
1.4398020050125313,7.346568048459598
1.441,7.380394816283338
1.441077694235589,7.396142709189255
1.4423533834586466,7.445559240116323
1.443,7.480738000150801
1.4436290726817043,7.495933923869275
1.444904761904762,7.546105452383735
1.445,7.57671945540629
1.4461804511278196,7.595597831156215
