lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.56817565769097,5.24707049223064,1.251,2.80972275984515,1.246542,13.808,56.295,24.15377895,146.030122036942
1.56817565769097,5.24707049223064,1.251,2.80972275984515,1.246542,13.808,56.295,24.15377895,146.030122036942
1.56817565769097,5.27007903663507,1.251,2.82000559045845,1.25200812,13.808,56.295,24.15377895,146.564553060104
1.56564525705317,5.25106660600961,1.251,3.35836488680056,1.25200812,13.79,56.295,52.6224839,174.544777610406
1.56564525705317,5.52505474752219,1.251,3.48076685047444,1.31733492,13.79,56.295,52.6224839,180.9063923392
1.56001864351544,5.48068850980791,1.251,3.74866027747547,1.31733492,13.75,56.295,67.6854983,194.829655657895
1.56031783312729,5.35833434468845,1.253,3.69669752970465,1.28507148,13.75,56.385,67.6854983,191.822317978748
1.56031783312729,5.35833434468845,1.253,3.7910028086035,1.28507148,13.75,56.385,72.57901665,196.715836328748
1.564677847795,5.43722803943079,1.253,3.82784594518356,1.2958704,13.781,56.385,72.57901665,198.627633494624
1.5649749274808,5.44925563314923,1.255,3.91022601884976,1.2958704,13.781,56.475,76.42322345,202.579000381536
1.56778564347975,5.20774955374495,1.255,3.80329641351856,1.23347664,13.801,56.475,76.42322345,197.039245785571
1.56808099604595,5.21922984187285,1.257,3.56750802409863,1.23347664,13.801,56.565,63.81187155,184.529569828726
1.56808099604595,5.384516735914,1.257,3.64141780786733,1.2725394,13.801,56.565,63.81187155,188.352557895703
1.56414657747763,5.35434153927096,1.257,3.72451854339547,1.2725394,13.773,56.565,68.8819096,192.65094850222
1.56444178348425,5.4853232530711,1.259,3.78574488542267,1.30080324,13.773,56.655,68.8819096,195.506815853204
1.5557235007983,5.41712776980373,1.259,3.86578080092851,1.30080324,13.711,56.655,74.75609295,199.64010202753
1.55601968865942,5.39569489554177,1.261,3.85908121817731,1.29280404,13.711,56.745,74.75609295,198.978027193551
1.55601968865942,5.39569489554177,1.261,3.90396727725345,1.29280404,13.711,56.745,77.07046235,201.292396593551
1.5640334350023,5.24195094276501,1.261,3.83818534836082,1.24160916,13.768,56.745,77.07046235,197.900615572102
1.5643266887523,5.2534517318954,1.263,3.4570571100755,1.24160916,13.768,56.835,57.0354764,177.96700506273
1.56811839571534,5.16739661785023,1.263,3.41989567894815,1.21467852,13.795,56.835,57.0354764,176.053959257874
1.56840972740001,5.17869039998464,1.265,3.6850034198759,1.21467852,13.795,56.925,70.28426055,189.401606402098
1.56840972740001,5.23950917649636,1.265,3.71222084119663,1.22894376,13.795,56.925,70.28426055,190.800525950575
1.56686557371553,5.22798795670868,1.265,3.81718694560514,1.22894376,13.784,56.925,75.97211755,196.195568105898
1.56715621850104,5.2808884516836,1.267,3.84373347022286,1.23867612,13.784,57.015,75.97211755,197.248150159072
1.56280358402504,5.24815927642053,1.267,3.91583846383504,1.23867612,13.753,57.015,80.50278985,200.948348603479
1.56280358402504,5.19845117004608,1.267,3.89360785642061,1.22694396,13.753,57.015,80.50278985,199.807544688905
1.56280358402504,5.19845117004608,1.267,3.91023356847959,1.22694396,13.753,57.015,81.3559684,200.660723238905
1.55802643360411,5.18036521412744,1.267,3.90046594350294,1.23107688,13.719,57.015,81.3559684,200.159479858474
1.55831814072568,5.19168818067817,1.269,3.66165793067164,1.23107688,13.719,57.105,68.7053899,187.608467854205
1.56562129250335,5.23147580349863,1.269,3.68202368917901,1.22761056,13.771,57.105,68.7053899,188.651926534016
1.56591028595464,5.24284975154639,1.271,3.63033341868537,1.22761056,13.771,57.195,65.6653284,185.710838715998
1.56591028595464,5.15858153225568,1.271,3.59261516396559,1.2078792,13.771,57.195,65.6653284,183.781349627513
1.55523617131589,5.08028819808751,1.271,4.09565836875572,1.2078792,13.695,57.195,93.3789213,209.514681720682
1.55552658185309,5.14643117103071,1.273,4.12861990167773,1.22094456,13.695,57.285,93.3789213,210.86902329183
1.5596006956302,5.17662672634473,1.273,4.07308291681251,1.22094456,13.724,57.285,89.77988075,208.032474993852
1.55988914031771,5.12045134586658,1.275,4.05124319127776,1.20507948,13.724,57.375,89.77988075,206.592436566607
1.55988914031771,5.12045134586658,1.275,3.71970632097281,1.20507948,13.724,57.375,72.87321615,189.685771966607
1.5701312962389,5.17285879550546,1.275,3.74669224339326,1.19974668,13.797,57.375,72.87321615,191.061914351206
1.57041640857494,5.1840140243032,1.277,3.6947427509044,1.19974668,13.797,57.465,69.83315465,188.117672540624
1.56508802702898,5.14483145475124,1.277,3.67536364126799,1.19974668,13.759,57.465,69.83315465,187.130985984485
1.56537332470963,5.31864270749637,1.279,4.15674495833223,1.23760956,13.759,57.555,90.21137335,211.309548770855
1.56537332470963,5.31864270749637,1.279,4.15674495833223,1.23760956,13.759,57.555,90.21137335,211.309548770855
1.56312903750571,5.32447425556497,1.279,4.15855954088787,1.24294236,13.743,57.555,90.21137335,211.401793694439
1.56341383201093,5.33594228958767,1.281,4.28447872574267,1.24294236,13.743,57.645,96.17381655,217.462887010164
1.55780108035093,5.38067944284446,1.281,4.3024878057046,1.26347364,13.703,57.645,96.17381655,218.376955388515
