sigma_theta_kPa,lambda_theta
0.0,0.3693224185443345
0.12512551069279748,0.519624607383091
0.25025102138559496,0.588825823864215
0.37537653207839244,0.6289985701494116
0.5005020427711899,0.6847742813219633
0.6256275534639875,0.7311362823266866
0.7507530641567849,0.7581602353001144
0.8758785748495823,0.800549549524105
1.0010040855423799,0.840561285272372
1.1261295962351774,0.8563701951821461
1.251255106927975,0.8863669794030727
1.3763806176207722,0.9140215176132682
1.5015061283135698,0.9492758561353102
1.6266316390063673,0.9765026599261789
1.7517571496991646,1.0083448204845389
1.8768826603919622,1.0231449772917434
2.0020081710847597,1.0466520521264648
2.1271336817775572,1.0647184239086784
2.2522591924703548,1.086921211126817
2.3773847031631523,1.1157090161740224
2.50251021385595,1.1377343549536987
2.627635724548747,1.159368807877066
2.7527612352415445,1.1761202430446787
2.877886745934342,1.198168700317847
3.0030122566271396,1.2200876308886979
3.128137767319937,1.234741669692858
3.2532632780127346,1.2348274350105062
3.378388788705532,1.260309767007225
3.5035142993983293,1.2726343107302358
3.628639810091127,1.2849588544532469
3.7537653207839243,1.2999754205725862
3.878890831476722,1.3015527493370225
4.004016342169519,1.3105852024699822
4.1291418528623165,1.3368968795003597
4.2542673635551145,1.3644416355294686
4.379392874247912,1.373440835320035
4.5045183849407096,1.38050057441461
4.629643895633507,1.3875603135091845
4.754769406326305,1.405054036063512
4.879894917019102,1.4204540092317084
5.0050204277119,1.4291211017247014
5.130145938404697,1.4336750110059908
5.255271449097494,1.4382289202872804
5.380396959790292,1.44278282956857
5.505522470483089,1.4507930989391318
5.630647981175887,1.4646936996356672
5.755773491868684,1.4647576930747543
5.880899002561482,1.4684105468784174
6.006024513254279,1.482459792162762
6.131150023947076,1.4860011592716906
6.256275534639874,1.4996695968014913
6.381401045332671,1.5022221029573748
6.506526556025469,1.5022540143307748
6.631652066718266,1.5022859257041747
6.756777577411064,1.5023178370775745
6.881903088103861,1.5137079899650818
7.0070285987966585,1.5232039406942022
7.1321541094894565,1.5303451431296071
7.257279620182254,1.5372192001276301
7.382405130875052,1.537568076310726
7.507530641567849,1.537916952493822
7.632656152260647,1.538265828676918
7.757781662953444,1.5386147048600138
7.882907173646242,1.53896358104311
8.008032684339039,1.5393124572262058
8.133158195031836,1.539661333409302
8.258283705724633,1.5403692986939888
8.383409216417432,1.54342914400211
8.508534727110229,1.5454139465736756
8.633660237803026,1.5473987491452414
8.758785748495823,1.549383551716807
8.883911259188622,1.551368354288373
9.009036769881419,1.553449207114867
9.134162280574216,1.5557846827604567
9.259287791267013,1.5581201584060467
9.38441330195981,1.5604556340516365
9.50953881265261,1.5623505016447905
9.634664323345406,1.5639350095749085
9.759789834038203,1.5655195175050265
9.884915344731,1.5671040254351445
10.0100408554238,1.5686885333652625
10.135166366116596,1.5702730412953803
10.260291876809394,1.5718575492254983
10.38541738750219,1.572364730668492
10.510542898194988,1.5723947771972246
10.635668408887787,1.5724248237259575
10.760793919580584,1.5724548702546903
10.88591943027338,1.5768289515833676
11.011044940966178,1.5782297717116667
11.136170451658975,1.5782539968962608
11.261295962351774,1.5782782220808549
11.386421473044571,1.578302447265449
11.511546983737368,1.5783266724500429
11.636672494430165,1.5835198109181774
11.761798005122964,1.5854530616988984
11.886923515815761,1.5854779185435066
12.012049026508558,1.585502775388115
12.137174537201355,1.5855276322327232
12.262300047894152,1.5855524890773316
12.387425558586951,1.59082704707068
12.512551069279748,1.5919922972077234
12.637676579972545,1.592015537062107
12.762802090665343,1.5920387769164903
12.887927601358141,1.592062016770874
13.013053112050939,1.5920852566252572
13.138178622743736,1.5952698001856542
13.263304133436533,1.5972408769229305
13.38842964412933,1.597882113754078
13.513555154822129,1.5985233505852254
13.638680665514926,1.5990641687029867
13.763806176207723,1.5996540002889714
13.88893168690052,1.6006389196160484
14.014057197593317,1.6014087716917296
14.139182708286116,1.6016046274480698
14.264308218978913,1.6020206357512323
14.38943372967171,1.6025977362423942
14.514559240364507,1.602846932222677
14.639684751057306,1.603018612291805
14.764810261750103,1.603266391112247
14.8899357724429,1.6042189381200842
15.015061283135697,1.6047941287672334
15.140186793828494,1.6048518199171893
15.265312304521293,1.6048823950683382
