sigma_theta_kPa,lambda_theta
0.0,0.35812728414801276
0.154335039299101,0.528398558536986
0.165469562945439,0.5285215529507253
0.183663407940797,0.539695153172928
0.187090103039266,0.5398181475866674
0.262871238508488,0.579913160055158
0.275132521180756,0.5800361544688973
0.31359141509773,0.584393670721499
0.365309033956664,0.624792168155677
0.377723152558928,0.6249151625694163
0.4583082563058,0.658621075427612
0.472225747079645,0.6587440698413513
0.530698754649365,0.681437076200969
0.543666771224457,0.6815600706147084
0.617113518994577,0.708491018245478
0.681637748982489,0.736670316977864
0.70892864582257,0.7367933113916033
0.783296414115031,0.757074555494268
0.866370616861059,0.783665651584623
0.902037528251891,0.7837886459983623
0.981024013282235,0.808257082963081
1.05478212697845,0.827779969595326
1.06171563497646,0.8279029640090653
1.13496744064704,0.850355964049095
1.1364978198018,0.8504789584628343
1.23530655481318,0.877340924043227
1.3278449849061,0.886897986109525
1.37960932354577,0.8870209805232643
1.54827713112689,0.921779786833802
1.70228992977095,0.966608408108405
1.73988749870856,0.9667314025221443
1.79614274340306,0.987695460136604
1.8163999923888,0.9878184545503433
1.92167702832762,1.01057094368334
2.05780243873592,1.03321662304164
2.25062291803426,1.06032834023645
2.28540223207224,1.0604513346501894
2.41010395520145,1.08418025406661
2.46758814377298,1.0843032484803492
2.61588392991413,1.11124179101392
2.82316271042148,1.13395697338537
2.93609270739717,1.16133409446814
3.11804424587082,1.1614570888818794
3.2175129841123,1.18024368923042
3.23687485684365,1.1803666836441593
3.37395517064743,1.20483150125117
3.42719490187722,1.2049544956649092
3.67867595212019,1.23170819939244
3.99472911839338,1.25457370518733
4.14671719155487,1.27718554594989
4.15959839555449,1.2773085403636293
4.34596214343561,1.30407126688319
4.40428270897873,1.3041942612969293
4.67649457488394,1.33138250884534
4.80244292500159,1.34484810847497
4.9135221975712,1.3449711028887092
5.07887956829618,1.36498872842588
5.34678702697941,1.3651117228396192
5.44053207512824,1.38186122721655
5.49461168911348,1.3819842216302893
6.02846612914057,1.39771680700274
6.14071021900484,1.41602857390261
6.47086987903161,1.4161515683163493
6.63638832195871,1.43235701464645
6.86739988913394,1.44975140905583
6.99977444284647,1.4624263076828
7.82348210880563,1.4625493020965392
8.01965392908457,1.47906468280412
8.28374007662474,1.4791876772178594
8.55560156523952,1.49333749900497
8.86392280428966,1.4978611270639
9.36211033711912,1.4979841214776393
9.5082988541736,1.50854352357779
10.1789468924774,1.5086665179915293
10.3907988232041,1.52344891827786
10.3991729742082,1.5235719126915994
11.1511926155214,1.53300768955823
11.6470731197178,1.54487356525091
12.3454894434308,1.5449965596646493
12.5184833281273,1.55481804044676
12.997515044599,1.5549410348604993
13.04689148911,1.55754068632281
13.3783755082101,1.5576636807365494
13.5462829350289,1.5577866751502887
14.0710200620817,1.56611185272149
14.1119802229601,1.56692774878902
14.1557630805877,1.5672335079565167
14.2199267595244,1.567356502370256
14.231064982365,1.5674794967839953
14.2525309922714,1.5676024911977346
14.2736936465239,1.567725485611474
14.2819294895793,1.5678484800252133
14.3762136721494,1.5679714744389526
14.4068537847852,1.5680944688526919
14.4168063786186,1.5682174632664312
14.4577479363433,1.5683404576801705
14.4818576390393,1.5684634520939098
14.5227628323184,1.5685864465076491
14.5558887649637,1.5687094409213884
14.5907741171045,1.5688324353351277
14.6082623318489,1.5706370436481711
14.7010896803624,1.5707600380619104
14.7868966626622,1.5708830324756498
14.8466208745215,1.571006026889389
14.899496236344,1.5711290213031284
15.0514729068255,1.5712520157168677
15.1275080760669,1.571375010130607
15.1884174629138,1.5714980045443463
15.2462317324183,1.5716209989580856
15.2976646917044,1.5723652658081366
15.4964890341191,1.572488260221876
15.582064470565,1.5726112546356152
15.6403947699058,1.5748111547769
15.6783845786038,1.575218732804635
16.0952333855273,1.5753417272183743
16.1823354514747,1.5763354879909321
16.4247482782537,1.5764584824046715
16.4921082918043,1.5765814768184108
16.5157522007271,1.57670447123215
16.5916214760992,1.5768274656458894
16.6349877157993,1.5769504600596287
16.7552577963082,1.577073454473368
17.4449054486439,1.5771964488871073
17.457919831179,1.5773194433008466
17.4744710480458,1.577442437714586
17.5194318274912,1.5775654321283252
17.6011811215649,1.5781391563775125
17.6431986714255,1.5782621507912518
17.7641542106047,1.578385145204991
17.9437974439079,1.5785081396187304
18.0442679492006,1.5786311340324697
18.0971751344884,1.578754128446209
18.1912189957324,1.5788771228599483
18.2624949636949,1.5790001172736876
18.6026862426007,1.57983685960704
18.6092759295446,1.5799598540207793
18.6542511328727,1.5809502951066858
18.7130447820691,1.5810732895204251
18.8860690733041,1.5811962839341644
19.1157352285327,1.5813192783479038
19.1976632468325,1.581442272761643
19.2297651661416,1.5815652671753824
19.3832853838162,1.5816882615891217
19.4342881798803,1.581811256002861
19.6735103709828,1.5819342504166003
19.9482046485987,1.5820572448303396
19.9568669095701,1.582180239244079
19.970437690637,1.5823032336578182
19.9976757333644,1.5824262280715575
20.1032061974285,1.5825492224852968
20.2784639544653,1.5826722168990361
20.3072314489625,1.5827952113127755
20.3561988753807,1.5829182057265148
20.6602640940527,1.583041200140254
20.6957876615321,1.5831641945539934
20.7021918800234,1.5832871889677327
20.996714998874,1.583410183381472
21.2359443228074,1.5835331777952113
21.2608012135922,1.5836561722089506
21.3438291636445,1.58377916662269
21.3645887829585,1.5839021610364292
21.4360952849282,1.5840251554501685
21.5580034208753,1.5841481498639078
21.6295658323573,1.5842711442776471
21.7356666008027,1.5843941386913865
22.1683457542364,1.5845171331051258
22.2094700254658,1.584640127518865
22.284877713799,1.5847631219326044
22.3882845986723,1.5848861163463437
22.3990822476569,1.585009110760083
22.4670857029215,1.5851321051738223
22.7245988881759,1.5852550995875616
22.8909367982191,1.585378094001301
22.9405259246376,1.5855010884150402
23.1182435813084,1.5856240828287795
23.1507262493139,1.5857470772425188
23.3404617165029,1.5858700716562582
23.3742873755053,1.5859930660699975
23.4365611852048,1.5861160604837368
23.7035702774879,1.586239054897476
23.7218504522734,1.5863620493112154
23.7788769979504,1.5864850437249547
23.8127501259357,1.586608038138694
23.8709951283763,1.5867310325524333
23.9771106567655,1.586949721342124
24.0513734080305,1.5870727157558633
24.3891455522294,1.5871957101696026
24.4009385768351,1.587318704583342
24.6304962841567,1.5874416989970812
24.6623218616962,1.5875646934108205
24.6936200066939,1.5876876878245598
24.7467899451877,1.5878106822382991
24.7692288520124,1.5879336766520384
24.8413865756845,1.5880566710657777
24.8673956066668,1.588179665479517
24.8949964918773,1.5883026598932564
24.915883098941,1.5884256543069957
24.9495614291487,1.588548648720735
24.9843528271762,1.5886716431344743
25.0518674312495,1.5887946375482136
25.1428097058808,1.588917631961953
25.3108721665224,1.5890406263756922
25.3296354624322,1.5891636207894315
25.3436027178724,1.5892866152031708
25.358383149021,1.5894096096169101
25.4249437789646,1.5895326040306494
25.4548407974105,1.5896555984443888
25.4610653430522,1.589778592858128
25.4656227490933,1.5899015872718674
25.468950718611,1.5900245816856067
25.4990839466759,1.590147576099346
25.7543241047498,1.5902705705130853
25.9644955316347,1.5903935649268246
