param,index,value
base.iso._bth,,-7.380724069
base.iso._bz,,3.735110031
base.iso.bthz,,3.110982989
base.aniso._α,,1.08315163
base.aniso._k1,0,10.92715146
base.aniso._k1,1,10.92715146
base.aniso._k1,2,-7.677716147
base.aniso._k1,3,-3.847887187
base.aniso._k2,0,1.868534335
base.aniso._k2,1,1.868534335
base.aniso._k2,2,4.833967872
base.aniso._k2,3,1.972580004
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-7.447340773
base.aniso._kappa,1,-7.447340773
base.aniso._tau_raw,0,6.910808602
base.aniso._tau_raw,1,6.910808602
base.aniso._tau_raw,2,2.701583056
base.aniso._tau_raw,3,-1.156285324
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-0.6099118056
base.aniso._lambda_lb_raw,1,-0.6099118056
base.aniso._lambda_lb_raw,2,-0.3885400978
base.aniso._lambda_lb_raw,3,-0.7807272457
base.aniso._lambda_ub_raw,0,-0.8617348241
base.aniso._lambda_ub_raw,1,-0.8617348241
base.aniso._lambda_ub_raw,2,1.523649178
base.aniso._lambda_ub_raw,3,4.743636707
base.aniso._logn_mu_raw,0,-3.906066846
base.aniso._logn_mu_raw,1,-3.906066846
base.aniso._logn_mu_raw,2,-4.483808136
base.aniso._logn_mu_raw,3,-4.055467434
base.aniso._logn_sig_raw,0,-6.54568772
base.aniso._logn_sig_raw,1,-6.54568772
base.aniso._logn_sig_raw,2,-1.706324265
base.aniso._logn_sig_raw,3,-1.819129221
base.aniso._beta_a_raw,0,-0.87183897
base.aniso._beta_a_raw,1,-0.87183897
base.aniso._beta_a_raw,2,-0.87183897
base.aniso._beta_a_raw,3,-0.81093022
base.aniso._beta_b_raw,0,-0.5798185
base.aniso._beta_b_raw,1,-0.47000363
base.aniso._beta_b_raw,2,-0.05129329
base.aniso._beta_b_raw,3,-1.2039728
base.aniso._recruit_ref_stretch,,1.56013013
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
