lambda_z,sigma_z_kpa
1.149,1.6392487559046702
1.1494862155388472,1.6515910080677376
1.1499724310776942,1.6583017135594236
1.1504586466165414,1.6657793178651021
1.1509448621553884,1.6740238209847738
1.151,1.6802251923532738
1.1514310776942356,1.6830666908247522
1.1519172932330828,1.6916374688738145
1.1524035087719298,1.6997361551319616
1.152889724310777,1.707362749599193
1.153,1.7086162608176845
1.1533759398496242,1.7145407483122233
1.1538621553884711,1.7217369052226645
1.1543483709273183,1.729009371805918
1.1548345864661653,1.7363581480619836
1.155,1.7385140126364227
1.1553208020050125,1.7438054713113234
1.1558070175438597,1.7513383348193272
1.1562932330827067,1.7589475080001438
1.156779448621554,1.7666329908537717
1.157,1.7697301123901972
1.157265664160401,1.7744102026543063
1.157751879699248,1.7822758392715838
1.1582380952380953,1.7902177855616732
1.1587243107769423,1.7982360415245753
1.159,1.8024528954983
1.1592105263157895,1.8063436138948994
1.1596967418546367,1.8145459571097398
1.1601829573934836,1.8228246099973924
1.1606691729323309,1.8311795725578568
1.161,1.8364940265414393
1.161155388471178,1.8396181873026072
1.161641604010025,1.848153303626721
1.1621278195488722,1.856764729623647
1.1626140350877192,1.8654524652933855
1.163,1.8720418409389066
1.1631002506265664,1.8742202867846933
1.1635864661654136,1.88309210970637
1.1640726817042606,1.892040242300859
1.1645588972431078,1.9010646845681594
1.165,1.9089080032714105
1.165045112781955,1.9101654365082728
1.165531328320802,1.9193700325392233
1.1660175438596492,1.9286509382429855
1.1665037593984962,1.9380081536195601
1.1669899749373434,1.9474416786689472
1.167,1.9472808489582425
1.1674761904761906,1.9565011347831185
1.1679624060150375,1.9650804825713986
1.1684486215538847,1.9731797220337863
1.168934837092732,1.9807988531702831
1.169,1.9869720425801112
1.169421052631579,1.9879378759808881
1.1699072681704261,1.9945619135361026
1.170393483709273,2.00067023158478
1.1708796992481203,2.00626283012692
1.1713659147869675,2.011718119565818
1.1718521303258145,2.0176963211367975
1.1723383458646617,2.0242665518871266
1.1728245614035089,2.0314288118168053
1.173,2.028169919556307
1.1733107769423559,2.0392044991021274
1.173796992481203,2.047612914058965
1.17428320802005,2.0566540566873193
1.1747694235588972,2.0663279269871895
1.175,2.0706861444675404
1.1752556390977444,2.0766492099815217
1.1757418546365914,2.08726042142472
1.1762280701754386,2.0979479425407304
1.1767142857142858,2.1087117733295537
1.177,2.114709052733101
1.1772005012531328,2.1195640813816303
1.17768671679198,2.1305119994223913
1.178172932330827,2.141536227135965
1.1786591478696742,2.152636764522351
1.179,2.1600503089336986
1.1791453634085214,2.1638202198418743
1.1796315789473684,2.175100910991909
1.1801177944862156,2.186457911814756
1.1806040100250628,2.1978912223104157
1.181,2.206898248488624
1.1810902255639097,2.2094037794834764
1.181576441102757,2.2210211772310737
1.182062656641604,2.232714884651484
1.1825488721804511,2.244484901744706
1.183,2.2550645359785864
1.1830350877192983,2.2563312285107395
1.1835213032581453,2.2682813993676065
1.1840075187969925,2.28030787989728
1.1844937343358397,2.292410670099761
1.1849799498746867,2.3045897699750495
1.185,2.304737506822876
1.185466165413534,2.3165788946812698
1.1859523809523809,2.328292109345976
1.186438596491228,2.339729413969168
1.1869248120300753,2.3508908085508446
1.187,2.3557288256020223
1.1874110275689223,2.361527962503423
1.1878972431077695,2.371515795186905
1.1883834586466167,2.3808528380989964
1.1888696741854636,2.3895390912396968
1.189,2.395187436043445
1.1893558897243108,2.3974273501764833
1.1898421052631578,2.4046901866799186
1.190328320802005,2.411423549483538
1.1908145363408522,2.4176646945931815
1.191,2.4220861149353325
1.1913007518796992,2.4234136220088502
1.1917869674185464,2.428918662318128
1.192,2.4311303617380102
1.1922731829573936,2.434621643767879
1.1927593984962406,2.4409541210766967
1.1932456140350878,2.447916094244581
1.1937318295739348,2.455654767704056
1.194,2.4523667686839135
1.194218045112782,2.464407185532757
1.1947042606516292,2.47441585812675
1.1951904761904761,2.485643529480196
1.1956766917293233,2.4980901995930953
1.196,2.5025697736573402
1.1961629072681705,2.511755244138353
1.1966491228070175,2.5262855804263165
1.1971353383458647,2.541249653738389
1.1976215538847117,2.5566474640745724
1.198,2.5689342686980297
1.198107769423559,2.5725119980412265
1.198593984962406,2.588968734432215
1.199080200501253,2.605727387502805
1.1995664160401003,2.6227879572529953
1.2,2.63519448659496
1.2000526315789475,2.640150443682788
1.2005388471177945,2.656861125178941
1.2010250626566417,2.672917249348279
1.2015112781954886,2.688318816190803
1.2019974937343358,2.703065825706513
1.202,2.7127361238670704
1.202483709273183,2.717125291289047
1.20296992481203,2.73022546613363
1.2034561403508772,2.7423663502402613
1.2039423558897244,2.7535479436089423
1.2044285714285714,2.764567405545011
1.2049147869674186,2.7766198347991393
1.2054010025062656,2.7897101761689456
1.2058872180451128,2.803838429654428
1.206,2.7967923254219405
1.20637343358396,2.819017931893151
1.206859649122807,2.8352557187490253
1.2073458646616542,2.8525517902220496
1.2078320802005011,2.870906146312226
1.208,2.87724457472925
1.2083182957393483,2.8902309929938457
1.2088045112781955,2.9096547550731118
1.2092907268170425,2.928936679739688
1.2097769423558897,2.948076766993574
1.21,2.958451026642653
1.210263157894737,2.9671824883014546
1.210749373433584,2.986384233926998
1.211235588972431,3.005674968006292
1.2117218045112783,3.0250546905393385
1.212,3.033652367197677
1.2122080200501253,3.044682343885024
1.2126942355889725,3.0649922685236737
1.2131804511278195,3.086058880343747
1.2136666666666667,3.107882179345242
1.214,3.1181532267133747
1.2141528822055139,3.130500725279281
1.2146390977443609,3.153960296972101
1.215125313283208,3.178117167522469
1.215611528822055,3.202971336930387
1.216,3.2213675947785863
1.2160977443609022,3.2284674671664866
1.2165839598997494,3.2538704493308064
1.2170701754385964,3.2788337369687293
1.2175563909774436,3.303357330080253
1.218,3.331682889319641
1.2180426065162908,3.327441228665378
1.2185288220551378,3.351371556661607
1.219015037593985,3.375003653291588
1.2195012531328322,3.3983375185553255
1.2199874686716792,3.421373152452816
1.22,3.4186194940415815
1.2204736842105264,3.444366432975025
1.2209598997493734,3.4679259492915486
1.2214461152882206,3.4920517014023837
1.2219323308270678,3.516743689307532
1.222,3.5178940789312096
1.2224185463659147,3.5420786546277876
1.222904761904762,3.5677578470498283
1.223390977443609,3.5937726770580847
1.2238771929824561,3.6201231446525552
1.224,3.6257930830075624
1.2243634085213033,3.6468033951522028
