param,index,value
base.iso._bth,,-5.81312911
base.iso._bz,,-1.419319552
base.iso.bthz,,2.825231491
base.aniso._α,,-2.689032127
base.aniso._k1,0,-6.331674397
base.aniso._k1,1,-6.331674397
base.aniso._k1,2,0.05315750027
base.aniso._k1,3,-0.5476667573
base.aniso._k2,0,17.59536741
base.aniso._k2,1,17.59536741
base.aniso._k2,2,3.546409387
base.aniso._k2,3,4.349645009
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-3.558676307
base.aniso._kappa,1,-3.558676307
base.aniso._tau_raw,0,3.556637522
base.aniso._tau_raw,1,3.556637522
base.aniso._tau_raw,2,5.46194956
base.aniso._tau_raw,3,-2.302634216
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-0.9667054636
base.aniso._lambda_lb_raw,1,-0.9667054636
base.aniso._lambda_lb_raw,2,-0.8841818239
base.aniso._lambda_lb_raw,3,-1.27191818
base.aniso._lambda_ub_raw,0,-0.04706588358
base.aniso._lambda_ub_raw,1,-0.04706588358
base.aniso._lambda_ub_raw,2,1.332893831
base.aniso._lambda_ub_raw,3,-0.7486162011
base.aniso._logn_mu_raw,0,-3.090944312
base.aniso._logn_mu_raw,1,-3.090944312
base.aniso._logn_mu_raw,2,-4.674098431
base.aniso._logn_mu_raw,3,-2.150209155
base.aniso._logn_sig_raw,0,-3.355886941
base.aniso._logn_sig_raw,1,-3.355886941
base.aniso._logn_sig_raw,2,-0.9479080904
base.aniso._logn_sig_raw,3,-4.207406423
base.aniso._beta_a_raw,0,-0.87183897
base.aniso._beta_a_raw,1,-0.87183897
base.aniso._beta_a_raw,2,-0.87183897
base.aniso._beta_a_raw,3,-0.81093022
base.aniso._beta_b_raw,0,-0.5798185
base.aniso._beta_b_raw,1,-0.47000363
base.aniso._beta_b_raw,2,-0.05129329
base.aniso._beta_b_raw,3,-1.2039728
base.aniso._recruit_ref_stretch,,1.252107608
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
