param,index,value
base.iso._bth,,-8.159798022
base.iso._bz,,-2.358648464
base.iso.bthz,,2.341374601
base.aniso._α,,-0.174798866
base.aniso._k1,0,-6.491543078
base.aniso._k1,1,-6.491543078
base.aniso._k1,2,-0.06644379321
base.aniso._k1,3,1.396929437
base.aniso._k2,0,18.92893086
base.aniso._k2,1,18.92893086
base.aniso._k2,2,0.9484330243
base.aniso._k2,3,3.951767692
base.aniso._lam0_raw,0,-0.6261456723
base.aniso._lam0_raw,1,-0.6261456723
base.aniso._lam0_raw,2,-5.919597875
base.aniso._lam0_raw,3,-3.342936127
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._tau_raw,0,-0.9255306765
base.aniso._tau_raw,1,-0.9255306765
base.aniso._tau_raw,2,6.511299542
base.aniso._tau_raw,3,-1.908097743
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-1.57064532
base.aniso._lambda_lb_raw,1,-1.57064532
base.aniso._lambda_lb_raw,2,-3.23923403
base.aniso._lambda_lb_raw,3,-3.16178733
base.aniso._lambda_ub_raw,0,-0.58618282
base.aniso._lambda_ub_raw,1,-0.58618282
base.aniso._lambda_ub_raw,2,2.20158586
base.aniso._lambda_ub_raw,3,1.37444387
base.aniso._logn_mu_raw,0,-2.39110155
base.aniso._logn_mu_raw,1,-2.39110155
base.aniso._logn_mu_raw,2,-4.80237532
base.aniso._logn_mu_raw,3,-3.51067605
base.aniso._logn_sig_raw,0,-8.05966335
base.aniso._logn_sig_raw,1,-8.05966335
base.aniso._logn_sig_raw,2,-5.8290578
base.aniso._logn_sig_raw,3,-4.97710558
base.aniso._beta_a_raw,0,-0.87183897
base.aniso._beta_a_raw,1,-0.87183897
base.aniso._beta_a_raw,2,-0.87183897
base.aniso._beta_a_raw,3,-0.81093022
base.aniso._beta_b_raw,0,-0.5798185
base.aniso._beta_b_raw,1,-0.47000363
base.aniso._beta_b_raw,2,-0.05129329
base.aniso._beta_b_raw,3,-1.2039728
base.aniso._recruit_ref_stretch,,1.252107608
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
