param,index,value
base.iso._bth,,-5.872970543
base.iso._bz,,0.02489678475
base.iso.bthz,,2.216611383
base.aniso._α,,-2.889249109
base.aniso._k1,0,-6.57725217
base.aniso._k1,1,-6.57725217
base.aniso._k1,2,-0.7960571669
base.aniso._k1,3,-0.2481224076
base.aniso._k2,0,11.53335259
base.aniso._k2,1,11.53335259
base.aniso._k2,2,3.938023296
base.aniso._k2,3,4.810339685
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-3.8493416
base.aniso._kappa,1,-3.8493416
base.aniso._tau_raw,0,-0.5565936343
base.aniso._tau_raw,1,-0.5565936343
base.aniso._tau_raw,2,2.438469234
base.aniso._tau_raw,3,-2.383051262
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-0.5459553483
base.aniso._lambda_lb_raw,1,-0.5459553483
base.aniso._lambda_lb_raw,2,-0.8552837485
base.aniso._lambda_lb_raw,3,-0.9793664275
base.aniso._lambda_ub_raw,0,-0.5446247612
base.aniso._lambda_ub_raw,1,-0.5446247612
base.aniso._lambda_ub_raw,2,1.447099154
base.aniso._lambda_ub_raw,3,-0.6934813945
base.aniso._logn_mu_raw,0,-2.523041014
base.aniso._logn_mu_raw,1,-2.523041014
base.aniso._logn_mu_raw,2,-4.551472193
base.aniso._logn_mu_raw,3,-2.517744574
base.aniso._logn_sig_raw,0,-4.195276735
base.aniso._logn_sig_raw,1,-4.195276735
base.aniso._logn_sig_raw,2,-0.8662459753
base.aniso._logn_sig_raw,3,-4.622560236
base.aniso._beta_a_raw,0,-0.87183897
base.aniso._beta_a_raw,1,-0.87183897
base.aniso._beta_a_raw,2,-0.87183897
base.aniso._beta_a_raw,3,-0.81093022
base.aniso._beta_b_raw,0,-0.5798185
base.aniso._beta_b_raw,1,-0.47000363
base.aniso._beta_b_raw,2,-0.05129329
base.aniso._beta_b_raw,3,-1.2039728
base.aniso._recruit_ref_stretch,,1.252107608
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
