param,index,value
base.iso._bth,,-2.015977215
base.iso._bz,,1.979416591
base.iso.bthz,,2.4685305
base.aniso._α,,-2.234158146
base.aniso._k1,0,-7.542328899
base.aniso._k1,1,-7.542328899
base.aniso._k1,2,1.731139685
base.aniso._k1,3,-0.7295779254
base.aniso._k2,0,22.07891465
base.aniso._k2,1,22.07891465
base.aniso._k2,2,2.552897324
base.aniso._k2,3,4.599548693
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-5.258063886
base.aniso._kappa,1,-5.258063886
base.aniso._tau_raw,0,-1.776828672
base.aniso._tau_raw,1,-1.776828672
base.aniso._tau_raw,2,7.182039465
base.aniso._tau_raw,3,-2.310101558
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-0.3491340742
base.aniso._lambda_lb_raw,1,-0.3491340742
base.aniso._lambda_lb_raw,2,-0.6236987847
base.aniso._lambda_lb_raw,3,-1.0235781
base.aniso._lambda_ub_raw,0,-0.3583869551
base.aniso._lambda_ub_raw,1,-0.3583869551
base.aniso._lambda_ub_raw,2,1.050952184
base.aniso._lambda_ub_raw,3,-0.7459720411
base.aniso._logn_mu_raw,0,-2.683150413
base.aniso._logn_mu_raw,1,-2.683150413
base.aniso._logn_mu_raw,2,-4.291090562
base.aniso._logn_mu_raw,3,-2.027260444
base.aniso._logn_sig_raw,0,-8.129222432
base.aniso._logn_sig_raw,1,-8.129222432
base.aniso._logn_sig_raw,2,-1.289493286
base.aniso._logn_sig_raw,3,-4.161286056
base.aniso._beta_a_raw,0,-0.87183897
base.aniso._beta_a_raw,1,-0.87183897
base.aniso._beta_a_raw,2,-0.87183897
base.aniso._beta_a_raw,3,-0.81093022
base.aniso._beta_b_raw,0,-0.5798185
base.aniso._beta_b_raw,1,-0.47000363
base.aniso._beta_b_raw,2,-0.05129329
base.aniso._beta_b_raw,3,-1.2039728
base.aniso._recruit_ref_stretch,,1.252107608
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
