lambda_z,sigma_z_kPa,lambda_theta,sigma_theta_kPa
1.127,5.585872082969682,1.5018211658208442,9.875668540301195
1.129,5.581014526644803,1.5038009324132997,9.7528175976086
1.133,5.620287664214577,1.50412384075054,10.001717509075025
1.135,5.6483087897040765,1.5047323947998468,9.898775637649234
1.137,5.644512340321783,1.50847766648729,9.84029002645007
1.139,5.660971778838496,1.5036665532883833,10.160650086523068
1.141,5.688766481630781,1.50464021864352,10.0639836114517
1.143,5.737214169732467,1.5007244042727332,9.944413641225804
1.145,5.778693880634651,1.50080098893028,9.76717187447466
1.149,5.773062700080765,1.5001782497904834,9.816939451504306
1.151,5.817598391798903,1.49675012436491,10.480636358676
1.153,5.911188529575665,1.49645814384841,9.946870892047604
1.155,5.992697342367611,1.4940067607487,9.9082743439449
1.157,6.025473399792484,1.4947733036318198,9.945403626739948
1.159,6.115024519060779,1.49517253572298,9.76411572455747
1.161,6.191542496430838,1.4974850730248734,10.088599909730357
1.165,6.253488782234051,1.49746570781658,10.00736647091834
1.167,6.303128931124095,1.4845853331256436,10.0621311286826
1.169,6.340716705815784,1.4855534938767,9.88682480096479
1.171,6.392308636268446,1.4927107469418566,10.025138698183136
1.173,6.438299238112474,1.49514164286921,10.1840108898236
1.175,6.466125434891924,1.4878828895683334,10.141869749564867
1.177,6.515899604438049,1.48493902598411,10.4972684314754
1.181,6.539722447997113,1.4861352158093666,10.140107031477534
1.183,6.562803438944164,1.48319047952819,10.179908275014501
1.185,6.610022228745358,1.4763346737836998,9.977953329815913
1.187,6.656844025827831,1.47640267765284,9.87749548940331
1.189,6.730806632567808,1.4728039273071134,9.936841918607207
1.19,6.812908632768163,1.47369319081706,10.056382302733116
1.192,6.86511450024071,1.4773436986325301,10.136490366155433
1.196,6.926008089406039,1.47291528974974,10.0319441611157
1.198,6.974430035966069,1.47513894824593,10.237150978726634
1.2,7.008607148221076,1.47357530094921,10.4510356379401
1.202,7.025117402924661,1.4711152856909333,10.3040221367619
1.204,7.065763435539457,1.4689807893483,10.07051317370215
1.206,7.106480613820102,1.46354639949604,9.97894707133896
1.208,7.134454252860936,1.46475102269631,10.1045148578113
1.212,7.207142934750965,1.4657324585837401,10.150090008130165
1.214,7.2852324705785385,1.46286328056056,10.083106767847571
1.216,7.351576955820963,1.4663047731864598,10.096869080189201
