param,index,value
base.iso._bth,,-7.702108002
base.iso._bz,,-1.409192017
base.iso.bthz,,3.607393941
base.aniso._α,,-7.688838007
base.aniso._k1,0,-4.331037358
base.aniso._k1,1,-4.331037358
base.aniso._k1,2,11.34298616
base.aniso._k1,3,6.760757417
base.aniso._k2,0,7.502384284
base.aniso._k2,1,7.502384284
base.aniso._k2,2,-7.813114836
base.aniso._k2,3,0.8519713997
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,0.03330588836
base.aniso._kappa,1,0.03330588836
base.aniso._tau_raw,0,0.7778084235
base.aniso._tau_raw,1,0.7778084235
base.aniso._tau_raw,2,-2.681921108
base.aniso._tau_raw,3,-1.01883319
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-1.026062974
base.aniso._lambda_lb_raw,1,-1.026062974
base.aniso._lambda_lb_raw,2,-0.4542887043
base.aniso._lambda_lb_raw,3,-1.026123911
base.aniso._lambda_ub_raw,0,1.310285524
base.aniso._lambda_ub_raw,1,1.310285524
base.aniso._lambda_ub_raw,2,0.8943175979
base.aniso._lambda_ub_raw,3,1.166564588
base.aniso._logn_mu_raw,0,-3.641959448
base.aniso._logn_mu_raw,1,-3.641959448
base.aniso._logn_mu_raw,2,-4.538500597
base.aniso._logn_mu_raw,3,-4.287749211
base.aniso._logn_sig_raw,0,-2.000211994
base.aniso._logn_sig_raw,1,-2.000211994
base.aniso._logn_sig_raw,2,-2.50884616
base.aniso._logn_sig_raw,3,-4.506253769
base.aniso._beta_a_raw,0,-0.87183897
base.aniso._beta_a_raw,1,-0.87183897
base.aniso._beta_a_raw,2,-0.87183897
base.aniso._beta_a_raw,3,-0.81093022
base.aniso._beta_b_raw,0,-0.5798185
base.aniso._beta_b_raw,1,-0.47000363
base.aniso._beta_b_raw,2,-0.05129329
base.aniso._beta_b_raw,3,-1.2039728
base.aniso._recruit_ref_stretch,,1.381868619
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
