param,index,value
base.iso._bth,,-9.031021017
base.iso._bz,,3.96166116
base.iso.bthz,,3.635465731
base.aniso._α,,-1.137932664
base.aniso._k1,0,-3.604052637
base.aniso._k1,1,-3.604052637
base.aniso._k1,2,2.073736232
base.aniso._k1,3,-4.462942795
base.aniso._k2,0,4.46999079
base.aniso._k2,1,4.46999079
base.aniso._k2,2,-9.751356982
base.aniso._k2,3,2.774391457
base.aniso._lam0_raw,0,0.1519348979
base.aniso._lam0_raw,1,0.1519348979
base.aniso._lam0_raw,2,-8.228602125
base.aniso._lam0_raw,3,-7.631223417
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._tau_raw,0,3.682008728
base.aniso._tau_raw,1,3.682008728
base.aniso._tau_raw,2,-1.7769533
base.aniso._tau_raw,3,-0.5866461568
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-3.59967954e-144
base.aniso._lambda_lb_raw,1,-3.59967954e-144
base.aniso._lambda_lb_raw,2,-5.09238314e-117
base.aniso._lambda_lb_raw,3,-4.91433005e-234
base.aniso._lambda_ub_raw,0,0.90508009
base.aniso._lambda_ub_raw,1,0.90508009
base.aniso._lambda_ub_raw,2,0.68086893
base.aniso._lambda_ub_raw,3,0.42689889
base.aniso._logn_mu_raw,0,-2.90621608
base.aniso._logn_mu_raw,1,-2.90621608
base.aniso._logn_mu_raw,2,-3.53681771
base.aniso._logn_mu_raw,3,-3.24343423
base.aniso._logn_sig_raw,0,-4.83690016
base.aniso._logn_sig_raw,1,-4.83690016
base.aniso._logn_sig_raw,2,-5.75233804
base.aniso._logn_sig_raw,3,-6.06547237
base.aniso._beta_a_raw,0,-0.87183897
base.aniso._beta_a_raw,1,-0.87183897
base.aniso._beta_a_raw,2,-0.87183897
base.aniso._beta_a_raw,3,-0.81093022
base.aniso._beta_b_raw,0,-0.5798185
base.aniso._beta_b_raw,1,-0.47000363
base.aniso._beta_b_raw,2,-0.05129329
base.aniso._beta_b_raw,3,-1.2039728
base.aniso._recruit_ref_stretch,,1.381868619
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
