lambda_z,sigma_z_kPa,lambda_theta,sigma_theta_kPa
1.319,9.523267232100226,1.11563492647825,8.425747489754905
1.321,9.509111292724606,1.11287500557487,8.463198287937814
1.325,9.504997081903253,1.12206876835343,8.57873923255461
1.327,9.525220057669733,1.11428154500493,8.750990479945697
1.333,9.543507916450181,1.11093574955967,8.45899171871128
1.335,9.577270302886891,1.11111727433332,8.695139765513346
1.339,9.653341803226152,1.10397589562505,8.62636122234604
1.341,9.729723443967623,1.12132705496486,8.88923067517921
1.347,9.788585348334346,1.12308731892856,8.796448710619487
1.349,9.849313893125323,1.11256069125579,8.72922848738381
1.351,9.96047384922721,1.1172851128621,8.920788755600647
1.355,10.055802189550972,1.10303588515655,8.39109631763967
1.357,10.128143666595749,1.10880975773627,8.637002876421693
1.359,10.221929907139362,1.1097432907202,8.822002156661945
1.363,10.296670853632397,1.11766580102424,9.017759598563345
1.366,10.381672870678482,1.11858554573676,9.087688996954975
1.368,10.446733815853634,1.10825084055896,8.75016601391287
1.37,10.558438693006801,1.10955977799822,8.95558620622584
1.372,10.629207099772552,1.10812150993603,8.90733087373999
1.374,10.67137516369108,1.11287330979932,8.981598912790233
1.376,10.72237337477567,1.11329003474112,9.27455443773709
1.378,10.807158543168331,1.11147296164786,9.069187109886064
1.38,10.887200042569754,1.10728910394794,8.863227493277085
1.382,10.969534313883248,1.1149308094452,9.029072012384264
1.384,11.03926772082315,1.11235705514307,8.86523193973864
1.386,11.131303237558575,1.1092148251664,9.13307984270629
1.388,11.216573802379816,1.10682821595702,8.86588584665295
1.39,11.275772425529444,1.12022377919321,9.135904792599117
1.392,11.346576311896547,1.11274026888404,9.14928326459765
1.394,11.438865097456976,1.11290565466482,9.1429468018411
1.396,11.522221515978112,1.10796759974472,9.017139664807594
1.398,11.575109536169363,1.1161615905369,9.252657836403467
1.4,11.63692885383427,1.10782499797795,9.174536181327106
1.402,11.716981652973397,1.11526093646738,9.213421760802094
1.404,11.79398869643167,1.11193107492056,9.22735773325657
1.406,11.880569265306868,1.11737754827076,9.20099991474797
1.408,11.970115518226049,1.11546383579933,9.346188651169129
1.41,12.088512230460541,1.113172143213,9.421242877282738
1.412,12.162227732208423,1.10549728818344,9.13955173867752
1.414,12.279705388545525,1.114247974299,9.32814507613246
1.418,12.413287753942997,1.1137184479423,9.261893911391821
1.42,12.546571863578034,1.10415836757829,9.20511137427811
1.422,12.614239755919357,1.11299882733848,9.304472273142572
1.424,12.707805122325675,1.10853620677516,9.390182986898285
1.426,12.808508948228326,1.10768837679108,9.136070181238843
1.428,12.912368949618147,1.10979550046515,9.4300066751179
1.432,12.998352818142097,1.11133474945501,9.453807816618967
1.434,13.081234867707481,1.10998304958947,9.29336406737469
1.436,13.174321514713236,1.11362439567078,9.44232245985899
1.438,13.272663311806765,1.11302585907842,9.6547793746115
1.44,13.344602213796131,1.1097896817329,9.561433907500119
1.442,13.437839666745186,1.10768301791641,9.35486352014931
1.444,13.535932721754424,1.11320532797776,9.56138645321684
1.446,13.65014431880559,1.1067665920471,9.32723018418908
1.448,13.759891073924061,1.10541271855879,9.266627416777194
1.45,13.826420206183343,1.11403939062912,9.69172941752184
1.452,13.888188282731631,1.11578977851991,9.806402438565163
1.454,13.959167336968466,1.1100143763709,9.5030967223186
1.456,14.004066450053463,1.11082442250934,9.65620653420886
1.458,14.020561071975752,1.1071167954105,9.598737172925365
1.46,14.02862225291272,1.1114077451083,9.51777933874264
1.462,14.046688207692926,1.10384095834019,9.34531686944812
1.464,14.041329773368087,1.10239073184387,9.487367375042163
1.466,14.048327639066228,1.10705935346678,9.572371164558465
