lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa
0.6119511674118043,0.9035744564418591,1.415,6.143909940204789
0.6141248728976287,0.9977801388176827,1.415,6.687513511148685
0.6208578957636653,1.0919858211935063,1.415,6.1228880593937705
0.6246667791950703,1.1861915035693298,1.415,6.64509873610463
0.629112678936069,1.2803971859451533,1.415,6.292088647041724
0.637257195707036,1.374602868320977,1.415,6.8829721106185655
0.6461463562213356,1.4688085506968005,1.415,6.4372351532318515
0.6584724799849816,1.5630142330726242,1.415,6.769138241611388
0.6776097435952445,1.6572199154484477,1.415,6.471005666243425
0.689500720249694,1.7514255978242712,1.415,6.400878292109741
0.6952194134732342,1.845631280200095,1.415,6.627033542455427
0.7002512251980292,1.9398369625759184,1.415,6.853188792801113
0.7086139154372458,2.034042644951742,1.415,6.92255129301181
0.7197840197464803,2.1282483273275656,1.415,6.880695609949252
0.7279428008482531,2.222454009703389,1.415,6.73606505882862
0.734956120392518,2.316659692079213,1.415,6.56450487104486
0.746702434989796,2.410865374455036,1.415,6.362653348030083
0.7674745933322348,2.50507105683086,1.415,6.173695998895178
0.7766239727651297,2.5992767392066836,1.415,6.573939114114607
0.7833035156104131,2.693482421582507,1.415,6.974182229334035
0.7916988852029477,2.787688103958331,1.415,7.374425344553466
0.8056288722205522,2.881893786334154,1.415,7.303611562094049
0.8210178367215325,2.976099468709978,1.415,7.2126482896057835
0.8343913714231063,3.070305151085801,1.415,7.11219672361379
0.8465891976921033,3.164510833461625,1.415,7.011745157621796
0.8565513247103046,3.258716515837449,1.415,7.093130724836534
0.8649083376922252,3.352922198213272,1.415,7.304327413029632
0.8725753724194101,3.447127880589096,1.415,7.515524101222732
0.880410019464422,3.541333562964919,1.415,7.726720789415829
0.889184394389156,3.635539245340743,1.415,7.760679625603998
0.8985442228654718,3.729744927716567,1.415,7.742064429318149
0.9074106729654894,3.82395061009239,1.415,7.7234492330323015
0.9147263166266623,3.918156292468214,1.415,7.707801451678123
0.9206165219181432,4.012361974844037,1.415,7.702565160710206
0.9257095388062232,4.106567657219861,1.415,7.697328869742288
0.9304038310489257,4.200773339595685,1.415,7.69209257877437
0.9350978624042743,4.294979021971508,1.415,7.686856287806452
0.9401900966302933,4.389184704347332,1.415,7.681619996838535
