param,index,value
base.iso._bth,,-8.228675619
base.iso._bz,,-5.671460999
base.iso.bthz,,-8.22516212
base.aniso._α,,-0.8377046106
base.aniso._k1,0,3.427417929
base.aniso._k1,1,3.427417929
base.aniso._k1,2,-5.934640218
base.aniso._k1,3,3.977066333
base.aniso._k2,0,3.374777881
base.aniso._k2,1,3.374777881
base.aniso._k2,2,16.41459373
base.aniso._k2,3,-8.603967391
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-0.1473870362
base.aniso._kappa,1,-0.1473870362
base.aniso._tau_raw,0,-6.459720051
base.aniso._tau_raw,1,-6.459720051
base.aniso._tau_raw,2,-1.956887106
base.aniso._tau_raw,3,-2.130042607
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-1.235264296
base.aniso._lambda_lb_raw,1,-1.235264296
base.aniso._lambda_lb_raw,2,-1.243177892
base.aniso._lambda_lb_raw,3,-1.029394811
base.aniso._lambda_ub_raw,0,1.630275882
base.aniso._lambda_ub_raw,1,1.630275882
base.aniso._lambda_ub_raw,2,2.79804072
base.aniso._lambda_ub_raw,3,1.505188593
base.aniso._logn_mu_raw,0,-4.54246
base.aniso._logn_mu_raw,1,-4.54246
base.aniso._logn_mu_raw,2,-4.654854891
base.aniso._logn_mu_raw,3,-3.782100372
base.aniso._logn_sig_raw,0,-3.725666564
base.aniso._logn_sig_raw,1,-3.725666564
base.aniso._logn_sig_raw,2,-7.038927172
base.aniso._logn_sig_raw,3,-2.555300684
base.aniso._beta_a_raw,0,0.2
base.aniso._beta_a_raw,1,0.2
base.aniso._beta_a_raw,2,0.2
base.aniso._beta_a_raw,3,0.2
base.aniso._beta_b_raw,0,0.2
base.aniso._beta_b_raw,1,0.2
base.aniso._beta_b_raw,2,0.2
base.aniso._beta_b_raw,3,0.2
base.aniso._recruit_ref_stretch,,1.41713964
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
