lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.02189078934896,4.52454945710346,1.18,7.19220438129199,1.37746224,13.929,48.38,328.51296835,451.868891691465
1.02189078934896,4.4054362696923,1.18,7.1405158619936,1.3411992,13.929,48.38,328.51296835,448.621426423474
1.02189078934896,4.4054362696923,1.18,6.59935784889432,1.3411992,13.929,48.38,294.5133128,414.621770873474
1.02456930699021,4.50213092477884,1.18,6.64287086222745,1.36239708,13.957,48.38,294.5133128,417.35558877778
1.02456930699021,4.50213092477884,1.18,7.13361236588599,1.36239708,13.957,48.38,325.3454204,448.18769637778
1.01901857464135,4.46439390340149,1.18,7.11401895246777,1.36799652,13.899,48.38,325.3454204,446.956689368472
1.01901857464135,4.46439390340149,1.18,6.84226928393421,1.36799652,13.899,48.38,308.27204275,429.883311718472
1.01901857464135,4.46439390340149,1.18,6.84226928393421,1.36799652,13.899,48.38,308.27204275,429.883311718472
1.02376923219562,4.47439557365053,1.19,6.89341402723399,1.34333232,13.935,48.79,308.27204275,429.457145514317
1.02376923219562,4.47439557365053,1.19,6.63746366574667,1.34333232,13.935,48.79,292.32642985,413.511532614317
1.0181286040007,4.4748444123207,1.19,6.6344140334334,1.36066392,13.876,48.79,292.32642985,413.3215416486
1.0181286040007,4.4748444123207,1.19,7.19589923603198,1.36066392,13.876,48.79,327.3067504,448.3018621986
1.0181286040007,4.47791357858429,1.19,7.19723129923537,1.36159716,13.876,48.79,327.3067504,448.384849243729
1.01807901574764,4.52075737728047,1.2,7.1810018972819,1.36159716,13.862,49.2,322.27593895,443.645648805924
1.01807901574764,4.47516470031387,1.2,7.16118922656957,1.3478652,13.862,49.2,322.27593895,442.42161276214
1.02199489167148,4.51485121408333,1.2,6.65941326569707,1.3478652,13.903,49.2,290.07090035,411.421659705346
1.02199489167148,4.49654172844758,1.2,6.65144756444475,1.34239908,13.903,49.2,290.07090035,410.929534964142
1.02199489167148,4.49654172844758,1.2,7.0841559804666,1.34239908,13.903,49.2,316.80382825,437.662462864142
1.0169581978282,4.57395820568863,1.21,7.16009882847609,1.36799652,13.837,49.61,316.80382825,438.698427232069
1.0169581978282,4.57395820568863,1.21,7.07414842878224,1.36799652,13.837,49.61,311.5376572,433.432256182069
1.01905804256528,4.45416418148387,1.21,7.02323605042331,1.3258674,13.859,49.61,311.5376572,430.312860647489
1.01905804256528,4.45416418148387,1.21,6.93248395242254,1.3258674,13.859,49.61,305.97728665,424.752490097489
1.01905804256528,4.50163943570582,1.21,6.95314630653027,1.33999932,13.859,49.61,305.97728665,426.018470144289
1.01628979379308,4.4735803106921,1.21,7.15639026272892,1.33999932,13.83,49.61,319.27510405,438.471203837596
1.01628979379308,4.63025131550392,1.21,7.22452182930085,1.38692796,13.83,49.61,319.27510405,442.645617042773
1.01543743361536,4.66524895850103,1.22,7.45843571479651,1.38692796,13.808,50.02,329.82705945,453.231776595513
1.01543743361536,4.50156388017239,1.22,7.38718431077854,1.33826616,13.808,50.02,329.82705945,448.901994632799
1.01543743361536,4.50156388017239,1.22,6.60384874136319,1.33826616,13.808,50.02,282.22558035,401.300515532799
1.0157236287504,4.61801084894106,1.22,6.65470596327527,1.37199612,13.811,50.02,282.22558035,404.390990522642
1.0157236287504,4.61801084894106,1.22,7.23196004893632,1.37199612,13.811,50.02,317.3039674,439.469377572642
1.01437604414075,4.53350594804587,1.23,7.23958266608773,1.33839948,13.784,50.43,317.3039674,436.355898579682
1.01437604414075,4.53350594804587,1.23,7.24088428348002,1.33839948,13.784,50.43,317.3824206,436.434351779682
1.01437604414075,4.43957535364468,1.23,7.19995991316635,1.31066892,13.784,50.43,317.3824206,433.9676915859
1.01227843714058,4.41852582528162,1.23,6.71435694771666,1.31066892,13.762,50.43,288.73719595,404.698640023807
1.01227843714058,4.54976471664386,1.23,6.77150105478318,1.34959836,13.762,50.43,288.73719595,408.14292256572
1.01872113875409,4.65949893085791,1.24,6.89919165410301,1.34959836,13.817,50.84,290.81620575,412.485755277025
1.01872113875409,4.65627691243294,1.24,6.89778444071763,1.34866512,13.817,50.84,290.81620575,412.401621438569
1.01872113875409,4.65627691243294,1.24,7.16301279447072,1.34866512,13.817,50.84,306.6735588,428.258974488569
1.01463009893083,4.59348209438183,1.24,7.13323953377263,1.34279904,13.774,50.84,306.6735588,426.478904222104
1.01463009893083,4.59348209438183,1.24,6.5066642020863,1.34279904,13.774,50.84,269.2121558,389.017501222104
1.01215410968144,4.60455262947706,1.24,6.51005541071103,1.35359796,13.748,50.84,269.2121558,389.220253272056
1.01215410968144,4.60455262947706,1.24,7.22192371948556,1.35359796,13.748,50.84,311.7730168,431.781114272056
1.01215410968144,4.59865691548285,1.24,7.21935362688597,1.3518648,13.748,50.84,311.7730168,431.62745473624
1.00391291883396,4.55495990623286,1.25,6.84771596639913,1.3518648,13.649,51.25,288.511643,406.13288490366
1.00391291883396,4.59538854445387,1.25,6.86531820473434,1.3638636,13.649,51.25,288.511643,407.176860423515
1.00391291883396,4.59538854445387,1.25,7.3512752062507,1.3638636,13.649,51.25,317.33338735,435.998604773515
1.01296217713296,4.53184021547437,1.25,7.32881495754644,1.31760156,13.744,51.25,317.33338735,434.666504311599
1.01296217713296,4.53184021547437,1.25,6.75902665294441,1.31760156,13.744,51.25,283.53967145,400.872788411598
1.011658742715,4.61896678312463,1.26,6.83688298997856,1.33466652,13.718,51.66,283.53967145,402.272211525686
1.011658742715,4.61896678312463,1.26,6.7000464932685,1.33466652,13.718,51.66,275.4884118,394.220951875686
1.011658742715,4.49531449085838,1.26,6.64602517155239,1.29893676,13.718,51.66,275.4884118,391.042416190911
1.00890102364097,4.46730400148146,1.26,6.74341357424147,1.29893676,13.689,51.66,282.02944735,396.772607593062
1.00890102364097,4.53241302008049,1.26,6.77183596218789,1.3178682,13.689,51.66,282.02944735,398.444939395845
1.01138407662058,4.59940201578796,1.27,6.83763179560237,1.3178682,13.703,52.07,281.7254412,399.148425508251
1.01138407662058,4.69757842705061,1.27,6.88056864614987,1.34599872,13.703,52.07,281.7254412,401.654874642196
1.01138407662058,4.69757842705061,1.27,6.6102674237998,1.34599872,13.703,52.07,265.94654135,385.875974792196
1.00995945504414,4.60778848567191,1.27,6.57018328741736,1.3245342,13.688,52.07,265.94654135,383.53605354414
1.00995945504414,4.60778848567191,1.27,6.9689993855274,1.3245342,13.688,52.07,289.22752845,406.81704064414
1.00938944478161,4.52031913459574,1.27,6.93043980085364,1.30106988,13.682,52.07,289.22752845,404.566115474305
1.00938944478161,4.52031913459574,1.27,6.87970582375624,1.30106988,13.682,52.07,286.26592015,401.604507174305
1.01052286990535,4.69597815870843,1.28,6.99806388473192,1.33613304,13.682,52.48,286.26592015,405.322174694865
1.00843506244223,4.67383610965464,1.28,6.21593053997735,1.33613304,13.66,52.48,241.5966294,360.021646803294
1.00843506244223,4.74472246853186,1.28,6.2469411411406,1.35639768,13.66,52.48,241.5966294,361.817755628409
1.00672593712477,4.72635619344744,1.28,7.01777200033857,1.35639768,13.642,52.48,286.7660593,406.463652739136
1.00672593712477,4.58745502361839,1.28,6.9570365281086,1.316535,13.642,52.48,286.7660593,402.945903531518
1.0078443464677,4.64019015000598,1.29,7.5624283702909,1.316535,13.642,52.89,317.84333315,434.614283099301
1.00385886160795,4.59836787902629,1.29,7.54184256555684,1.316535,13.6,52.89,317.84333315,433.431212750937
1.00385886160795,4.59650524899935,1.29,7.54102787541107,1.31600172,13.6,52.89,317.84333315,433.38439234401
1.0080340195081,4.64030426420083,1.29,6.80648599076836,1.31600172,13.644,52.89,274.390067,391.170122142847
1.0080340195081,4.77710180658584,1.29,6.86639026245346,1.35479784,13.644,52.89,274.390067,394.61283271387
1.00913219552385,4.83136793312504,1.3,7.50103307200191,1.35479784,13.644,53.3,306.948145,427.769837675448
1.00505770630548,4.67485943963204,1.3,7.43006636966042,1.32306768,13.601,53.3,306.948145,423.72273983578
1.00505770630548,4.67485943963204,1.3,7.51501542345391,1.32306768,13.601,53.3,311.7926301,428.56722493578
