lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
0.413214125593999,0.00982716323327701,1.494,9.97485373192425,0.0346632,8.15,61.254,494.89259225,494.980818574857
0.413214125593999,0.00982716323327701,1.494,9.97485373192425,0.0346632,8.15,61.254,494.89259225,494.980818574857
0.413214125593999,0.00982716323327701,1.494,9.86062728172121,0.0346632,8.15,61.254,489.22434855,489.312574874857
0.413214125593999,0.02267806899987,1.494,9.8629522761913,0.079992,8.15,61.254,489.22434855,489.427947761209
0.413443439670818,0.0227476505232589,1.494,9.40745047875206,0.079992,8.151,61.254,466.6200203,466.824643630824
0.413443439670818,0.0450403480360526,1.494,9.41149157683938,0.15838416,8.151,61.254,466.6200203,467.025174495031
0.412523471111272,0.0444880946368937,1.494,9.27160825679169,0.15838416,8.147,61.254,459.68671875,460.083763410418
0.412523471111272,0.00235921713983527,1.494,9.26403132097907,0.00839916,8.147,61.254,459.68671875,459.707774148658
0.412523471111272,0.00235921713983527,1.494,9.80097468637987,0.00839916,8.147,61.254,486.3313868,486.352442198658
0.412060739891606,0.00431687789580584,1.494,9.80132366860121,0.01546512,8.145,61.254,486.3313868,486.369759696261
0.412060739891606,0.00431687789580584,1.494,9.8841279638176,0.01546512,8.145,61.254,490.44037315,490.478746046261
0.411828675173917,0.00719691448524618,1.494,9.88464126704107,0.02586408,8.144,61.254,490.44037315,490.504217622743
0.411828675173917,0.00719691448524618,1.494,9.63622838139189,0.02586408,8.144,61.254,478.1134141,478.177258572743
0.411828675173917,0.00682593951177988,1.494,9.63616206212126,0.02453088,8.144,61.254,478.1134141,478.17396762054
0.412060739891606,0.00684746148989892,1.494,9.42154913919962,0.02453088,8.145,61.254,467.4633922,467.52425955269
0.412060739891606,0.0137693519090359,1.494,9.42278907072199,0.0493284,8.145,61.254,467.4633922,467.58578850704
0.411596139549931,0.0136827327622707,1.494,9.20023944549697,0.0493284,8.143,61.254,456.4211043,456.542238533485
0.411596139549931,0.00661948422823368,1.494,9.19897931156757,0.02386428,8.143,61.254,456.4211043,456.479707077821
0.411596139549931,0.00661948422823368,1.494,9.50786502379482,0.02386428,8.143,61.254,471.74889825,471.807501027821
0.411363129335337,-0.00320708513924541,1.494,9.50611306245873,-0.01159884,8.142,61.254,471.74889825,471.720563687229
0.411363129335337,-0.00320708513924541,1.494,9.58496488534976,-0.01159884,8.142,61.254,475.6617516,475.633417037229
0.412984361758672,0.00406951014998367,1.494,9.58627069673488,0.01439856,8.149,61.254,475.6617516,475.698215139104
0.412984361758672,0.00406951014998367,1.494,9.20189276309316,0.01439856,8.149,61.254,456.58781735,456.624280889104
0.412984361758672,0.0128491014920781,1.494,9.20347805466412,0.04546212,8.149,61.254,456.58781735,456.702947598468
0.412060739891606,0.0126901324350844,1.494,9.17023039009074,0.04546212,8.145,61.254,454.94030015,455.053103232974
0.412060739891606,0.00762896524689825,1.494,9.16932377349374,0.0273306,8.145,61.254,454.94030015,455.008114320117
0.41229233734033,0.00765290872390848,1.494,9.87287089441979,0.0273306,8.146,61.254,489.85197415,489.920138012998
0.41229233734033,-0.00216521319993508,1.494,9.87110861711272,-0.00773256,8.146,61.254,489.85197415,489.832688764371
0.41229233734033,-0.00216521319993508,1.494,10.0835540046011,-0.00773256,8.146,61.254,500.3941229,500.374837514371
0.410661213582036,0.00376053646725296,1.494,10.0846080374172,0.01373196,8.139,61.254,500.3941229,500.427141642346
0.410661213582036,0.00376053646725296,1.494,9.17909662767612,0.01373196,8.139,61.254,455.4600526,455.493071342346
0.409244048527087,0.00579947447026805,1.494,9.17944440135569,0.02159784,8.133,61.254,455.4600526,455.510328868643
0.409244048527087,0.00579947447026805,1.494,8.84605336071118,0.02159784,8.133,61.254,438.91623405,438.966510318643
0.409244048527087,0.0268136196187084,1.494,8.84972452898354,0.09985668,8.133,61.254,438.91623405,439.148684205641
0.411828675173917,0.0277860255126257,1.494,9.88259090168952,0.09985668,8.144,61.254,490.1559803,490.402472620023
0.411828675173917,0.0163599963298637,1.494,9.88054826815397,0.05879412,8.144,61.254,490.1559803,490.301111292163
0.410426267192014,0.0160488921978523,1.494,9.85239480688672,0.05879412,8.138,61.254,488.763436,488.904055888817
0.410426267192014,0.0157213637856512,1.494,9.8523369748035,0.05759424,8.138,61.254,488.763436,488.901186095167
0.410426267192014,0.0157213637856512,1.494,9.0758737864856,0.05759424,8.138,61.254,450.23310815,450.370858245167
0.408528579583344,0.014495485802977,1.494,9.07561367500903,0.05452788,8.13,61.254,450.23310815,450.357950768521
0.408528579583344,0.014495485802977,1.494,9.37521107727167,0.05452788,8.13,61.254,465.09998955,465.224832168521
0.411596139549931,0.0116488130273386,1.494,9.37477348010317,0.0419958,8.143,61.254,465.09998955,465.203117343372
0.411596139549931,0.0116488130273386,1.494,9.93740791561884,0.0419958,8.143,61.254,493.0195221,493.122649893372
0.411596139549931,0.0132019880976504,1.494,9.93768501313211,0.04759524,8.143,61.254,493.0195221,493.136400265822
0.410426267192014,0.0129919603506423,1.494,9.40087794845254,0.04759524,8.138,61.254,466.3846607,466.49849584809
0.410426267192014,0.0446166481509453,1.494,9.40646195737691,0.16345032,8.138,61.254,466.3846607,466.775590368229
0.409481504041438,0.044035663390072,1.494,9.39285516982492,0.16345032,8.134,61.254,465.7178085,466.10038258858
0.409481504041438,0.027513310078952,1.494,9.38996248524634,0.10212312,8.134,61.254,465.7178085,465.956839292702
0.409481504041438,0.027513310078952,1.494,9.19154837451303,0.10212312,8.134,61.254,455.8719319,456.110962692702
0.407567219041831,0.0207670216761329,1.494,9.19030371970608,0.07919208,8.126,61.254,455.8719319,456.049199355439
0.407567219041831,0.0207670216761329,1.494,9.34721687102306,0.07919208,8.126,61.254,463.658412,463.83567945544
0.410426267192014,0.0209982104266684,1.494,9.34735225627538,0.07692564,8.138,61.254,463.658412,463.842397659517
0.410426267192014,0.0209982104266684,1.494,9.67283835226917,0.07692564,8.138,61.254,479.80996455,479.993950209517
0.410426267192014,0.00640500006082086,1.494,9.67026161167231,0.02346432,8.138,61.254,479.80996455,479.866084959142
0.409244048527087,0.0063006636220196,1.494,9.95520465288452,0.02346432,8.133,61.254,493.95115385,494.005774981366
0.409244048527087,0.00247014653363269,1.494,9.95453546207508,0.00919908,8.133,61.254,493.95115385,493.972567816274
0.410661213582036,0.0025191943324316,1.494,8.92888310856979,0.00919908,8.139,61.254,443.05464035,443.076759701669
0.410661213582036,0.0391752973724508,1.494,8.93536908224961,0.14305236,8.139,61.254,443.05464035,443.398612296962
0.410661213582036,0.0391752973724508,1.494,9.36381708231914,0.14305236,8.139,61.254,464.31545755,464.659429496962
0.409481504041438,0.027082292166488,1.494,9.36162684678315,0.10052328,8.134,61.254,464.31545755,464.550743734983
0.409481504041438,0.027082292166488,1.494,9.94184978414669,0.10052328,8.134,61.254,493.10778195,493.343068134983
0.410661213582036,0.0254110037010491,1.494,9.94160454948618,0.09279072,8.139,61.254,493.10778195,493.33089888857
0.410661213582036,0.0254110037010491,1.494,9.94160454948618,0.09279072,8.139,61.254,493.10778195,493.33089888857
0.410661213582036,0.0254110037010491,1.494,9.83607353839894,0.09279072,8.139,61.254,487.87103085,488.09414778857
0.409718449544683,0.0315683304767111,1.494,9.83711603573309,0.11678832,8.135,61.254,487.87103085,488.145879492882
0.409718449544683,0.0315683304767111,1.494,9.29859168140215,0.11678832,8.135,61.254,461.1479096,461.422758242882
