param,index,value
base.iso._bth,,-9.302337909
base.iso._bz,,-8.753085784
base.iso.bthz,,4.662547715
base.aniso._α,,-0.8719203958
base.aniso._k1,0,4.804592873
base.aniso._k1,1,4.804592873
base.aniso._k1,2,-2.981214775
base.aniso._k1,3,6.101478735
base.aniso._k2,0,0.8902623473
base.aniso._k2,1,0.8902623473
base.aniso._k2,2,11.87784156
base.aniso._k2,3,-11.80149853
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-6.64760755
base.aniso._kappa,1,-6.64760755
base.aniso._tau_raw,0,-5.784917811
base.aniso._tau_raw,1,-5.784917811
base.aniso._tau_raw,2,0.3077245448
base.aniso._tau_raw,3,-2.820081091
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-1.119822801
base.aniso._lambda_lb_raw,1,-1.119822801
base.aniso._lambda_lb_raw,2,-0.9945279568
base.aniso._lambda_lb_raw,3,-1.018630528
base.aniso._lambda_ub_raw,0,1.520107726
base.aniso._lambda_ub_raw,1,1.520107726
base.aniso._lambda_ub_raw,2,3.42563929
base.aniso._lambda_ub_raw,3,1.338077373
base.aniso._logn_mu_raw,0,-4.412129716
base.aniso._logn_mu_raw,1,-4.412129716
base.aniso._logn_mu_raw,2,-2.437717989
base.aniso._logn_mu_raw,3,-4.837352616
base.aniso._logn_sig_raw,0,-5.239067974
base.aniso._logn_sig_raw,1,-5.239067974
base.aniso._logn_sig_raw,2,-6.997398001
base.aniso._logn_sig_raw,3,-2.968777317
base.aniso._beta_a_raw,0,0.2
base.aniso._beta_a_raw,1,0.2
base.aniso._beta_a_raw,2,0.2
base.aniso._beta_a_raw,3,0.2
base.aniso._beta_b_raw,0,0.2
base.aniso._beta_b_raw,1,0.2
base.aniso._beta_b_raw,2,0.2
base.aniso._beta_b_raw,3,0.2
base.aniso._recruit_ref_stretch,,1.397627628
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
