param,index,value
base.iso._bth,,-9.369807649
base.iso._bz,,-3.311742844
base.iso.bthz,,8.66479267
base.aniso._α,,-6.025966453
base.aniso._k1,0,1.625720735
base.aniso._k1,1,1.625720735
base.aniso._k1,2,12.73725123
base.aniso._k1,3,3.674665331
base.aniso._k2,0,-6.203149039
base.aniso._k2,1,-6.203149039
base.aniso._k2,2,2.573217849
base.aniso._k2,3,-1.748493685
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,4.153510142
base.aniso._kappa,1,4.153510142
base.aniso._tau_raw,0,-2.110360287
base.aniso._tau_raw,1,-2.110360287
base.aniso._tau_raw,2,-5.091735108
base.aniso._tau_raw,3,-1.413126555
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-0.6272990358
base.aniso._lambda_lb_raw,1,-0.6272990358
base.aniso._lambda_lb_raw,2,-0.2334638206
base.aniso._lambda_lb_raw,3,-1.028574876
base.aniso._lambda_ub_raw,0,0.3633642984
base.aniso._lambda_ub_raw,1,0.3633642984
base.aniso._lambda_ub_raw,2,1.302734662
base.aniso._lambda_ub_raw,3,1.436103766
base.aniso._logn_mu_raw,0,-1.842141938
base.aniso._logn_mu_raw,1,-1.842141938
base.aniso._logn_mu_raw,2,-6.123039706
base.aniso._logn_mu_raw,3,-2.95284816
base.aniso._logn_sig_raw,0,-3.842568825
base.aniso._logn_sig_raw,1,-3.842568825
base.aniso._logn_sig_raw,2,-5.669597198
base.aniso._logn_sig_raw,3,-1.780459165
base.aniso._beta_a_raw,0,0.2
base.aniso._beta_a_raw,1,0.2
base.aniso._beta_a_raw,2,0.2
base.aniso._beta_a_raw,3,0.2
base.aniso._beta_b_raw,0,0.2
base.aniso._beta_b_raw,1,0.2
base.aniso._beta_b_raw,2,0.2
base.aniso._beta_b_raw,3,0.2
base.aniso._recruit_ref_stretch,,1.535645145
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
