param,index,value
base.iso._bth,,-8.312027251
base.iso._bz,,-0.3865997579
base.iso.bthz,,7.105113951
base.aniso._α,,-0.003742688908
base.aniso._k1,0,16.57112271
base.aniso._k1,1,16.57112271
base.aniso._k1,2,8.032405512
base.aniso._k1,3,3.471674458
base.aniso._k2,0,0.04092425511
base.aniso._k2,1,0.04092425511
base.aniso._k2,2,1.000669088
base.aniso._k2,3,-1.017160067
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-2.213025048
base.aniso._kappa,1,-2.213025048
base.aniso._tau_raw,0,10.22110188
base.aniso._tau_raw,1,10.22110188
base.aniso._tau_raw,2,1.337741249
base.aniso._tau_raw,3,-1.735307999
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-0.7440508018
base.aniso._lambda_lb_raw,1,-0.7440508018
base.aniso._lambda_lb_raw,2,0.05915479418
base.aniso._lambda_lb_raw,3,-1.025374718
base.aniso._lambda_ub_raw,0,-0.8660973254
base.aniso._lambda_ub_raw,1,-0.8660973254
base.aniso._lambda_ub_raw,2,-0.3242490987
base.aniso._lambda_ub_raw,3,1.906062512
base.aniso._logn_mu_raw,0,-3.712916727
base.aniso._logn_mu_raw,1,-3.712916727
base.aniso._logn_mu_raw,2,-2.523183275
base.aniso._logn_mu_raw,3,-3.322753721
base.aniso._logn_sig_raw,0,-9.536269615
base.aniso._logn_sig_raw,1,-9.536269615
base.aniso._logn_sig_raw,2,-5.509112275
base.aniso._logn_sig_raw,3,-1.78526723
base.aniso._beta_a_raw,0,0.2
base.aniso._beta_a_raw,1,0.2
base.aniso._beta_a_raw,2,0.2
base.aniso._beta_a_raw,3,0.2
base.aniso._beta_b_raw,0,0.2
base.aniso._beta_b_raw,1,0.2
base.aniso._beta_b_raw,2,0.2
base.aniso._beta_b_raw,3,0.2
base.aniso._recruit_ref_stretch,,1.535645145
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
