lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
0.778660780443697,0.310686479379288,1.16,3.46664128876435,0.21077892,8.217,40.6,114.61031855,118.578004993421
0.778660780443697,0.310686479379288,1.16,3.46664128876435,0.21077892,8.217,40.6,114.61031855,118.578004993421
0.778660780443697,0.3252284145305,1.16,3.47207056525921,0.2206446,8.217,40.6,114.61031855,118.763715807344
0.776750567221504,0.323094046835159,1.16,3.78558045628151,0.2206446,8.205,40.6,125.3682136,129.487460875407
0.776750567221504,0.251642432852278,1.16,3.75894833766946,0.17184948,8.205,40.6,125.3682136,128.576497429607
0.792417263836988,0.265396903409609,1.16,3.26195484338481,0.17184948,8.304,40.6,108.1477362,111.576614217581
0.792858509210218,0.263294654637874,1.162,3.2667032085463,0.16984968,8.304,40.67,108.1477362,111.546712239265
0.792858509210218,0.263294654637874,1.162,3.30059196148652,0.16984968,8.304,40.67,109.3049209,112.703896939265
0.787477390505827,0.259175211048911,1.164,3.30416577097629,0.16984968,8.267,40.74,109.3049209,112.632071291133
0.787477390505827,0.274636212649945,1.164,3.35831980061908,0.179982,8.267,40.74,110.9524381,114.478068420274
0.775750917731069,0.263857604065663,1.164,3.35326876696061,0.179982,8.193,40.74,110.9524381,114.305889291699
0.776204381810162,0.28508947775234,1.166,3.36688190466099,0.19371396,8.193,40.81,110.9524381,114.573071616018
0.776204381810162,0.28508947775234,1.166,3.57523708367848,0.19371396,8.193,40.81,118.04264605,121.663279566018
0.782838469869722,0.190918571637491,1.168,3.54649120997535,0.12652068,8.232,40.88,118.04264605,120.478421349365
0.782838469869722,0.190918571637491,1.168,3.97632939409315,0.12652068,8.232,40.88,132.6447479,135.080523199365
0.772834172067184,0.145588169781646,1.168,3.9588330493573,0.09985668,8.169,40.88,132.6447479,134.486152067912
0.773286871539514,0.146152471331587,1.17,3.54070288313251,0.09985668,8.169,40.95,118.2289724,120.076175281215
0.773286871539514,0.319818291738947,1.17,3.6054254040819,0.21851148,8.169,40.95,118.2289724,122.271115954487
0.768631984975595,0.315392777747377,1.172,3.31878363226984,0.21851148,8.137,41.02,108.39290245,112.358142569156
0.768631984975595,0.217830765350843,1.172,3.28255325254828,0.15091824,8.137,41.02,108.39290245,111.131555174152
0.782617173468472,0.228600625488511,1.172,3.35943111102965,0.15091824,8.225,41.02,110.82495165,113.734271813969
0.783056938936158,0.208380586000222,1.174,3.35748932225354,0.13705296,8.225,41.09,110.82495165,113.474888976859
0.783056938936158,0.208380586000222,1.174,3.38012169837479,0.13705296,8.225,41.09,111.58987035,114.239807676859
0.775108054439117,0.215903170276853,1.176,3.38807253557687,0.14558544,8.172,41.16,111.58987035,114.313784045373
0.775108054439117,0.215903170276853,1.176,3.54764101940282,0.14558544,8.172,41.16,116.9737212,119.697634895373
0.78601470882214,0.1446701913272,1.176,3.52150763499616,0.0939906,8.241,41.16,116.9737212,118.815892834048
0.786447894178881,0.145207830520163,1.178,3.85956434503415,0.0939906,8.241,41.23,128.1533022,130.000857957741
0.786447894178881,0.321310944129723,1.178,3.9260865473674,0.2079792,8.241,41.23,128.1533022,132.241510685215
0.776943210514472,0.311797775874843,1.18,3.93741298418295,0.2079792,8.178,41.3,128.467115,132.398231794417
0.776943210514472,0.229051443046519,1.18,3.90638736383627,0.15278472,8.178,41.3,128.467115,131.354973875898
0.792207479013752,0.241171186177826,1.18,3.577861384353,0.15278472,8.275,41.3,117.2286941,120.308060850304
0.792631775848075,0.216915899529565,1.182,3.57463211829248,0.13691964,8.275,41.37,117.2286941,119.996091342383
0.792631775848075,0.216915899529565,1.182,3.64971104442556,0.13691964,8.275,41.37,119.74900315,122.516400392383
0.78034386636707,0.213682328885175,1.184,3.65374922500474,0.14025264,8.194,41.44,119.74900315,122.444774886581
0.78034386636707,0.213682328885175,1.184,3.8931207344394,0.14025264,8.194,41.44,127.77084285,130.466614586581
0.773700016056258,0.188817077939062,1.184,3.88335773763294,0.12678732,8.152,41.44,127.77084285,130.139436153534
0.774137734048022,0.189529047133415,1.186,4.08740442984927,0.12678732,8.152,41.51,134.3707183,136.746476710024
0.774137734048022,0.188731869227491,1.186,4.08710574498499,0.12625404,8.152,41.51,134.3707183,136.736484035324
0.770131244804156,0.186551998381209,1.188,4.18270524494715,0.12625404,8.124,41.58,137.3715532,139.69924003348
0.770131244804156,0.216297881966809,1.188,4.19381782073043,0.14638536,8.124,41.58,137.3715532,140.070391788343
0.779629298008082,0.223482507212245,1.188,3.9059161860393,0.14638536,8.184,41.58,127.6433564,130.454691609772
0.780058121238469,0.180999764373789,1.19,3.89641120419706,0.11812152,8.184,41.65,127.6433564,129.918514257783
0.780058121238469,0.180999764373789,1.19,4.15758366406311,0.11812152,8.184,41.65,136.3516616,138.626819457783
0.765438005442342,0.188047251455566,1.192,4.16626154412788,0.12878712,8.089,41.72,136.3516616,138.683086254504
0.765438005442342,0.188047251455566,1.192,4.07611166801967,0.12878712,8.089,41.72,133.3508267,135.682251354504
0.770210892316255,0.234355095010572,1.192,4.09372870104674,0.15785088,8.119,41.72,133.3508267,136.268672654502
0.770645053313919,0.235234612675167,1.194,4.0315133135133,0.15785088,8.119,41.79,131.04626395,133.972911261642
0.770645053313919,0.18536646421109,1.194,4.01284334817416,0.12438756,8.119,41.79,131.04626395,133.352481806218
0.774084028818711,0.187999234149945,1.196,4.33253679556586,0.12438756,8.138,41.86,141.3922797,143.735585831397
0.774084028818711,0.226082680296075,1.196,4.34684506618962,0.14958504,8.138,41.86,141.3922797,144.210274854799
0.772344132086081,0.224731655249028,1.196,4.76743586100658,0.14958504,8.127,41.86,155.36675595,158.163731487915
0.77277293398411,0.165455105307056,1.198,4.75308708045656,0.10972236,8.127,41.93,155.36675595,157.424446929829
0.77277293398411,0.165455105307056,1.198,4.25683963439977,0.10972236,8.127,41.93,138.93081055,140.988501529829
0.775567282616306,0.14646863417013,1.2,4.25687452431341,0.0959904,8.142,42,138.93081055,140.754674338105
0.775567282616306,0.14646863417013,1.2,4.57362695122341,0.0959904,8.142,42,149.40431275,151.228176538105
0.773515633450441,0.281994218222423,1.2,4.6244805090835,0.18611472,8.129,42,149.40431275,152.909662786912
0.773940046119413,0.283031669935785,1.202,4.47237259910202,0.18611472,8.129,42.07,144.1185284,147.634117924608
0.773940046119413,0.205785920476234,1.202,4.44330635185105,0.1353198,8.129,42.07,144.1185284,146.674633964095
0.772310929699289,0.20508901581076,1.204,4.50708013219175,0.1353198,8.116,42.14,145.99159855,148.532679554521
0.772310929699289,0.17437617797506,1.204,4.49553312811704,0.11505516,8.116,42.14,145.99159855,148.152143285863
0.790961417573744,0.185711875972569,1.204,4.99216194223256,0.11505516,8.235,42.14,162.1823777,164.518750122447
0.791367470362922,0.218758874873679,1.206,5.01302179403969,0.13505316,8.235,42.21,162.1823777,164.932221328993
0.791367470362922,0.218758874873679,1.206,5.26310050434716,0.13505316,8.235,42.21,170.41015705,173.160000678993
0.761905075709187,0.15893645423146,1.208,5.24738987377408,0.10825584,8.045,42.28,170.41015705,172.357276048644
0.761905075709187,0.15893645423146,1.208,4.41499929512249,0.10825584,8.045,42.28,143.06921685,145.016335848645
0.767938977662737,0.270874080024505,1.208,4.45728808317721,0.1806486,8.083,42.28,143.06921685,146.405365536135
0.768361928273759,0.271870726802498,1.21,4.81276915655141,0.1806486,8.083,42.35,154.4743508,157.820307148679
0.768361928273759,0.108547648118193,1.21,4.75147239538724,0.07212612,8.083,42.35,154.4743508,155.810263998993
0.79055723062883,0.117275950733986,1.212,4.96077071313745,0.07212612,8.222,42.42,160.93693315,162.405135366675
0.79055723062883,0.174938432980271,1.212,4.9828212741615,0.10758924,8.222,42.42,160.93693315,163.127024072101
0.784018459660924,0.171170336933978,1.212,4.120134998983,0.10758924,8.18,42.42,132.75262105,134.884501004404
0.784424110812449,0.301404117836177,1.214,4.17646886232018,0.18878112,8.18,42.49,132.75262105,136.503499179654
0.784424110812449,0.301404117836177,1.214,5.63108616843036,0.18878112,8.18,42.49,180.29526025,184.046138379654
0.787940602359529,0.305618594252715,1.216,5.64216266991092,0.18878112,8.2,42.56,180.29526025,184.104859301089
0.787940602359529,0.189932459705077,1.216,5.5979688890448,0.1173216,8.2,42.56,180.29526025,182.66280768288
