param,index,value
base.iso._bth,,-2.245877469
base.iso._bz,,3.519210247
base.iso.bthz,,3.066256707
base.aniso._α,,0.3275155812
base.aniso._k1,0,-2.939548862
base.aniso._k1,1,-2.939548862
base.aniso._k1,2,-14.11479044
base.aniso._k1,3,-0.7615566969
base.aniso._k2,0,2.824737207
base.aniso._k2,1,2.824737207
base.aniso._k2,2,2.662566906
base.aniso._k2,3,1.65635865
base.aniso._lam0_raw,0,-1.329378114
base.aniso._lam0_raw,1,-1.329378114
base.aniso._lam0_raw,2,-2.020097116
base.aniso._lam0_raw,3,-4.23941042
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._tau_raw,0,2.592253416
base.aniso._tau_raw,1,2.592253416
base.aniso._tau_raw,2,5.275199954e-06
base.aniso._tau_raw,3,-1.223164482
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-0.51129726
base.aniso._lambda_lb_raw,1,-0.51129726
base.aniso._lambda_lb_raw,2,-0.52296924
base.aniso._lambda_lb_raw,3,-0.40779867
base.aniso._lambda_ub_raw,0,1.3113214
base.aniso._lambda_ub_raw,1,1.3113214
base.aniso._lambda_ub_raw,2,1.8865387
base.aniso._lambda_ub_raw,3,-2.01466639
base.aniso._logn_mu_raw,0,-2.80832906
base.aniso._logn_mu_raw,1,-2.80832906
base.aniso._logn_mu_raw,2,-1.85965718
base.aniso._logn_mu_raw,3,-1.39918024
base.aniso._logn_sig_raw,0,-5.11889791
base.aniso._logn_sig_raw,1,-5.11889791
base.aniso._logn_sig_raw,2,-3.37679278
base.aniso._logn_sig_raw,3,-5.65211494
base.aniso._beta_a_raw,0,-0.87183897
base.aniso._beta_a_raw,1,-0.87183897
base.aniso._beta_a_raw,2,-0.87183897
base.aniso._beta_a_raw,3,-0.81093022
base.aniso._beta_b_raw,0,-0.5798185
base.aniso._beta_b_raw,1,-0.47000363
base.aniso._beta_b_raw,2,-0.05129329
base.aniso._beta_b_raw,3,-1.2039728
base.aniso._recruit_ref_stretch,,1.330496997
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
