param,index,value
base.iso._bth,,-1.062110395
base.iso._bz,,-1.401954891
base.iso.bthz,,2.056663233
base.aniso._α,,0.5740191967
base.aniso._k1,0,-4.854094536
base.aniso._k1,1,-4.854094536
base.aniso._k1,2,-17.17785933
base.aniso._k1,3,8.188223652
base.aniso._k2,0,6.18693746
base.aniso._k2,1,6.18693746
base.aniso._k2,2,4.362100804
base.aniso._k2,3,-0.1223207376
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,2.280131782
base.aniso._kappa,1,2.280131782
base.aniso._tau_raw,0,-1.561139236
base.aniso._tau_raw,1,-1.561139236
base.aniso._tau_raw,2,-0.2521011008
base.aniso._tau_raw,3,-2.612650522
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-1.124833334
base.aniso._lambda_lb_raw,1,-1.124833334
base.aniso._lambda_lb_raw,2,-0.9177998011
base.aniso._lambda_lb_raw,3,-1.018410856
base.aniso._lambda_ub_raw,0,1.920854199
base.aniso._lambda_ub_raw,1,1.920854199
base.aniso._lambda_ub_raw,2,2.171202307
base.aniso._lambda_ub_raw,3,-2.192461169
base.aniso._logn_mu_raw,0,-3.584194176
base.aniso._logn_mu_raw,1,-3.584194176
base.aniso._logn_mu_raw,2,-2.325052661
base.aniso._logn_mu_raw,3,-2.527531602
base.aniso._logn_sig_raw,0,-2.308684961
base.aniso._logn_sig_raw,1,-2.308684961
base.aniso._logn_sig_raw,2,-1.727904479
base.aniso._logn_sig_raw,3,-5.032103983
base.aniso._beta_a_raw,0,-0.87183897
base.aniso._beta_a_raw,1,-0.87183897
base.aniso._beta_a_raw,2,-0.87183897
base.aniso._beta_a_raw,3,-0.81093022
base.aniso._beta_b_raw,0,-0.5798185
base.aniso._beta_b_raw,1,-0.47000363
base.aniso._beta_b_raw,2,-0.05129329
base.aniso._beta_b_raw,3,-1.2039728
base.aniso._recruit_ref_stretch,,1.330496997
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
