lambda_z,sigma_z_kPa,lambda_theta,sigma_theta_kPa
1.254,2.366716840045324,0.5423867246371872,0.18384752897906356
1.256,2.373152326785879,0.540019437057067,0.19151762236191
1.258,2.371132827869977,0.5363658360496437,0.17968090213203067
1.26,2.38094536228893,0.537437869440797,0.178995123599323
1.262,2.4018787981490735,0.5442403512735493,0.19014420019025569
1.264,2.4231737407910843,0.53991986161185,0.1971655399345505
1.266,2.458370425302868,0.5249497932777791,0.1758794858273692
1.268,2.4835133469680812,0.5311598061073614,0.174969265384976
1.27,2.52356027247644,0.535103597569585,0.2088286036770135
1.272,2.579111570799488,0.531789295156726,0.186549650474782
1.274,2.620395527434296,0.535712331128562,0.163143860091302
1.276,2.7080868608902606,0.533743997158074,0.18790016011234134
1.278,2.754673386887555,0.557452027414415,0.202755320609221
1.28,2.813830979634491,0.534346861730111,0.17971633048545
1.282,2.867390909473728,0.5356897863270647,0.2074647797132994
1.284,2.9182206068670147,0.52336678920848,0.165838441178971
1.286,2.974510495364007,0.5312141477974487,0.17996575580872468
1.288,3.020586066349562,0.538043896707477,0.19912837660621752
1.29,3.0767049540143305,0.536348952476069,0.237994698028225
1.292,3.1185603095900385,0.544772808841612,0.145916993525792
1.294,3.1647394546421483,0.542832336065891,0.18038655072538234
1.296,3.2138132817314866,0.5382471408957448,0.1842034997911152
1.298,3.249418688973868,0.521846857832234,0.160780910968412
1.3,3.3035905751306935,0.527140960559161,0.15057545511600434
1.302,3.3497992559734353,0.53594236227227,0.177058394824508
1.304,3.3931397013456936,0.533978121802294,0.206400295071319
1.306,3.4370593722998874,0.53951634778064,0.205997353828802
1.308,3.4756906679603006,0.538218340816585,0.18584940172860365
1.31,3.524100093692181,0.546545711931443,0.2210554930070345
1.312,3.5672094581060563,0.5426598005600056,0.20631743891639598
1.314,3.6031137036119203,0.541634287265749,0.218520039052185
1.316,3.647715588051652,0.522207203980089,0.191524936957375
1.318,3.6894241748812378,0.525043980918391,0.17714189203792266
1.32,3.728712683071882,0.527193696651708,0.184553693183018
1.322,3.778401765682492,0.535128494510858,0.19704278399135267
1.324,3.8149490814263136,0.5318190532882896,0.21202704290931643
1.326,3.8698842276534826,0.533168914272019,0.182799973761284
1.328,3.90681772929586,0.535660389898554,0.169484478152249
1.33,3.953683915547161,0.535921690718827,0.200065110454727
1.332,3.9965696479386668,0.53579013333293,0.19137506018473135
1.334,4.0355929647041435,0.528967475834835,0.224734915878689
1.336,4.0825814627569095,0.519383586326646,0.1803321134646577
1.338,4.114278325888286,0.538506733698786,0.217539300197687
1.34,4.164349361990822,0.5310604423822526,0.18787243535304282
1.342,4.215926743594951,0.550398427475746,0.22071710046329032
1.344,4.253679311800339,0.537833972918155,0.22733987614111
1.346,4.302540595166769,0.544765043820667,0.17534745127392135
1.348,4.347082958706469,0.541804251154205,0.1987930042604085
1.35,4.405035771552073,0.537282406425496,0.20587783636559198
1.352,4.453716407432571,0.531817373413681,0.244409035802359
1.354,4.490964037714207,0.5292865900921239,0.1780284124343078
1.356,4.539144671685229,0.545691760428113,0.19804003043677168
1.358,4.582026065622264,0.538381296862045,0.190009873127051
1.36,4.625888461618208,0.540160094354331,0.181897234503991
1.362,4.68099736296983,0.544860342965029,0.228425405896134
1.364,4.719920891900207,0.527694326270614,0.23389181974881668
1.366,4.778437509667331,0.537659059743118,0.212542270235143
1.368,4.80251232454105,0.534595659045363,0.2124486810757258
1.37,4.856906322570079,0.535943147700338,0.23051199973286232
1.372,4.9152049124565105,0.537589216484773,0.162438117996772
1.374,4.95444688827129,0.526174110215933,0.17042598262461003
1.376,5.007710616466387,0.538561195033734,0.207661493775168
1.377,5.055043730111309,0.541288822680853,0.20266409632018034
1.379,5.123665634479116,0.534867360649101,0.193229963151602
1.381,5.169543445318824,0.5437460712137306,0.24348772394075197
1.383,5.205505338304617,0.531077233277837,0.20204598726460468
1.385,5.260434269785628,0.526642810979197,0.187321388970483
1.387,5.302532776243888,0.528435671512941,0.207896162729434
1.389,5.356089455490951,0.53073560524497,0.255669982947881
1.391,5.3997487928785555,0.537499659616063,0.18478518510053768
1.393,5.462763036730259,0.544933710948418,0.18727023733876452
1.395,5.5307527780971535,0.5369706344693859,0.1903827346133078
1.397,5.592794145858959,0.538028212430465,0.20091045509153768
1.399,5.65793226897867,0.539259032180712,0.212528588085766
1.401,5.717340437155198,0.532467671829458,0.20860626402265833
1.403,5.773508010887861,0.529092164460531,0.175509821450915
1.405,5.839049728369059,0.527122508317246,0.173347257779603
1.407,5.889336622465225,0.536560358080597,0.22228402550162302
1.409,5.969750990979227,0.5488339179256256,0.235799072620146
1.411,6.031165532017812,0.544040052793599,0.22663567846236232
1.413,6.0892749600043325,0.548236756790949,0.23248033782059152
1.415,6.172227078086129,0.520329518074478,0.21610772322025898
1.417,6.246965064951491,0.537480534222643,0.222865374326257
1.419,6.323491361896731,0.530316879749724,0.17066186226354466
1.421,6.383870398869852,0.529249801321324,0.191811124737436
1.423,6.466984388720043,0.5320519693935344,0.2031910934202276
1.425,6.557893775689029,0.531329850841077,0.16559851061050468
1.427,6.6295376180324865,0.545129298245629,0.262360813340317
1.429,6.716080500082344,0.533773876839394,0.24285790330760035
1.431,6.8038116773820345,0.550098074260443,0.25162158116873
1.433,6.88554287191577,0.519321577080702,0.19637388844437767
1.435,6.953884481962957,0.532987203809166,0.267772821543895
1.437,7.037539931120008,0.5210881107117483,0.1831358818574226
1.439,7.119645867261675,0.535783727510079,0.226303796516982
1.441,7.202470451860594,0.525959714298297,0.191354070376961
1.443,7.292960677405749,0.539058035864032,0.17423273215492865
1.445,7.382325456100046,0.53170420932643,0.188030575385155
1.447,7.482329185495663,0.517699488191834,0.16201703019315902
1.449,7.5915475489200706,0.5274318133359577,0.198609280685416
1.451,7.685173659653452,0.510171552486885,0.16447522693157152
1.453,7.789029108808797,0.515084809523429,0.20474272735830767
