lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa
0.6212053128927651,1.4374994453477052,1.323,3.30124273795026
0.6360721306153096,1.5538854781650704,1.323,3.455819716400185
0.6462152146744183,1.6702715109824355,1.323,3.5302828099227095
0.6539163725077034,1.7866575437998007,1.323,3.604745903445234
0.6618996064695021,1.9030435766171658,1.323,3.6792089969677586
0.6729494368120403,2.019429609434531,1.323,3.7344514803230684
0.6877453866861947,2.135815642251896,1.323,3.765613974118815
0.702273513832171,2.2522016750692613,1.323,3.7967764679145617
0.7142009370326408,2.3685877078866264,1.323,3.8697435389461474
0.7251798108827702,2.4849737407039916,1.323,3.9488576401237543
0.735345676191829,2.6013597735213567,1.323,4.027971741301361
0.7447787252900758,2.7177458063387214,1.323,4.094003312876208
0.7530862781100468,2.8341318391560866,1.323,4.111253131432099
0.7606058768438816,2.9505178719734517,1.323,4.128502949987989
0.7680353355037136,3.066903904790817,1.323,4.145752768543879
0.7760724681016763,3.183289937608182,1.323,4.163002587099769
0.78542286580781,3.299675970425547,1.323,4.190676727805119
0.7966947036253945,3.4160620032429123,1.323,4.2636002823046
0.809296697394949,3.5324480360602775,1.323,4.336523836804081
0.8223134113153014,3.6488340688776426,1.323,4.409447391303562
0.8357682844753284,3.7652201016950078,1.323,4.456583058956888
0.8500951011288076,3.881606134512373,1.323,4.49662176973783
0.8631510686776024,3.997992167329738,1.323,4.536660480518773
0.8733609176379133,4.114378200147103,1.323,4.587115173028926
0.881892581231673,4.230764232964468,1.323,4.64243554634318
0.8895616664204432,4.347150265781833,1.323,4.697755919657434
0.8970920127560676,4.463536298599198,1.323,4.753076292971687
0.9052074597903895,4.579922331416563,1.323,4.80839666628594
0.914667628867211,4.6963083642339285,1.323,4.8628496459271116
0.9255918295541115,4.812694397051294,1.323,4.916545709952437
0.9367837164492953,4.929080429868659,1.323,4.970241773977761
0.9469465697729292,5.045466462686024,1.323,5.023937838003086
0.955470997986388,5.161852495503389,1.323,5.092242834449059
0.9633044934289855,5.278238528320754,1.323,5.164724337335412
0.9705523333246463,5.394624561138119,1.323,5.2372058402217645
0.9772747977819861,5.5110105939554845,1.323,5.309687343108117
0.9835284733462892,5.62739662677285,1.323,5.380240059873087
0.9892701245670749,5.743782659590215,1.323,5.442887468942575
0.9945832198546426,5.86016869240758,1.323,5.505534878012065
0.9996235615798207,5.976554725224945,1.323,5.568182287081554
1.004546952113437,6.09294075804231,1.323,5.630829696151043
1.0095091938263194,6.209326790859675,1.323,5.693477105220532
1.0146589064356681,6.325712823677041,1.323,5.753644538085581
1.0199177695097952,6.442098856494406,1.323,5.805367078314074
1.0251938825378968,6.558484889311771,1.323,5.857089618542568
1.0304604474835095,6.674870922129136,1.323,5.908812158771061
1.0356906663101708,6.791256954946501,1.323,5.960534698999554
1.0408747475730502,6.907642987763865,1.323,6.0175179775895
1.046247241553968,7.024029020581231,1.323,6.089278126958381
1.0516385574555542,7.140415053398596,1.323,6.161038276327263
1.0567173168664208,7.256801086215961,1.323,6.232798425696144
1.061152141375181,7.373187119033326,1.323,6.304558575065026
1.0649153623311602,7.489573151850691,1.323,6.352777208828662
1.0683254657129182,7.605959184668056,1.323,6.3993682877277545
1.0714698755371252,7.7223452174854215,1.323,6.445959366626846
1.0744348552376943,7.838731250302787,1.323,6.492550445525939
1.077306668248538,7.955117283120152,1.323,6.539141524425032
1.080171578003569,8.071503315937516,1.323,6.585732603324124
1.082885037287701,8.187889348754883,1.323,6.6429520576610495
1.0853217265637904,8.304275381572246,1.323,6.700931809254468
1.0877054148545557,8.420661414389613,1.323,6.7589115608478885
1.0902611553812769,8.537047447206977,1.323,6.816891312441307
1.0932140013652334,8.653433480024344,1.323,6.8748710640347275
1.097196013247678,8.769819512841707,1.323,6.946699573135629
1.102890773005546,8.886205545659074,1.323,7.0334096638154495
1.1057516072316431,9.002591578476437,1.323,7.109587226761904
1.1071706334260942,9.118977611293804,1.323,7.164718617581595
1.1083963554160707,9.235363644111168,1.323,7.219850008401286
1.109440339895654,9.351749676928534,1.323,7.2749813992209775
1.110314153558925,9.468135709745898,1.323,7.330112790040667
1.1110293630999653,9.584521742563265,1.323,7.385244180860359
1.111597535212856,9.700907775380628,1.323,7.440375571680049
1.1120302365916788,9.817293808197995,1.323,7.49550696249974
1.1123390339305141,9.933679841015358,1.323,7.55063835331943
1.1125356684788534,10.050065873832725,1.323,7.602561619206352
1.1126676499150918,10.166451906650089,1.323,7.614117717818192
1.1127712646888088,10.282837939467456,1.323,7.625673816430033
1.1128546756249709,10.399223972284819,1.323,7.637229915041873
1.1129260455485452,10.515610005102186,1.323,7.648786013653713
1.1129935372844986,10.63199603791955,1.323,7.660342112265553
1.1130653136577977,10.748382070736916,1.323,7.671898210877394
1.1131491321784148,10.86476810355428,1.323,7.855694728045264
1.113186807289534,10.981154136371647,1.323,7.976569528044056
1.1132031402090488,11.09754016918901,1.323,7.995472414131357
1.1132149805172882,11.213926202006377,1.323,8.01437530021866
1.1132234111404877,11.33031223482374,1.323,8.03327818630596
1.1132295150048814,11.446698267641107,1.323,8.052181072393264
1.1132343750367037,11.56308430045847,1.323,8.071083958480564
1.1132390741621896,11.679470333275837,1.323,8.089986844567868
1.1132446953075736,11.7958563660932,1.323,8.108889730655168
1.1132523213990901,11.912242398910568,1.323,8.12779261674247
1.1132630353629738,12.028628431727931,1.323,8.146695502829772
1.1132779201254597,12.145014464545298,1.323,8.165598388917074
1.1133035408083323,12.261400497362661,1.323,8.225603417560944
1.1133559955136312,12.377786530180028,1.323,8.309394820823945
1.1134373459210256,12.494172562997392,1.323,8.342221564139814
1.1135816245001904,12.610558595814755,1.323,8.142236749594918
1.1136776031732367,12.726944628632122,1.323,8.371437091116626
1.1138967062005882,12.843330661449485,1.323,8.481366693869534
1.1140858577653,12.959716694266852,1.323,8.27254367554448
1.1142702584623592,13.076102727084216,1.323,8.380175937010799
1.1144276902008043,13.192488759901583,1.323,8.462501873545003
1.114492681671613,13.308874792718946,1.323,8.40595571109974
1.1145403221157815,13.425260825536313,1.323,8.370448482980358
1.1146025419506307,13.541646858353676,1.323,8.627717677220682
1.1147054698160366,13.658032891171043,1.323,8.800768739308335
1.1149046767081903,13.774418923988407,1.323,8.803603356258426
1.114935187408917,13.890804956805773,1.323,8.869539550258025
1.1149490535189537,14.007190989623137,1.323,8.935475744257621
1.114957987173303,14.123577022440504,1.323,9.001411938257219
1.1149737005069686,14.239963055257867,1.323,9.067348132256816
1.1150110290791209,14.356349088075234,1.323,9.080587227394245
1.1150822461331702,14.472735120892597,1.323,9.027328750230822
1.1151622426382979,14.589121153709964,1.323,8.96155959155098
1.1152196754720376,14.705507186527328,1.323,8.933121449472106
1.1152471841927045,14.821893219344695,1.323,8.964502338288892
1.11527152577623,14.938279252162058,1.323,8.995883227105676
1.1153146470941024,15.054665284979425,1.323,9.027016444698852
1.115426950262827,15.171051317796788,1.323,9.077003643123213
1.115502030107787,15.287437350614155,1.323,9.279812741203274
1.1155501047059766,15.403823383431519,1.323,9.366391528756498
1.1155821897461475,15.520209416248886,1.323,9.387111276471506
1.1156206461662637,15.636595449066249,1.323,9.407831024186516
1.1156979499107804,15.752981481883616,1.323,9.284983704247983
1.1157655455134912,15.86936751470098,1.323,9.19127681548044
1.1158121340316196,15.985753547518346,1.323,9.149326745380012
1.1158560279798033,16.10213958033571,1.323,9.146647312352663
1.1158938092948474,16.218525613153076,1.323,9.228026892591224
1.1159420940088933,16.33491164597044,1.323,9.309406472829783
1.1160479464731767,16.451297678787807,1.323,9.303418408025347
1.116080225993362,16.56768371160517,1.323,9.37820379838975
1.1160962214539853,16.684069744422537,1.323,9.466870571858522
1.1161050781569026,16.8004557772399,1.323,9.55553734532729
1.1161133828430991,16.916841810057267,1.323,9.644204118796061
1.116127722253559,17.03322784287463,1.323,9.73287089226483
1.1161546831292675,17.149613875691998,1.323,9.8215376657336
1.1162772339706097,17.26599990850936,1.323,9.391014582884585
1.1164710543042708,17.382385941326728,1.323,9.749535353683305
1.1165516008038432,17.49877197414409,1.323,9.783658185721226
1.1165975046024506,17.615158006961458,1.323,9.809797977458707
1.1166534309675544,17.73154403977882,1.323,9.802222242613984
1.1166990312554212,17.84793007259619,1.323,9.802959726512785
1.116731449087159,17.964316105413552,1.323,9.87058791290548
1.1167582412122916,18.08070213823092,1.323,9.938216099298174
1.1167847843531533,18.197088171048282,1.323,10.005844285690868
1.1168150339088752,18.31347420386565,1.323,10.054472174621695
1.1168447809431714,18.429860236683012,1.323,10.079234706170984
1.1168804898901707,18.54624626950038,1.323,10.103997237720273
1.116937461563307,18.662632302317743,1.323,10.011501706761283
1.1170214488594814,18.77901833513511,1.323,9.777691130913219
1.1170726422079897,18.895404367952473,1.323,9.769420519721677
1.1171199576421993,19.01179040076984,1.323,9.761149908530136
1.117161325032612,19.128176433587203,1.323,9.98453566527193
1.1172481501633165,19.24456246640457,1.323,10.195475845411892
1.1174311494248026,19.360948499221934,1.323,10.074713025878744
1.1174709854873264,19.4773345320393,1.323,10.088302337593266
1.1174941599846315,19.593720564856664,1.323,10.138758425459887
1.117509934753733,19.71010659767403,1.323,10.189214513326508
1.1175255588451658,19.826492630491394,1.323,10.23967060119313
1.1175482738805413,19.94287866330876,1.323,10.287742395290547
1.1175768035926288,20.059264696126125,1.323,10.258543457015849
1.1176117757788537,20.17565072894349,1.323,10.22934451874115
1.1176634364455877,20.292036761760855,1.323,10.19596589670857
1.1177631046098935,20.40842279457822,1.323,10.144696379592812
1.1178054339277586,20.524808827395585,1.323,10.295904409398469
1.11783578447535,20.641194860212952,1.323,10.447112439204131
1.1178794251297302,20.757580893030315,1.323,10.545652465962801
1.1179508604863955,20.873966925847682,1.323,10.45947395128263
1.118021039959602,20.990352958665046,1.323,10.411328467925395
1.1181004164096973,21.106738991482413,1.323,10.387846425451821
1.1181992419922335,21.223125024299776,1.323,10.384351459353498
1.1182668423853286,21.339511057117143,1.323,10.340519968213828
1.1183184389780958,21.455897089934506,1.323,10.364165912001903
1.1183599491477612,21.572283122751873,1.323,10.450653772675361
1.1183982250806443,21.688669155569237,1.323,10.537141633348817
1.1184368151699533,21.805055188386604,1.323,10.582677724997145
1.1184738415310111,21.921441221203967,1.323,10.626276538466634
1.1185086029513445,22.037827254021334,1.323,10.66987379680245
1.1185385752867671,22.154213286838697,1.323,10.713447264167057
1.1185663266254071,22.270599319656064,1.323,10.757020731531666
1.1185978482453793,22.386985352473427,1.323,10.800594198896274
1.1186379831318483,22.503371385290794,1.323,10.868992676259097
1.1186910133569246,22.619757418108158,1.323,10.954418997594274
1.1187826110970018,22.736143450925525,1.323,11.213540066934593
1.1189003346667237,22.852529483742888,1.323,11.035239693055868
1.118970380873317,22.968915516560255,1.323,10.897722377032522
1.1190131187305565,23.08530154937762,1.323,10.959432100918873
1.1190605527232074,23.201687582194985,1.323,10.969924086143191
1.119112615138851,23.31807361501235,1.323,10.911233666200559
1.1192026972790166,23.434459647829716,1.323,10.949745532772456
1.1192651579118893,23.55084568064708,1.323,11.030592574203775
1.119289240364177,23.667231713464442,1.323,11.046817192323047
1.1193092930568982,23.78361774628181,1.323,11.063041810442318
1.1193255683494143,23.900003779099173,1.323,11.07926642856159
1.1193383186010868,24.01638981191654,1.323,11.095491046680863
1.119347796171277,24.132775844733903,1.323,11.111715664800133
1.1193542534193464,24.24916187755127,1.323,11.127940282919406
1.1193579427046563,24.365547910368633,1.323,11.144164901038677
1.1193591163865682,24.481933943186,1.323,11.160389519157949
