param,index,value
base.iso._bth,,-6.229546463
base.iso._bz,,-3.90059577
base.iso.bthz,,0.9689916599
base.aniso._α,,-0.08439961798
base.aniso._k1,0,4.527753832
base.aniso._k1,1,4.527753832
base.aniso._k1,2,-3.699038275
base.aniso._k1,3,-0.9824478901
base.aniso._k2,0,-4.025384233
base.aniso._k2,1,-4.025384233
base.aniso._k2,2,12.71513071
base.aniso._k2,3,2.384802993
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-0.9392136636
base.aniso._kappa,1,-0.9392136636
base.aniso._tau_raw,0,-6.028850572
base.aniso._tau_raw,1,-6.028850572
base.aniso._tau_raw,2,-2.702300294
base.aniso._tau_raw,3,0.7963404062
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-1.095942198
base.aniso._lambda_lb_raw,1,-1.095942198
base.aniso._lambda_lb_raw,2,-1.063108767
base.aniso._lambda_lb_raw,3,-1.024920307
base.aniso._lambda_ub_raw,0,2.110999661
base.aniso._lambda_ub_raw,1,2.110999661
base.aniso._lambda_ub_raw,2,2.953214267
base.aniso._lambda_ub_raw,3,1.668912485
base.aniso._logn_mu_raw,0,-3.709870317
base.aniso._logn_mu_raw,1,-3.709870317
base.aniso._logn_mu_raw,2,-4.976443146
base.aniso._logn_mu_raw,3,-2.962589085
base.aniso._logn_sig_raw,0,-3.86692773
base.aniso._logn_sig_raw,1,-3.86692773
base.aniso._logn_sig_raw,2,-6.638471036
base.aniso._logn_sig_raw,3,-1.091269399
base.aniso._beta_a_raw,0,0.2
base.aniso._beta_a_raw,1,0.2
base.aniso._beta_a_raw,2,0.2
base.aniso._beta_a_raw,3,0.2
base.aniso._beta_b_raw,0,0.2
base.aniso._beta_b_raw,1,0.2
base.aniso._beta_b_raw,2,0.2
base.aniso._beta_b_raw,3,0.2
base.aniso._recruit_ref_stretch,,1.418008008
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
