param,index,value
base.iso._bth,,-6.499623002
base.iso._bz,,-4.210368356
base.iso.bthz,,0.6771304871
base.aniso._α,,0.01459280871
base.aniso._k1,0,4.533792391
base.aniso._k1,1,4.533792391
base.aniso._k1,2,-3.798232588
base.aniso._k1,3,-0.94244916
base.aniso._k2,0,-4.015871717
base.aniso._k2,1,-4.015871717
base.aniso._k2,2,12.92997109
base.aniso._k2,3,2.328125252
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-1.174108694
base.aniso._kappa,1,-1.174108694
base.aniso._tau_raw,0,-6.032204924
base.aniso._tau_raw,1,-6.032204924
base.aniso._tau_raw,2,-2.904887757
base.aniso._tau_raw,3,0.9175718003
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-1.042087869
base.aniso._lambda_lb_raw,1,-1.042087869
base.aniso._lambda_lb_raw,2,-1.067580967
base.aniso._lambda_lb_raw,3,-1.016793781
base.aniso._lambda_ub_raw,0,2.008980322
base.aniso._lambda_ub_raw,1,2.008980322
base.aniso._lambda_ub_raw,2,2.814073665
base.aniso._lambda_ub_raw,3,1.633922231
base.aniso._logn_mu_raw,0,-3.71659758
base.aniso._logn_mu_raw,1,-3.71659758
base.aniso._logn_mu_raw,2,-4.869581901
base.aniso._logn_mu_raw,3,-2.929656452
base.aniso._logn_sig_raw,0,-3.933342535
base.aniso._logn_sig_raw,1,-3.933342535
base.aniso._logn_sig_raw,2,-6.829832106
base.aniso._logn_sig_raw,3,-1.06193414
base.aniso._beta_a_raw,0,0.2
base.aniso._beta_a_raw,1,0.2
base.aniso._beta_a_raw,2,0.2
base.aniso._beta_a_raw,3,0.2
base.aniso._beta_b_raw,0,0.2
base.aniso._beta_b_raw,1,0.2
base.aniso._beta_b_raw,2,0.2
base.aniso._beta_b_raw,3,0.2
base.aniso._recruit_ref_stretch,,1.418008008
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
