lambda_z,sigma_z_kPa,lambda_theta,sigma_theta_kPa
1.411,13.637952637532623,1.51633693626087,22.53738477201198
1.413,13.638422946989284,1.5179241002564767,22.31995925060903
1.415,13.66496624504257,1.51873304891343,22.2006426742484
1.417,13.71340765185299,1.5145745215009467,22.126972235390568
1.419,13.764401640661541,1.5151671613163948,22.4414044837803
1.421,13.819692863229724,1.5143555825505732,22.363776630322466
1.425,13.92127415847717,1.51783045563473,22.41865856307365
1.427,14.019449276770294,1.52173867844064,22.760138008067468
1.429,14.070822130756326,1.51644743439814,22.46893560508535
1.431,14.185688075821899,1.5444867793404367,23.892155170254664
1.433,14.324808670434367,1.540260483301505,23.556635829804797
1.435,14.469681434499694,1.51751310360581,22.877220545589534
1.437,14.629912596711875,1.515943671771955,22.752602450430153
1.439,14.79593410431375,1.51124475194024,22.475362637894033
1.443,14.957616353786705,1.5145484622154899,22.713389864160852
1.445,15.045829896383541,1.5215223679371466,22.842974880448136
1.446,15.17174992986333,1.545925348563535,23.77643075260255
1.448,15.272420967807617,1.5304942678225435,23.241117462677668
1.45,15.424660010661993,1.51072228151482,22.6821836669466
1.452,15.54826768312974,1.5075592757982834,22.558482029663633
1.454,15.654841575003303,1.505690498933895,22.434435651847302
1.458,15.753187571097541,1.5104978083564902,22.796237781056863
1.46,15.89565210673302,1.511162094985325,22.70699117220495
1.462,16.061323045238325,1.5255507379667301,23.224873875677464
1.464,16.239863729746922,1.52212099505707,23.173384284303452
1.466,16.42353670270215,1.5113187002490835,23.11100389480343
1.468,16.541204817016574,1.51119939970493,23.0376658964817
1.47,16.67244572181788,1.5117799533379834,23.177015904537935
1.472,16.807720652911552,1.5102861511822199,23.26618006923945
1.474,16.98405136167741,1.5073917794807101,22.895299431615467
1.478,17.143859726525502,1.50895456495165,23.1211436272727
1.48,17.281643417338376,1.5101525322061964,23.1227953189285
1.482,17.46954104278545,1.511430260671905,23.19369352098575
1.484,17.693081759964976,1.5725322547439466,25.329538704069098
1.486,17.858488263014447,1.5869416884768448,25.74607126671275
1.488,18.002599416651524,1.5675335378039232,25.294390129351598
1.49,18.226315066988334,1.539068812951345,24.163511365681103
1.492,18.425670593054658,1.5431389146210635,24.21485342060103
1.496,18.666803262254092,1.55078549889565,24.612452986264152
1.498,18.801333532119024,1.5202689344026767,23.963073109677534
1.5,18.951694564815604,1.542733806411385,24.62304955530955
1.502,19.142691611091163,1.53378967566318,24.176422210884898
1.504,19.36322920598259,1.530735200193295,24.06951350547505
1.506,19.55171307912104,1.5883096034218667,26.19023110327443
1.508,19.63376015384506,1.5763843023985098,25.8719680481224
1.51,19.747172875384887,1.5790751425609535,26.174576754340066
1.514,19.933462778874265,1.55928134262876,25.466231677472102
1.516,20.17461919116999,1.5743676043156098,26.24043189277
1.518,20.32721484765573,1.57209247531945,25.94721321743015
1.52,20.507152861762073,1.5283152136172566,24.46068688045297
1.522,20.71521693438254,1.51339698096341,24.04352308854925
1.524,20.933876105173525,1.5173752508974065,24.32330952199217
1.526,21.177121874910288,1.5241448147457999,24.551448454008003
1.528,21.373175093836704,1.5165241963478666,24.228850832934867
1.532,21.491086613181,1.51159168872763,24.10999002715105
1.534,21.69980689446061,1.5114601652424735,24.3459092612799
1.536,21.886228561122262,1.573879337693655,26.68656443328735
1.538,22.074183626271317,1.5523738355419765,25.7309988617538
1.54,22.262127453617012,1.5113319543541248,24.08884188795965
1.542,22.425568995497567,1.5110379975535766,24.353854899372934
1.544,22.68372124045704,1.511763604780005,24.445907987843448
1.548,22.95037003460345,1.5168076675626334,24.49210291619973
1.55,23.209468908788246,1.516351209404125,24.531449794230802
1.552,23.432083324862514,1.51407088167952,24.338489956132666
1.554,23.646116011401777,1.51420396852259,24.6991311648352
1.556,23.942591824426895,1.5129420414467634,24.546411604829867
1.558,24.20146801349672,1.513101372904765,24.63263638582205
1.56,24.416432194616643,1.5237114133213367,24.903292394876264
1.562,24.634348189104664,1.518990386293125,24.649437473986602
1.566,24.932046332611264,1.5131716913812865,24.520550956483266
1.568,25.199358664111728,1.51311489219787,24.8227161988328
1.57,25.48063696270604,1.5128433379988764,24.76185769720247
