param,index,value
base.iso._bth,,-5.398497138
base.iso._bz,,2.650241833
base.iso.bthz,,-2.755590644
base.aniso._α,,-0.7212237199
base.aniso._k1,0,11.18028041
base.aniso._k1,1,11.18028041
base.aniso._k1,2,1.59414174
base.aniso._k1,3,-1.100641315
base.aniso._k2,0,0.1810940605
base.aniso._k2,1,0.1810940605
base.aniso._k2,2,-3.872246898
base.aniso._k2,3,0.809707616
base.aniso._lam0_raw,0,1.165230547
base.aniso._lam0_raw,1,1.165230547
base.aniso._lam0_raw,2,0.8591458629
base.aniso._lam0_raw,3,0.6663364328
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._tau_raw,0,-1.604384265
base.aniso._tau_raw,1,-1.604384265
base.aniso._tau_raw,2,5.063339418
base.aniso._tau_raw,3,4.974712382
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-2.69167429
base.aniso._lambda_lb_raw,1,-2.69167429
base.aniso._lambda_lb_raw,2,-2.28876087
base.aniso._lambda_lb_raw,3,-1.43176897
base.aniso._lambda_ub_raw,0,-3.00229863
base.aniso._lambda_ub_raw,1,-3.00229863
base.aniso._lambda_ub_raw,2,0.89621555
base.aniso._lambda_ub_raw,3,-2.9581611
base.aniso._logn_mu_raw,0,-1.61052967
base.aniso._logn_mu_raw,1,-1.61052967
base.aniso._logn_mu_raw,2,-2.37145801
base.aniso._logn_mu_raw,3,-0.10034266
base.aniso._logn_sig_raw,0,-5.0398
base.aniso._logn_sig_raw,1,-5.0398
base.aniso._logn_sig_raw,2,-2.69771225
base.aniso._logn_sig_raw,3,-2.70319562
base.aniso._beta_a_raw,0,-0.87183897
base.aniso._beta_a_raw,1,-0.87183897
base.aniso._beta_a_raw,2,-0.87183897
base.aniso._beta_a_raw,3,-0.81093022
base.aniso._beta_b_raw,0,-0.5798185
base.aniso._beta_b_raw,1,-0.47000363
base.aniso._beta_b_raw,2,-0.05129329
base.aniso._beta_b_raw,3,-1.2039728
base.aniso._recruit_ref_stretch,,1.431810811
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
