param,index,value
base.iso._bth,,-7.816679967
base.iso._bz,,3.316391312
base.iso.bthz,,-0.9195485576
base.aniso._α,,-0.3954690283
base.aniso._k1,0,3.983682431
base.aniso._k1,1,3.983682431
base.aniso._k1,2,-10.80801679
base.aniso._k1,3,25.11624976
base.aniso._k2,0,10.91721634
base.aniso._k2,1,10.91721634
base.aniso._k2,2,7.860057504
base.aniso._k2,3,26.19899373
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-1.29730326
base.aniso._kappa,1,-1.29730326
base.aniso._tau_raw,0,0.4753354795
base.aniso._tau_raw,1,0.4753354795
base.aniso._tau_raw,2,-1.047131508
base.aniso._tau_raw,3,-7.321911377
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-0.8414910775
base.aniso._lambda_lb_raw,1,-0.8414910775
base.aniso._lambda_lb_raw,2,-0.2550030895
base.aniso._lambda_lb_raw,3,0.03389393693
base.aniso._lambda_ub_raw,0,-3.548920602
base.aniso._lambda_ub_raw,1,-3.548920602
base.aniso._lambda_ub_raw,2,1.524360426
base.aniso._lambda_ub_raw,3,-0.323880027
base.aniso._logn_mu_raw,0,-1.506181297
base.aniso._logn_mu_raw,1,-1.506181297
base.aniso._logn_mu_raw,2,-3.344902932
base.aniso._logn_mu_raw,3,-1.059396034
base.aniso._logn_sig_raw,0,-3.930538109
base.aniso._logn_sig_raw,1,-3.930538109
base.aniso._logn_sig_raw,2,-2.315773585
base.aniso._logn_sig_raw,3,-8.718859326
base.aniso._beta_a_raw,0,-0.87183897
base.aniso._beta_a_raw,1,-0.87183897
base.aniso._beta_a_raw,2,-0.87183897
base.aniso._beta_a_raw,3,-0.81093022
base.aniso._beta_b_raw,0,-0.5798185
base.aniso._beta_b_raw,1,-0.47000363
base.aniso._beta_b_raw,2,-0.05129329
base.aniso._beta_b_raw,3,-1.2039728
base.aniso._recruit_ref_stretch,,1.431810811
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
