param,index,value
base.iso._bth,,-8.501594688
base.iso._bz,,4.035978354
base.iso.bthz,,-0.5284542417
base.aniso._α,,-0.5525937024
base.aniso._k1,0,2.725667395
base.aniso._k1,1,2.725667395
base.aniso._k1,2,-11.42058831
base.aniso._k1,3,27.80701969
base.aniso._k2,0,11.94564242
base.aniso._k2,1,11.94564242
base.aniso._k2,2,7.945901628
base.aniso._k2,3,24.17851227
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-1.184780056
base.aniso._kappa,1,-1.184780056
base.aniso._tau_raw,0,2.111539553
base.aniso._tau_raw,1,2.111539553
base.aniso._tau_raw,2,-1.037773779
base.aniso._tau_raw,3,-7.368408618
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-0.8488714708
base.aniso._lambda_lb_raw,1,-0.8488714708
base.aniso._lambda_lb_raw,2,-0.2535898987
base.aniso._lambda_lb_raw,3,0.09749141984
base.aniso._lambda_ub_raw,0,-3.656289015
base.aniso._lambda_ub_raw,1,-3.656289015
base.aniso._lambda_ub_raw,2,1.537801745
base.aniso._lambda_ub_raw,3,-0.2669847671
base.aniso._logn_mu_raw,0,-1.504699679
base.aniso._logn_mu_raw,1,-1.504699679
base.aniso._logn_mu_raw,2,-3.358315035
base.aniso._logn_mu_raw,3,-1.10554441
base.aniso._logn_sig_raw,0,-4.626029713
base.aniso._logn_sig_raw,1,-4.626029713
base.aniso._logn_sig_raw,2,-2.388648054
base.aniso._logn_sig_raw,3,-8.363891715
base.aniso._beta_a_raw,0,-0.87183897
base.aniso._beta_a_raw,1,-0.87183897
base.aniso._beta_a_raw,2,-0.87183897
base.aniso._beta_a_raw,3,-0.81093022
base.aniso._beta_b_raw,0,-0.5798185
base.aniso._beta_b_raw,1,-0.47000363
base.aniso._beta_b_raw,2,-0.05129329
base.aniso._beta_b_raw,3,-1.2039728
base.aniso._recruit_ref_stretch,,1.431810811
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
