lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,stress_ratio_sigmaTheta_over_sigmaZ,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
0.99762650329022,2.63926336908378,1.189,6.47802997990385,0.407417591037909,1.44158916,8.56761641025641,26.158,182.49194985,217.254775955703
0.999033893447028,2.6465660371295,1.189,6.48213166806065,0.408286374399011,1.43758956,8.57970307692307,26.158,182.49194985,217.392334958102
1.0003726129483,2.65173426308986,1.187,6.23140030187774,0.425543880127681,1.43758956,8.5912,26.114,174.29359045,209.335635651535
1.00164266179404,2.66493818847485,1.187,6.23770318362927,0.42723068251611,1.43758956,8.60210717948718,26.114,174.29359045,209.547372611764
1.00284403998424,2.65428896363752,1.185,6.22507616142815,0.426386584646794,1.429857,8.61242461538461,26.07,174.29359045,209.476135055934
1.0039767475189,2.6660047307616,1.185,6.69637262527856,0.398126699326368,1.429857,8.62215230769231,26.07,189.96461715,225.335436878559
1.00504078439803,2.73592570055555,1.185,6.72487969278887,0.406836378573329,1.46132052,8.63129025641025,26.07,189.96461715,226.294710334655
1.00603615062162,2.72847692298624,1.181,6.39846105970233,0.426427057620191,1.46132052,8.63983846153846,25.982,179.70686125,216.039850001785
1.00696284618967,2.68505444418489,1.181,6.38213602774591,0.42071407323689,1.43292336,8.64779692307692,25.982,179.70686125,215.48864598222
1.00782087110219,2.68509900902805,1.179,5.80889719584661,0.46223903066281,1.43292336,8.65516564102564,25.938,160.62312035,196.466323807774
1.00861022535918,2.66169969868549,1.179,5.80033380923672,0.45888733066481,1.41612504,8.66194461538461,25.938,160.62312035,196.176696184859
1.00933090896062,2.66907927323714,1.179,5.7145557986609,0.467066797013792,1.41612504,8.66813384615384,25.938,157.60267215,193.275544755733
1.00998292190654,2.7267370305128,1.177,5.72925780847133,0.475931983106263,1.4478552,8.67373333333333,25.894,157.60267215,194.102056145133
1.01078430975476,2.7351230538702,1.177,5.41428154392438,0.505168235467807,1.4478552,8.68061565217391,25.894,146.79574385,183.430946094006
1.01171068944646,2.6887101159001,1.175,5.38862573662853,0.49896026321218,1.42292436,8.68857140096618,25.85,146.79574385,182.87249402677
1.01236739726705,2.69546190409564,1.175,5.48547987013446,0.491381240640588,1.42292436,8.69421120772946,25.85,149.97309845,186.159409432796
1.01274250780215,2.65758960532061,1.175,5.4708120012168,0.485776079442964,1.40092656,8.69743265700482,25.85,149.97309845,185.661629497404
1.01271217674814,2.64855295884589,1.173,4.94403820347245,0.5357064103966,1.40092656,8.69717217391304,25.806,132.4682282,168.070711779344
1.01261366832497,2.65965074543442,1.173,4.94834376517875,0.53748301889417,1.40732592,8.69632618357487,25.806,132.4682282,168.217077723701
1.01242763186021,2.64899393810468,1.171,5.13790654678618,0.515578458654849,1.40732592,8.69472850241545,25.762,139.32307655,174.959504077412
1.0121347166814,2.74453510818906,1.171,5.17539554143497,0.530304415617303,1.45972068,8.69221294685989,25.762,139.32307655,176.236104936612
