lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,stress_ratio_sigmaTheta_over_sigmaZ,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.19337905309054,8.33618976255726,1.037,1.31213566195645,6.35314625175848,3.96107052,9.51778632478632,22.814,-79.05140565,50.4554653736828
1.19318532526657,8.33284049233323,1.037,1.31052276343676,6.35840957884692,3.96107052,9.51673897435897,22.814,-79.05140565,50.3934446941365
1.1930204205498,8.26326256557299,1.037,1.28219516388735,6.44462153524314,3.92934036,9.51584751393533,22.814,-79.05140565,49.3041653919842
1.19288434461815,8.26092950223182,1.037,1.4458210373353,5.71365977455757,3.92934036,9.51511194351542,22.814,-72.71630975,55.5960602252381
1.19277710216101,8.47906813109207,1.037,1.53378811091471,5.52818741438501,4.03399656,9.51453226309921,22.814,-72.71630975,58.9786522572177
1.19269869687672,8.47768829235802,1.037,1.44284306741371,5.87568286796031,4.03399656,9.51410847268673,22.814,-76.18786385,55.4815485458292
1.1926491314706,8.30984591195361,1.037,1.37498451149122,6.04359237686344,3.95453784,9.51384057227796,22.814,-76.18786385,52.8721880064241
1.19262840765352,8.30948841128004,1.037,1.1432451637425,7.26833462743746,3.95453784,9.5137285618729,22.814,-85.09230205,43.9611302743135
1.19263652614093,8.32643709445609,1.037,1.15010150449539,7.23974106799323,3.96253704,9.51377244147157,22.814,-85.09230205,44.2247766894501
1.19267348665255,8.32707598814774,1.037,1.54800085364387,5.37924508797684,3.96253704,9.51397221107394,22.814,-69.8037347,59.5251739084674
1.19273928791246,8.18082633735448,1.037,1.48901739484098,5.49411065693304,3.89241072,9.51432787068004,22.814,-69.8037347,57.2570868885536
1.19283392764983,8.18243349099403,1.037,1.82005509292426,4.49570648866866,3.89241072,9.51483942028985,22.814,-57.10412295,69.9864574843655
1.19295740260009,8.13435134327775,1.037,1.80079524926503,4.51708840669015,3.86854644,9.51550685990337,22.814,-57.10412295,69.2458599966012
1.19260126058267,8.12834052512003,1.037,1.07871634353355,7.53519734251361,3.86854644,9.51358183574878,22.814,-84.75887595,41.4798078409284
1.19237182569615,8.19082679280518,1.037,1.10365081822211,7.42157452118771,3.90014328,9.51234183574878,22.814,-84.75887595,42.4386115383933
1.19224446006039,8.18866046688959,1.037,1.02252831081807,8.00824816316166,3.90014328,9.51165352657004,22.814,-87.83816405,39.3192131545036
1.19155785403817,8.0453337262555,1.037,0.963756662200835,8.34788909047142,3.83734956,9.50794357487922,22.814,-87.83816405,37.0592708575771
1.19096085878584,8.03535187669659,1.037,0.897998824447604,8.94806502852547,3.83734956,9.50471864734299,22.814,-90.1819534,34.5306890942712
1.19040773529892,8.02610803404776,1.037,0.893548785432584,8.98228296529122,3.83734956,9.50173140096618,22.814,-90.1819534,34.3595720398813
1.19068254127766,7.89649701404072,1.037,1.50314567069156,5.2533145442968,3.77322264,9.50321545893719,22.814,-64.7435033,57.800360540537
1.19116928140614,7.90449713924438,1.037,1.50699709766076,5.24519732089343,3.77322264,9.50584444444443,22.814,-64.7435033,57.9484592057269
1.19477379206184,7.96356172806856,1.037,1.53546127824313,5.18642953808672,3.77308932,9.52532908212559,22.814,-64.7435033,59.0429904492591
1.19827095821828,8.02130968620888,1.037,1.27611854478914,6.28570889355288,3.77308932,9.54426009661835,22.814,-75.7857912,49.0705015617966
1.20173643378047,7.98621297615555,1.037,1.26629035678767,6.3067786415234,3.72989364,9.56304521739129,22.814,-75.7857912,48.6925789019896
1.20308719857538,8.00837104318043,1.037,1.54577479301923,5.18081358251312,3.72989364,9.57037410628018,22.814,-65.4495821,59.4395753472646
1.2040455932094,7.97649712648229,1.037,1.53404692043592,5.19964351821499,3.70776252,9.57557642512076,22.814,-65.4495821,58.9886042425299
1.20415510854895,7.97828547435478,1.037,1.72949715638431,4.61306654648349,3.70776252,9.57617101449274,22.814,-57.96710815,66.5042391712143
1.20373250399058,7.92925120531476,1.037,1.70907780992295,4.63949105141809,3.68816448,9.57387671497584,22.814,-57.96710815,65.7190553992878
1.20277894303828,7.91377305246314,1.037,1.33105616938367,5.94548392058279,3.68816448,9.56870125603864,22.814,-72.2161706,51.1830143878779
1.20178082114794,7.71202117719083,1.037,1.24803324012951,6.17933956341624,3.60150648,9.56328599033816,22.814,-72.2161706,47.9905392089325
1.20027353722964,7.68817413297114,1.037,1.27581267149063,6.02609952446109,3.60150648,9.55511227053139,22.814,-70.7059465,49.0587398361847
1.19827295587473,7.70390150553452,1.037,1.27974110539027,6.01989064279147,3.62377092,9.54427091787439,22.814,-70.7059465,49.209799643751
1.19579469053992,7.66458115190568,1.037,1.07921534290242,7.1019942426807,3.62377092,9.53085275362318,22.814,-77.6882813,41.4989958304842
1.1928541259079,7.55721283143119,1.037,1.03222915644203,7.32125495997419,3.59484048,9.51494859903381,22.814,-77.6882813,39.6922391263345
1.19012320043153,7.51442878644525,1.037,0.761446138751801,9.86862813273078,3.59484048,9.5001949758454,22.814,-87.30860495,29.2798377497273
1.18754261114838,7.52786451754836,1.037,0.763706271121304,9.85701545503307,3.62070456,9.48626840579709,22.814,-87.30860495,29.36674646947
1.18443788971227,7.47910051970075,1.037,0.672662506907371,11.1186522853587,3.62070456,9.46953256038646,22.814,-89.9073672,25.8658466570707
1.1819377517541,7.34376880631688,1.037,0.615153002402069,11.9381174726299,3.57390924,9.4560711111111,22.814,-89.9073672,23.6544375037684
1.18004368291397,7.31452807581011,1.037,1.17746212322101,6.21211326594595,3.57390924,9.44588212560386,22.814,-67.7443382,45.2768727422732
1.17829276975753,7.17635159667744,1.037,1.11984317178675,6.40835411375264,3.51938136,9.43647033816424,22.814,-67.7443382,43.0612550334882
1.17736024580892,7.16221287637985,1.037,0.660625235126093,10.8415671935584,3.51938136,9.43146048309178,22.814,-85.1413353,25.4029782455466
1.17771788925632,7.1385812242716,1.037,0.651567373440617,10.9560139369413,3.50511612,9.43338164251207,22.814,-85.1413353,25.0546768923544
1.17903195659488,7.15843330251243,1.037,0.783012930192418,9.14216486917184,3.50511612,9.44044289855072,22.814,-80.4537566,30.109144147155
1.18129513842159,7.34232381414886,1.037,0.859638883374677,8.54117229472586,3.57804216,9.45261333333332,22.814,-80.4537566,33.0556368305017
1.1845220049662,7.3922789439957,1.037,1.42152108168096,5.20025980568243,3.57804216,9.46998570048308,22.814,-59.77153175,54.6616556460106
1.18861477541503,7.15191223277844,1.037,1.32954632411794,5.37921252012277,3.43219008,9.49205275362318,22.814,-59.77153175,51.1249564082547
1.19179752059268,7.19946741445849,1.037,1.46261117884316,4.92233856721433,3.43219008,9.50923845410627,22.814,-55.53505895,56.2416904203702
1.19467723444294,7.35035447567269,1.037,1.52693935030191,4.81378286191874,3.48325164,9.52480676328501,22.814,-55.53505895,58.7152973207041
1.19721287176065,7.38898989828859,1.037,1.02452501754422,7.21211270760371,3.48325164,9.53852966183574,22.814,-75.5700449,39.3959923854961
1.19969981038219,7.19813043226679,1.037,0.950141357350242,7.57585213671886,3.37592904,9.55200231884057,22.814,-75.5700449,36.535722445352
1.20198985184607,7.23208717338803,1.037,1.17869435121375,6.13567645076169,3.37592904,9.56441990338163,22.814,-67.4109121,45.3242555233551
1.20404865414951,7.29450658398676,1.037,1.20635641937742,6.04672588201695,3.39072756,9.57559304347825,22.814,-67.4109121,46.3879431913784
1.20584192213388,7.32130492284536,1.037,1.26977639948621,5.76582217609948,3.39072756,9.58533236714975,22.814,-65.4691954,48.8266274701118
1.2073353748658,7.51228042340729,1.037,1.349056173931,5.56854530491295,3.46858644,9.59344850241545,22.814,-65.4691954,51.8751673660308
1.20821264391668,7.52572271974004,1.037,1.10765210343584,6.79430183574418,3.46858644,9.5982181642512,22.814,-75.0012592,42.592472692697
1.20862084369408,7.29458897769282,1.037,1.014190902255,7.19252062059884,3.35926404,9.60043806763284,22.814,-75.0012592,38.998615337329
1.20834710670972,7.29052434813689,1.037,0.92169417593409,7.90991691007304,3.35926404,9.59894937198067,22.814,-78.48261995,35.4418448696283
