lambda_z,sigma_z_kpa
1.241,5.984836734151088
1.243,5.984295244195432
1.247,6.007062734630244
1.247,6.029849380241774
1.247,6.022866387776208
1.249,6.016853726998745
1.249,6.034200808762571
1.251,6.051855813815831
1.253,6.083249990669335
1.253,6.114929451940537
1.255,6.14997306981586
1.255,6.18173057997094
1.255,6.222577170675756
1.257,6.263985974048134
1.261,6.307743450366615
1.261,6.319126499543985
1.263,6.320026854757663
1.263,6.364596272612057
1.263,6.400931856970743
1.265,6.436757285846816
1.269,6.479384080229736
1.269,6.515161990498258
1.271,6.550727851989254
1.271,6.557211930542902
1.271,6.564638497767501
1.273,6.58015152707329
1.273,6.59499845853832
1.273,6.641104065925971
1.283,6.6873451047192685
1.283,6.732017947304006
1.285,6.7764910303723935
1.289,6.778449357101459
1.291,6.7802640549783995
1.291,6.792062403828647
1.293,6.803639359666766
1.293,6.797059726743222
1.293,6.791114926067133
1.295,6.802876863324436
1.295,6.814197131099246
1.297,6.852871184319933
1.297,6.891601798558954
1.297,6.878075305913481
1.299,6.8651130852466125
1.299,6.858354354003638
1.301,6.851874996791388
1.301,6.859057021472673
1.301,6.865825601240602
1.303,6.878494722623075
1.303,6.891184576011022
1.305,6.87958552952563
1.305,6.868014055909465
1.305,6.859068851344516
1.307,6.853211802749645
1.307,6.861755943716221
1.309,6.870302207929287
1.309,6.888203711354916
1.309,6.939273541446269
1.311,6.989078096320517
1.311,6.995011764911836
1.313,6.986586395500617
1.313,6.977865852211362
1.313,6.965588995623665
1.315,6.960751160317872
1.315,6.951718118183056
1.317,6.964958810506631
1.317,6.978278986216395
1.317,7.025336175831897
1.319,7.07238126516416
1.319,7.07928264405164
1.321,7.086049946458564
1.321,7.0973349498516916
1.321,7.108416667227366
1.323,7.15202871153688
1.323,7.196560918906085
1.325,7.234962345391037
1.325,7.272629441942976
1.325,7.332872358328869
1.327,7.393170632052793
1.327,7.396139882104733
1.329,7.399045431407748
1.329,7.405789114364712
1.329,7.412765174527757
1.331,7.463141547520379
1.331,7.512992701696959
1.333,7.56335494340914
1.333,7.6135341537986605
1.333,7.673942226114476
1.335,7.735087595630417
1.335,7.748442110601819
1.337,7.761595037410503
1.337,7.801280341406621
1.337,7.840444212403874
1.339,7.9195253713759834
1.339,7.999040310444992
1.341,8.09152872414757
1.341,8.183410490828434
1.341,8.250982274620469
1.343,8.31819331698415
1.343,8.397012090747221
1.343,8.476413887754877
1.343,8.58735555906378
1.343,8.698630729630512
1.345,8.791913990248531
1.345,8.885662351173792
1.347,8.968185842330662
1.347,9.050888854497817
1.347,9.140981948458696
1.349,9.197137917066492
1.349,9.262679571758438
1.351,9.34784893641942
1.351,9.44352437797638
1.351,9.534250277710616
1.353,9.608423135714794
1.353,9.68368681922313
1.357,9.758081614745441
1.359,9.825871963173183
1.359,9.904594640195992
1.359,9.969248574419838
1.361,10.040526716312275
1.361,10.142627867718433
1.363,10.24542176734482
1.363,10.329890145538846
1.363,10.414390867821826
1.366,10.472906805315962
1.366,10.531264008141868
1.368,10.588892686859582
1.368,10.646945331522936
1.368,10.67651212973532
1.37,10.70507209225878
1.37,10.78046906986969
1.372,10.856413898032597
1.372,10.923192578642903
1.372,10.990720279744123
1.374,11.006720819575696
1.374,11.021808389065619
1.376,10.99138052295802
1.376,10.961135809657362
1.376,10.931506534125308
1.378,10.903048130794813
1.378,10.920075118140298
1.38,10.93722687791704
1.38,10.942352290842196
1.38,10.94730252561896
1.382,10.940135212737216
1.382,10.932132563831601
1.384,10.936410479936464
1.384,10.940046139758607
1.384,10.930046840906325
1.386,10.922000481541073
1.386,10.948661423369701
1.388,10.974425771151783
1.388,10.968570797234296
1.388,10.962678897670846
1.39,10.963579228714659
1.39,10.964183340892857
1.392,10.96607087852314
1.392,10.967746592475487
1.392,10.992383173307255
1.394,11.017586949285732
1.394,11.03333292589502
1.396,11.04870226850712
1.396,11.04538526968334
1.396,11.048542928275632
1.398,11.048588710933615
1.398,11.059705143049948
1.4,11.094911767330423
1.4,11.124845882928856
1.4,11.188816616701258
1.402,11.267842215938712
1.402,11.348499699719346
1.404,11.410194126772167
1.404,11.426426913203555
1.404,11.445196080351671
1.406,11.48906848756676
1.406,11.541923517529396
1.408,11.573878314315058
1.408,11.624430681087398
1.408,11.703514880770971
1.408,11.797108607468234
1.408,11.903997928288847
1.41,11.955473434997128
1.41,11.977036786414955
1.41,11.993308508718611
1.412,12.00965051279663
1.412,12.028950051280948
1.414,12.04846543849203
1.414,12.111617569272314
1.414,12.175672442344853
1.416,12.274860272766485
1.416,12.372286538234853
1.418,12.395259292291659
1.418,12.419232368966544
1.418,12.475754300643155
1.42,12.532023920893948
1.42,12.610111526540608
1.422,12.689286511153298
1.422,12.810191251755011
1.422,12.931330920449124
1.424,13.033821831461646
1.424,13.135072800925595
1.426,13.197927718191586
1.426,13.261454605555468
1.426,13.336667839284754
1.428,13.412076784103673
1.428,13.49665187035018
1.43,13.581996862400544
1.43,13.664134736854118
1.43,13.745787816573236
1.432,13.786466039690254
1.432,13.827267509824713
1.434,13.831822053411578
1.434,13.835963077075185
1.434,13.904874128710986
1.436,13.97425216790224
1.436,14.020437542766723
1.438,14.067299669374707
1.438,14.163095266555567
1.438,14.258301341229314
1.44,14.325286210688652
1.44,14.391964862038023
1.442,14.424795578684718
1.442,14.457077141964762
1.442,14.529760837668272
1.444,14.603428536458756
1.444,14.681373468539498
1.446,14.790483396735546
1.446,14.934409508950559
1.446,15.037553483208402
1.448,15.111441770203792
1.448,15.156011130204925
1.45,15.217762890867975
1.45,15.310101265806308
1.45,15.4113797182728
1.452,15.501443738329854
1.452,15.617619789590893
1.454,15.72267963814404
1.454,15.83523861124362
1.454,15.905153483489542
1.456,15.937278906703305
1.456,15.954356155800465
1.458,15.969353591949242
1.458,16.02477622595361
1.458,16.04855351923174
1.46,16.07907994208857
1.46,16.109064889074897
1.462,16.207340160421506
1.462,16.305069464794215
1.462,16.317176426711757
1.464,16.32991851168914
1.464,16.356579261916576
1.466,16.383737076172853
1.466,16.440245724573312
1.466,16.49744097373542
1.468,16.53374763061222
1.468,16.56920679297918
