param,index,value
base.iso._bth,,-7.939528873
base.iso._bz,,-0.04489298921
base.iso.bthz,,0.6262364436
base.aniso._α,,0.4960668412
base.aniso._k1,0,10.30027128
base.aniso._k1,1,10.30027128
base.aniso._k1,2,-5.661623744
base.aniso._k1,3,1.444052663
base.aniso._k2,0,-4.572780111
base.aniso._k2,1,-4.572780111
base.aniso._k2,2,5.538381144
base.aniso._k2,3,0.4274883277
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-7.186922109
base.aniso._kappa,1,-7.186922109
base.aniso._tau_raw,0,9.246230812
base.aniso._tau_raw,1,9.246230812
base.aniso._tau_raw,2,1.154539993
base.aniso._tau_raw,3,-1.94227179
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-0.5679139526
base.aniso._lambda_lb_raw,1,-0.5679139526
base.aniso._lambda_lb_raw,2,-0.398056924
base.aniso._lambda_lb_raw,3,-1.025782982
base.aniso._lambda_ub_raw,0,2.858841272
base.aniso._lambda_ub_raw,1,2.858841272
base.aniso._lambda_ub_raw,2,1.649102313
base.aniso._lambda_ub_raw,3,1.853777627
base.aniso._logn_mu_raw,0,-4.27566244
base.aniso._logn_mu_raw,1,-4.27566244
base.aniso._logn_mu_raw,2,-4.984526756
base.aniso._logn_mu_raw,3,-3.299147006
base.aniso._logn_sig_raw,0,-4.014634465
base.aniso._logn_sig_raw,1,-4.014634465
base.aniso._logn_sig_raw,2,-3.560744606
base.aniso._logn_sig_raw,3,-1.513649523
base.aniso._beta_a_raw,0,0.2
base.aniso._beta_a_raw,1,0.2
base.aniso._beta_a_raw,2,0.2
base.aniso._beta_a_raw,3,0.2
base.aniso._beta_b_raw,0,0.2
base.aniso._beta_b_raw,1,0.2
base.aniso._beta_b_raw,2,0.2
base.aniso._beta_b_raw,3,0.2
base.aniso._recruit_ref_stretch,,1.422986486
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
