param,index,value
base.iso._bth,,-8.242041104
base.iso._bz,,0.8185778244
base.iso.bthz,,0.1011770848
base.aniso._α,,0.5232149764
base.aniso._k1,0,11.01638401
base.aniso._k1,1,11.01638401
base.aniso._k1,2,-5.366891987
base.aniso._k1,3,2.032098153
base.aniso._k2,0,-4.032936522
base.aniso._k2,1,-4.032936522
base.aniso._k2,2,5.47649047
base.aniso._k2,3,0.01453000968
base.aniso._lam0_raw,0,-2
base.aniso._lam0_raw,1,-2
base.aniso._lam0_raw,2,-2
base.aniso._lam0_raw,3,-2
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._kappa,0,-7.957567047
base.aniso._kappa,1,-7.957567047
base.aniso._tau_raw,0,9.398364037
base.aniso._tau_raw,1,9.398364037
base.aniso._tau_raw,2,1.67003586
base.aniso._tau_raw,3,-2.021069006
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-0.512701289
base.aniso._lambda_lb_raw,1,-0.512701289
base.aniso._lambda_lb_raw,2,-0.3958256289
base.aniso._lambda_lb_raw,3,-1.018566193
base.aniso._lambda_ub_raw,0,3.489916266
base.aniso._lambda_ub_raw,1,3.489916266
base.aniso._lambda_ub_raw,2,1.630020487
base.aniso._lambda_ub_raw,3,1.883055575
base.aniso._logn_mu_raw,0,-4.882420909
base.aniso._logn_mu_raw,1,-4.882420909
base.aniso._logn_mu_raw,2,-4.963905017
base.aniso._logn_mu_raw,3,-3.36138206
base.aniso._logn_sig_raw,0,-4.47487909
base.aniso._logn_sig_raw,1,-4.47487909
base.aniso._logn_sig_raw,2,-3.542682341
base.aniso._logn_sig_raw,3,-1.57332701
base.aniso._beta_a_raw,0,0.2
base.aniso._beta_a_raw,1,0.2
base.aniso._beta_a_raw,2,0.2
base.aniso._beta_a_raw,3,0.2
base.aniso._beta_b_raw,0,0.2
base.aniso._beta_b_raw,1,0.2
base.aniso._beta_b_raw,2,0.2
base.aniso._beta_b_raw,3,0.2
base.aniso._recruit_ref_stretch,,1.422986486
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
