name,bucket,kind,n_specimens,n_ages,obs_mean_abs_coeff_raw,obs_max_abs_coeff_raw,psi_grid_mean,psi_grid_std,psi_grid_rms
I₈D1D2,cross,symbolic,12,5,1.0969586583333335,3.0141,-1.708765990273336,0.5300253473774584,1.7890802325154151
I₂-3,iso,symbolic,4,3,0.058884675000000004,0.13947,1.0929415739177102,0.9864901869406932,1.4723057335105387
<E_z>,iso,symbolic,7,5,0.45260757142857144,1.7593,0.36190368411510065,0.2658685220459489,0.44906608376827983
<I₂-3>ln(1+<I₂-3>),iso,symbolic,3,3,0.027798100000000003,0.066419,1.0927076893640981,1.572694716760763,1.9150401474962981
<I₄z-1>,aniso,symbolic,5,4,0.42652999999999996,0.9969,0.7278685304177712,0.5329012931372842,0.9020955524776274
exp(<I₄z-1>)-1,aniso,symbolic,2,2,0.00856055,0.016099,6.348731411775364,7.469932024013818,9.803380793494169
<I₂-3>·<E_z>,cross,symbolic,3,3,0.038182,0.062301,0.5288399203745704,0.7320557654082835,0.9030931873562604
I₁-3,iso,symbolic,3,3,0.00569449,0.012798,0.7975683849232121,0.5403331577857936,0.9633666228553844
<E_θ>,iso,symbolic,4,4,0.62326485,1.1852,0.24256909886640526,0.29428791357009,0.3813727098237321
<I₄D1-1>,aniso,symbolic,4,2,0.633549,1.1688,0.7247205081601106,0.5289673276584702,0.8972325499434315
<I₄D2-1>,aniso,symbolic,4,2,0.5682017500000001,1.0702,0.7247205081601106,0.5289673276584702,0.8972325499434315
(<I₄D2-1>)³,aniso,symbolic,2,2,0.020396,0.023564,1.0151316110068553,1.3238802392757953,1.6682778772165958
(<I₄θ-1>)³,aniso,symbolic,2,2,19.7229794,39.438,0.7855908567534129,1.3663388525161957,1.576082121626229
<I₄θ-1>,aniso,symbolic,2,2,0.24751,0.27265,0.48920122807552185,0.5892885370223746,0.7658843394511793
<I₄z-1>·<E_z>,cross,symbolic,2,2,0.0107416,0.012173,0.40509949446484916,0.42892332370440156,0.5899837438720724
(<I₄z-1>)³,aniso,symbolic,1,1,0.018348,0.018348,1.032522176866735,1.3480268591007727,1.6980219252349822
(<I₄D1-1>)³,aniso,symbolic,1,1,0.023572,0.023572,1.0151316110068553,1.3238802392757953,1.6682778772165958
<I₁-3>·<E_θ>,cross,symbolic,1,1,0.01412,0.01412,0.2996196235808712,0.4660715175192846,0.554070914484303
<I₄z-1>·<I₄D2-1>,cross,symbolic,1,1,0.0075835,0.0075835,0.8093735590949143,0.8551228656096627,1.1774211962804348
<I₁-3>·<E_z>,cross,symbolic,1,1,0.0020865,0.0020865,0.36725631437891093,0.4203874488927509,0.5582139443239812
