name,mu,mu_star,mu_star_conf,sigma,bucket,kind,n_specimens,n_ages,obs_mean_abs_coeff_raw,obs_max_abs_coeff_raw,psi_grid_mean,psi_grid_std,psi_grid_rms
(<I₄θ-1>)³,43.910509310827514,85.33730175240768,3.53801378067819,84.58380060590989,aniso,symbolic,2,2,19.7229794,39.438,0.7855908567534129,1.3663388525161957,1.576082121626229
I₈D1D2,-0.9745973208608252,4.3059526027111925,1.408625907030936,5.137422057081581,cross,symbolic,12,5,1.0969586583333335,3.0141,-1.708765990273336,0.5300253473774584,1.7890802325154151
<E_θ>,0.031188894033947395,0.802027190783817,0.05090510376977376,0.9273299999453418,iso,symbolic,4,4,0.62326485,1.1852,0.24256909886640526,0.29428791357009,0.3813727098237321
<I₄D1-1>,-0.2836345693595713,0.6726071213905649,0.23494700677487218,0.752270074620441,aniso,symbolic,4,2,0.633549,1.1688,0.7247205081601106,0.5289673276584702,0.8972325499434315
<I₄z-1>,-0.30731236049242516,0.6618249001900623,0.18098681101272043,0.7040579552746945,aniso,symbolic,5,4,0.42652999999999996,0.9969,0.7278685304177712,0.5329012931372842,0.9020955524776274
<I₄D2-1>,-0.11229039610805013,0.5011969930616708,0.281427862395237,0.6510032229198878,aniso,symbolic,4,2,0.5682017500000001,1.0702,0.7247205081601106,0.5289673276584702,0.8972325499434315
<E_z>,0.04587730835531545,0.4243891075927827,0.22265950617541783,0.5459151100083641,iso,symbolic,7,5,0.45260757142857144,1.7593,0.36190368411510065,0.2658685220459489,0.44906608376827983
<I₄θ-1>,0.01407749109196535,0.37125825451656735,0.022149714722584243,0.4295651393201067,aniso,symbolic,2,2,0.24751,0.27265,0.48920122807552185,0.5892885370223746,0.7658843394511793
I₂-3,-0.2925302465038319,0.2925302465038319,0.038968627413516824,0.04675235395253023,iso,symbolic,4,3,0.058884675000000004,0.13947,1.0929415739177102,0.9864901869406932,1.4723057335105387
<I₂-3>ln(1+<I₂-3>),-0.08475904627211742,0.18481042177892112,0.02183932028641924,0.19133244755829654,iso,symbolic,3,3,0.027798100000000003,0.066419,1.0927076893640981,1.572694716760763,1.9150401474962981
exp(<I₄z-1>)-1,-0.07821114890919598,0.07821114890919598,0.04801950920954387,0.04980299612910667,aniso,symbolic,2,2,0.00856055,0.016099,6.348731411775364,7.469932024013818,9.803380793494169
<I₂-3>·<E_z>,-0.020985268952993984,0.05719847567682291,0.01784516977270012,0.06460077103782505,cross,symbolic,3,3,0.038182,0.062301,0.5288399203745704,0.7320557654082835,0.9030931873562604
(<I₄D1-1>)³,0.013538189055065281,0.018965499445213013,0.005999264699822619,0.016998074869352026,aniso,symbolic,1,1,0.023572,0.023572,1.0151316110068553,1.3238802392757953,1.6682778772165958
(<I₄D2-1>)³,0.003066445233159687,0.018556679375711926,0.009814022851680305,0.024193818289868156,aniso,symbolic,2,2,0.020396,0.023564,1.0151316110068553,1.3238802392757953,1.6682778772165958
I₁-3,-0.007262108609039272,0.016629335091558062,0.0025618724751128377,0.01759115246983231,iso,symbolic,3,3,0.00569449,0.012798,0.7975683849232121,0.5403331577857936,0.9633666228553844
<I₁-3>·<E_θ>,-0.006794041523717395,0.01405029040323284,0.0006507756017261849,0.014219215481072132,cross,symbolic,1,1,0.01412,0.01412,0.2996196235808712,0.4660715175192846,0.554070914484303
(<I₄z-1>)³,-0.0007208202901128526,0.012816829459912546,0.004977328370562485,0.015885217143738216,aniso,symbolic,1,1,0.018348,0.018348,1.032522176866735,1.3480268591007727,1.6980219252349822
<I₄z-1>·<I₄D2-1>,0.0029824623692727616,0.004296742942101844,0.00201219605736988,0.0042413071969549425,cross,symbolic,1,1,0.0075835,0.0075835,0.8093735590949143,0.8551228656096627,1.1774211962804348
<I₄z-1>·<E_z>,-0.001144414252477836,0.003926275613123457,0.001111427068122556,0.004550176525426466,cross,symbolic,2,2,0.0107416,0.012173,0.40509949446484916,0.42892332370440156,0.5899837438720724
<I₁-3>·<E_z>,-0.0005360533474670545,0.0012382330098748007,0.00017986897014823865,0.0013057122398543197,cross,symbolic,1,1,0.0020865,0.0020865,0.36725631437891093,0.4203874488927509,0.5582139443239812
