age,bucket,name,n_animals,mean_abs_coeff,max_abs_coeff
10weeks,cross,I₈D1D2,3,0.3881847,0.67155
10weeks,iso,I₂-3,2,0.0466505,0.069802
10weeks,iso,<E_z>,1,0.23469,0.23469
10weeks,aniso,<I₄z-1>,1,0.11132,0.11132
10weeks,cross,<I₂-3>·<E_z>,1,0.022207,0.022207
10weeks,iso,<I₂-3>ln(1+<I₂-3>),1,0.0058753,0.0058753
10weeks,aniso,exp(<I₄z-1>)-1,1,0.0010221,0.0010221
10weeks,iso,I₁-3,1,0.00078777,0.00078777
16weeks,cross,I₈D1D2,3,1.3705966666666667,1.9043
16weeks,iso,<E_z>,3,0.661963,1.7593
16weeks,aniso,<I₄D1-1>,2,0.6205780000000001,1.1688
16weeks,aniso,<I₄D2-1>,2,0.5666485,1.0702
16weeks,aniso,<I₄z-1>,2,0.605855,0.9969
16weeks,aniso,(<I₄θ-1>)³,1,39.438,39.438
16weeks,iso,<E_θ>,1,0.15159,0.15159
16weeks,cross,<I₂-3>·<E_z>,1,0.030038,0.030038
16weeks,aniso,(<I₄D2-1>)³,1,0.017228,0.017228
28weeks,cross,I₈D1D2,3,1.8519716,3.0141
28weeks,aniso,<I₄D1-1>,2,0.64652,1.1643
28weeks,aniso,<I₄D2-1>,2,0.569755,1.0314
28weeks,iso,<E_θ>,1,1.1852,1.1852
28weeks,aniso,<I₄θ-1>,1,0.27265,0.27265
28weeks,iso,I₂-3,1,0.13947,0.13947
28weeks,iso,<I₂-3>ln(1+<I₂-3>),1,0.066419,0.066419
28weeks,cross,<I₂-3>·<E_z>,1,0.062301,0.062301
28weeks,iso,<E_z>,1,0.015204,0.015204
28weeks,iso,I₁-3,1,0.012798,0.012798
28weeks,cross,<I₄z-1>·<E_z>,1,0.0093102,0.0093102
3weeks,cross,I₈D1D2,2,0.2593725,0.48855
3weeks,iso,<E_z>,1,0.4301,0.4301
3weeks,aniso,<I₄z-1>,1,0.16608,0.16608
3weeks,aniso,(<I₄D1-1>)³,1,0.023572,0.023572
3weeks,aniso,(<I₄D2-1>)³,1,0.023564,0.023564
3weeks,aniso,(<I₄z-1>)³,1,0.018348,0.018348
3weeks,aniso,exp(<I₄z-1>)-1,1,0.016099,0.016099
3weeks,cross,<I₁-3>·<E_θ>,1,0.01412,0.01412
3weeks,cross,<I₄z-1>·<E_z>,1,0.012173,0.012173
3weeks,iso,<I₂-3>ln(1+<I₂-3>),1,0.0111,0.0111
3weeks,aniso,(<I₄θ-1>)³,1,0.0079588,0.0079588
3weeks,cross,<I₄z-1>·<I₄D2-1>,1,0.0075835,0.0075835
3weeks,iso,I₁-3,1,0.0034977,0.0034977
3weeks,iso,<E_θ>,1,0.0027694,0.0027694
3weeks,iso,I₂-3,1,0.0027677,0.0027677
8weeks,cross,I₈D1D2,1,1.8125,1.8125
8weeks,iso,<E_θ>,1,1.1535,1.1535
8weeks,aniso,<I₄z-1>,1,0.64354,0.64354
8weeks,iso,<E_z>,1,0.50237,0.50237
8weeks,aniso,<I₄θ-1>,1,0.22237,0.22237
8weeks,cross,<I₁-3>·<E_z>,1,0.0020865,0.0020865
