age,age_weeks,animal,bucket,kind,name,coeff_raw,psi_grid_rms,contribution,contribution_frac
3weeks,3.0,Lucid,cross,symbolic,I₈D1D2,0.48855,1.7890802325154151,0.874055147595406,0.6357490032474652
3weeks,3.0,Lucid,iso,symbolic,<E_z>,0.4301,0.44906608376827983,0.19314332262873715,0.14048389873674444
3weeks,3.0,Lucid,aniso,symbolic,exp(<I₄z-1>)-1,0.016099,9.803380793494169,0.15782462739446262,0.11479464405646109
3weeks,3.0,Lucid,aniso,symbolic,<I₄z-1>,0.16608,0.9020955524776274,0.14982002935548436,0.1089724539593293
3weeks,3.0,Rosie,cross,symbolic,I₈D1D2,0.030195,1.7890802325154151,0.05402127762080296,0.2348259428221505
3weeks,3.0,Rosie,aniso,symbolic,(<I₄D1-1>)³,0.023572,1.6682778772165958,0.039324646121749594,0.17094092380612627
3weeks,3.0,Rosie,aniso,symbolic,(<I₄D2-1>)³,0.023564,1.6682778772165958,0.03931129989873187,0.17088290889901409
3weeks,3.0,Rosie,aniso,symbolic,(<I₄z-1>)³,0.018348,1.6980219252349822,0.031155306284211454,0.13542949175429148
3weeks,3.0,Rosie,iso,symbolic,<I₂-3>ln(1+<I₂-3>),0.0111,1.9150401474962981,0.02125694563720891,0.09240215190420714
3weeks,3.0,Rosie,aniso,symbolic,(<I₄θ-1>)³,0.0079588,1.576082121626229,0.012543722389598833,0.05452650448797516
3weeks,3.0,Rosie,cross,symbolic,<I₄z-1>·<I₄D2-1>,0.0075835,1.1774211962804348,0.008928973641992678,0.03881349620482922
3weeks,3.0,Rosie,cross,symbolic,<I₁-3>·<E_θ>,0.01412,0.554070914484303,0.007823481312518359,0.03400801418025204
3weeks,3.0,Rosie,cross,symbolic,<I₄z-1>·<E_z>,0.012173,0.5899837438720724,0.0071818721141547375,0.031218993047010982
3weeks,3.0,Rosie,iso,symbolic,I₂-3,0.0027677,1.4723057335105387,0.0040749005786371185,0.01771324952737697
3weeks,3.0,Rosie,iso,symbolic,I₁-3,0.0034977,0.9633666228553844,0.003369567436761278,0.014647225780080006
3weeks,3.0,Rosie,iso,symbolic,<E_θ>,0.0027694,0.3813727098237321,0.0010561735825858438,0.004591097586686117
8weeks,8.0,Martini,cross,symbolic,I₈D1D2,1.8125,1.7890802325154151,3.24270792143419,0.695826075556286
8weeks,8.0,Martini,aniso,symbolic,<I₄z-1>,0.64354,0.9020955524776274,0.5805345718414523,0.12457214853643875
8weeks,8.0,Martini,iso,symbolic,<E_θ>,1.1535,0.3813727098237321,0.439913420781675,0.09439740999913128
8weeks,8.0,Martini,iso,symbolic,<E_z>,0.50237,0.44906608376827983,0.22559732850267072,0.048409078939976743
8weeks,8.0,Martini,aniso,symbolic,<I₄θ-1>,0.22237,0.7658843394511793,0.17030970056375874,0.03654536068115362
8weeks,8.0,Martini,cross,symbolic,<I₁-3>·<E_z>,0.0020865,0.5582139443239812,0.0011647133948319867,0.0002499262870136446
10weeks,10.0,Gus,cross,symbolic,I₈D1D2,0.0099241,1.7890802325154151,0.017755011135506232,1.0
10weeks,10.0,Mojito,cross,symbolic,I₈D1D2,0.67155,1.7890802325154151,1.201456830145727,0.8100472050064507
10weeks,10.0,Mojito,iso,symbolic,<E_z>,0.23469,0.44906608376827983,0.1053913191995776,0.07105702128240896
10weeks,10.0,Mojito,aniso,symbolic,<I₄z-1>,0.11132,0.9020955524776274,0.10042127690180948,0.06770611530638433
10weeks,10.0,Mojito,iso,symbolic,I₂-3,0.023499,1.4723057335105387,0.03459771243176415,0.023326497924663826
10weeks,10.0,Mojito,cross,symbolic,<I₂-3>·<E_z>,0.022207,0.9030931873562604,0.020054990411620476,0.013521492010157276
10weeks,10.0,Mojito,iso,symbolic,<I₂-3>ln(1+<I₂-3>),0.0058753,1.9150401474962981,0.011251435378585,0.007585951947710013
10weeks,10.0,Mojito,aniso,symbolic,exp(<I₄z-1>)-1,0.0010221,9.803380793494169,0.010020035509030389,0.00675571652222491
10weeks,10.0,Pablo,cross,symbolic,I₈D1D2,0.48308,1.7890802325154151,0.8642688787235467,0.8930264053898225
10weeks,10.0,Pablo,iso,symbolic,I₂-3,0.069802,1.4723057335105387,0.10276988481050263,0.1061894314072666
10weeks,10.0,Pablo,iso,symbolic,I₁-3,0.00078777,0.9633666228553844,0.0007589113244867862,0.0007841632029108945
16weeks,16.0,Audi,cross,symbolic,I₈D1D2,1.9043,1.7890802325154151,3.4069454867791054,0.8791083125242343
16weeks,16.0,Audi,aniso,symbolic,<I₄z-1>,0.21481,0.9020955524776274,0.19377914562771914,0.050001638821706544
16weeks,16.0,Audi,iso,symbolic,<E_z>,0.21241,0.44906608376827983,0.09538612685322032,0.024612878997201843
16weeks,16.0,Audi,aniso,symbolic,<I₄D1-1>,0.072356,0.8972325499434315,0.06492015838370693,0.01675161845323854
16weeks,16.0,Audi,iso,symbolic,<E_θ>,0.15159,0.3813727098237321,0.05781228908217955,0.01491754537764733
16weeks,16.0,Audi,aniso,symbolic,<I₄D2-1>,0.063097,0.8972325499434315,0.0566126822037807,0.014608005825971476
16weeks,16.0,Oreon,cross,symbolic,I₈D1D2,0.64829,1.7890802325154151,1.1598428239374186,0.3620147788281819
16weeks,16.0,Oreon,aniso,symbolic,<I₄D1-1>,1.1688,0.8972325499434315,1.0486854043738827,0.32731988066793244
16weeks,16.0,Oreon,aniso,symbolic,<I₄D2-1>,1.0702,0.8972325499434315,0.9602182749494604,0.2997071665732558
16weeks,16.0,Oreon,aniso,symbolic,(<I₄D2-1>)³,0.017228,1.6682778772165958,0.028741091268687513,0.008970784302990958
16weeks,16.0,Oreon,iso,symbolic,<E_z>,0.014179,0.44906608376827983,0.00636730800175044,0.001987389627638867
16weeks,16.0,Sagittarius,aniso,symbolic,(<I₄θ-1>)³,39.438,1.576082121626229,62.15752671269522,0.9324067880266491
16weeks,16.0,Sagittarius,cross,symbolic,I₈D1D2,1.5592,1.7890802325154151,2.789533898538035,0.041844978074008124
16weeks,16.0,Sagittarius,aniso,symbolic,<I₄z-1>,0.9969,0.9020955524776274,0.8992990562649468,0.013490120808750516
16weeks,16.0,Sagittarius,iso,symbolic,<E_z>,1.7593,0.44906608376827983,0.7900419611735348,0.011851187239624139
