name,bucket,kind,n_specimens,n_ages,obs_mean_abs_coeff_raw,obs_max_abs_coeff_raw,psi_grid_mean,psi_grid_std,psi_grid_rms
I₈D1D2,cross,symbolic,12,5,1.0969586583333335,3.0141,-1.6968633135687607,0.4708694027265041,1.7609835602184278
I₂-3,iso,symbolic,4,3,0.058884675000000004,0.13947,2.444279793926761,2.3611731298508993,3.3984764616116645
<E_z>,iso,symbolic,7,5,0.45260757142857144,1.7593,0.35695798888701025,0.23670558118156995,0.42830892821976496
<I₂-3>ln(1+<I₂-3>),iso,symbolic,3,3,0.027798100000000003,0.066419,3.9300467505548413,5.339488851962823,6.629887530100487
<I₄z-1>,aniso,symbolic,5,4,0.42652999999999996,0.9969,0.7184728149849369,0.4739340429792254,0.8607070715214403
exp(<I₄z-1>)-1,aniso,symbolic,2,2,0.00856055,0.016099,5.493952743909558,6.073440608141211,8.189639648539492
<I₂-3>·<E_z>,cross,symbolic,3,3,0.038182,0.062301,1.024351272869028,1.3660924681903857,1.7074847471866033
I₁-3,iso,symbolic,3,3,0.00569449,0.012798,1.6058338737225355,1.4321250703937642,2.1516701994601934
<E_θ>,iso,symbolic,4,4,0.62326485,1.1852,0.4751226881876298,0.5611188386052026,0.7352522831438819
<I₄D1-1>,aniso,symbolic,4,2,0.633549,1.1688,0.7185565249219537,0.4704865469636983,0.8588836186479157
<I₄D2-1>,aniso,symbolic,4,2,0.5682017500000001,1.0702,0.7185565249219537,0.4704865469636983,0.8588836186479157
(<I₄D2-1>)³,aniso,symbolic,2,2,0.020396,0.023564,0.8657051729263218,1.0987007819753638,1.398781203314038
(<I₄θ-1>)³,aniso,symbolic,2,2,19.7229794,39.438,5.683829979669989,10.573130759328137,12.004041706510609
<I₄θ-1>,aniso,symbolic,2,2,0.24751,0.27265,0.9550741131321844,1.122344075182042,1.4737105498270213
<I₄z-1>·<E_z>,cross,symbolic,2,2,0.0107416,0.012173,0.3686472238672572,0.3718367435836756,0.5236060919660387
(<I₄z-1>)³,aniso,symbolic,1,1,0.018348,0.018348,0.8729635714737349,1.1110929325437746,1.4130084578193096
(<I₄D1-1>)³,aniso,symbolic,1,1,0.023572,0.023572,0.8657051729263218,1.0987007819753638,1.398781203314038
<I₁-3>·<E_θ>,cross,symbolic,1,1,0.01412,0.01412,1.0492925998143479,1.6410084293478655,1.9477996881650594
<I₄z-1>·<I₄D2-1>,cross,symbolic,1,1,0.0075835,0.0075835,0.7391921039139447,0.7428827227862469,1.0479884094316272
<I₁-3>·<E_z>,cross,symbolic,1,1,0.0020865,0.0020865,0.6080586792247701,0.6749389227658033,0.9084480760312253
