name,delta,delta_conf,S1_delta_method,S1_delta_conf,bucket,kind,n_specimens,n_ages,obs_mean_abs_coeff_raw,obs_max_abs_coeff_raw,psi_grid_mean,psi_grid_std,psi_grid_rms
(<I₄θ-1>)³,0.7616565840643064,0.003902869342017305,0.0,0.0,aniso,symbolic,2,2,19.7229794,39.438,0.5646339434775183,1.0221902881721283,1.1677690162700807
<I₄D2-1>,0.07622135627715297,0.008277657859024205,0.0,0.0,aniso,symbolic,4,2,0.5682017500000001,1.0702,0.7152504765148047,0.47039407339566236,0.8560688222569603
<I₂-3>ln(1+<I₂-3>),0.06577635092533297,0.008249851027579375,0.0,0.0,iso,symbolic,3,3,0.027798100000000003,0.066419,0.863146637635935,1.2669826627692315,1.5330581156042429
<I₄θ-1>,0.05489851183944882,0.0075575767516686335,0.0,0.0,aniso,symbolic,2,2,0.24751,0.27265,0.445395604132583,0.5212414680092305,0.6856164468221618
<I₄D1-1>,0.05482605329028499,0.007814186906440555,0.0,0.0,aniso,symbolic,4,2,0.633549,1.1688,0.7152504765148047,0.47039407339566236,0.8560688222569603
<E_θ>,0.052765424138633235,0.007074679983411852,0.0,0.0,iso,symbolic,4,4,0.62326485,1.1852,0.22034775792995054,0.260534212746084,0.3412201788229673
I₈D1D2,0.05182671217694302,0.007085273505090121,0.0,0.0,cross,symbolic,12,5,1.0969586583333335,3.0141,-1.7001776221879397,0.47078747111066277,1.7641555458471936
I₂-3,0.05153809307062546,0.006942427488398433,0.0,0.0,iso,symbolic,4,3,0.058884675000000004,0.13947,0.9431612300542023,0.8570471225731968,1.2743951020732747
<E_z>,0.048449194139598875,0.007412065733542037,0.0,0.0,iso,symbolic,7,5,0.45260757142857144,1.7593,0.35695798888701025,0.23670558118156995,0.42830892821976496
<I₄z-1>,0.047214495116929864,0.007292005533759842,0.0,0.0,aniso,symbolic,5,4,0.42652999999999996,0.9969,0.7184728149849369,0.4739340429792254,0.8607070715214403
