name,bucket,kind,n_specimens,n_ages,obs_mean_abs_coeff_raw,obs_max_abs_coeff_raw,psi_grid_mean,psi_grid_std,psi_grid_rms
(<I₄θ-1>)³,aniso,symbolic,2,2,19.7229794,39.438,5.683829979669989,10.573130759328137,12.004041706510609
I₈D1D2,cross,symbolic,12,5,1.0969586583333335,3.0141,-1.6968633135687607,0.4708694027265041,1.7609835602184278
<E_θ>,iso,symbolic,4,4,0.62326485,1.1852,0.4751226881876298,0.5611188386052026,0.7352522831438819
<I₄D1-1>,aniso,symbolic,4,2,0.633549,1.1688,0.7185565249219537,0.4704865469636983,0.8588836186479157
<I₄D2-1>,aniso,symbolic,4,2,0.5682017500000001,1.0702,0.7185565249219537,0.4704865469636983,0.8588836186479157
<I₄θ-1>,aniso,symbolic,2,2,0.24751,0.27265,0.9550741131321844,1.122344075182042,1.4737105498270213
<I₄z-1>,aniso,symbolic,5,4,0.42652999999999996,0.9969,0.7184728149849369,0.4739340429792254,0.8607070715214403
I₂-3,iso,symbolic,4,3,0.058884675000000004,0.13947,2.444279793926761,2.3611731298508993,3.3984764616116645
<E_z>,iso,symbolic,7,5,0.45260757142857144,1.7593,0.35695798888701025,0.23670558118156995,0.42830892821976496
<I₂-3>ln(1+<I₂-3>),iso,symbolic,3,3,0.027798100000000003,0.066419,3.9300467505548413,5.339488851962823,6.629887530100487
