name,mu,mu_star,mu_star_conf,sigma,bucket,kind,n_specimens,n_ages,obs_mean_abs_coeff_raw,obs_max_abs_coeff_raw,psi_grid_mean,psi_grid_std,psi_grid_rms
(<I₄θ-1>)³,-1.6495450171240285,38.69681522667049,10.39112976574986,48.49348065000166,aniso,symbolic,2,2,19.7229794,39.438,0.5646339434775183,1.0221902881721283,1.1677690162700807
I₈D1D2,0.4821123831278536,4.708157832429183,0.4450030100688949,4.911747803654668,cross,symbolic,12,5,1.0969586583333335,3.0141,-1.7001776221879397,0.47078747111066277,1.7641555458471936
<I₄D2-1>,-0.041662895421392086,0.7659044816752248,0.0768230991660637,0.8171923832106746,aniso,symbolic,4,2,0.5682017500000001,1.0702,0.7152504765148047,0.47039407339566236,0.8560688222569603
<E_θ>,0.09852189673188733,0.72111529423868,0.013953542997351876,0.7272904246080908,iso,symbolic,4,4,0.62326485,1.1852,0.22034775792995054,0.260534212746084,0.3412201788229673
<I₄D1-1>,0.06690607336157353,0.7092943806339345,0.12144336135241802,0.79252208373649,aniso,symbolic,4,2,0.633549,1.1688,0.7152504765148047,0.47039407339566236,0.8560688222569603
<I₄z-1>,-0.01639897700623686,0.700719882101044,0.07011095440094242,0.7462877363854029,aniso,symbolic,5,4,0.42652999999999996,0.9969,0.7184728149849369,0.4739340429792254,0.8607070715214403
<E_z>,-0.013860624324891685,0.5315441612887507,0.07845176352576347,0.5802906788233982,iso,symbolic,7,5,0.45260757142857144,1.7593,0.35695798888701025,0.23670558118156995,0.42830892821976496
<I₄θ-1>,-0.07861506060005591,0.32644688236414643,0.013597259974861668,0.3239108617555696,aniso,symbolic,2,2,0.24751,0.27265,0.445395604132583,0.5212414680092305,0.6856164468221618
I₂-3,0.02248227846586731,0.2607791705891963,0.0160681090018236,0.26822298715133697,iso,symbolic,4,3,0.058884675000000004,0.13947,0.9431612300542023,0.8570471225731968,1.2743951020732747
<I₂-3>ln(1+<I₂-3>),-0.014703201526408884,0.14700082434985368,0.008918609996528507,0.15085788625863022,iso,symbolic,3,3,0.027798100000000003,0.066419,0.863146637635935,1.2669826627692315,1.5330581156042429
exp(<I₄z-1>)-1,-0.023437521438763313,0.08365948970575679,0.010320194476049883,0.08746078981345203,aniso,symbolic,2,2,0.00856055,0.016099,5.493952743909558,6.073440608141211,8.189639648539492
<I₂-3>·<E_z>,0.00041504869485222296,0.055912128418345856,0.0038409331149578743,0.05777280026187169,cross,symbolic,3,3,0.038182,0.062301,0.4395302034593476,0.5902385547287503,0.7359132769839796
(<I₄D2-1>)³,0.002225110048173773,0.01968766808098294,0.0034677343897975845,0.02138093768684534,aniso,symbolic,2,2,0.020396,0.023564,0.8582283217486374,1.0910221227771837,1.3881228780769788
(<I₄D1-1>)³,0.006294252020635076,0.0163667194674313,0.002650156261674306,0.01689236559384841,aniso,symbolic,1,1,0.023572,0.023572,0.8582283217486374,1.0910221227771837,1.3881228780769788
(<I₄z-1>)³,0.0031931742117701873,0.016366687592722966,0.0017965411189357465,0.01732152774048478,aniso,symbolic,1,1,0.018348,0.018348,0.8729635714737349,1.1110929325437746,1.4130084578193096
I₁-3,-0.0014893041498806783,0.015381535672814445,0.0012244959359801256,0.015943826174372837,iso,symbolic,3,3,0.00569449,0.012798,0.6984364226291023,0.48361242694787754,0.8495259948661691
<I₁-3>·<E_θ>,0.0022543357892621896,0.011368199969028124,0.0003326220991806212,0.011363342314878046,cross,symbolic,1,1,0.01412,0.01412,0.24251241297924012,0.375139189274311,0.4467008862520879
<I₄z-1>·<I₄D2-1>,-0.0007156917364653977,0.0051565676269739475,0.0005417576201109933,0.0054815967455597685,cross,symbolic,1,1,0.0075835,0.0075835,0.7368110365531123,0.7413301276239722,1.0452085254672614
<I₄z-1>·<E_z>,0.0003111296989615856,0.003998724809343481,0.0005277954227229599,0.004344784775003147,cross,symbolic,2,2,0.0107416,0.012173,0.3686472238672572,0.3718367435836756,0.5236060919660387
<I₁-3>·<E_z>,0.00021028543686116283,0.0010169283485708207,0.00010027871804583326,0.0010519209810760314,cross,symbolic,1,1,0.0020865,0.0020865,0.3153133555647258,0.34985464961928175,0.4709785430969416
