name,PAWN_minimum,PAWN_mean,PAWN_median,PAWN_maximum,PAWN_CV,bucket,kind,n_specimens,n_ages,obs_mean_abs_coeff_raw,obs_max_abs_coeff_raw,psi_grid_mean,psi_grid_std,psi_grid_rms
(<I₄θ-1>)³,0.3645067168445122,0.5996563948916155,0.5616347632373166,0.7658715224847561,0.24782674206668837,aniso,symbolic,2,2,19.7229794,39.438,0.5646339434775183,1.0221902881721283,1.1677690162700807
I₈D1D2,0.03290420160060976,0.05064157226970154,0.04777038126528117,0.07240139100609756,0.25662021452131034,cross,symbolic,12,5,1.0969586583333335,3.0141,-1.7001776221879397,0.47078747111066277,1.7641555458471936
<I₄z-1>,0.02596584413109756,0.04266275818427977,0.04326839261621146,0.05698445140586797,0.20697433398898535,aniso,symbolic,5,4,0.42652999999999996,0.9969,0.7184728149849369,0.4739340429792254,0.8607070715214403
<I₄θ-1>,0.028103033312958436,0.042763692257662946,0.043060007549738356,0.06534870426829269,0.2458872224412244,aniso,symbolic,2,2,0.24751,0.27265,0.445395604132583,0.5212414680092305,0.6856164468221618
<I₂-3>ln(1+<I₂-3>),0.028261217336491444,0.04120639129261956,0.04276391006097561,0.05468212771240831,0.20929617906039313,iso,symbolic,3,3,0.027798100000000003,0.066419,0.863146637635935,1.2669826627692315,1.5330581156042429
<I₄D2-1>,0.020352991615853657,0.044093290633013295,0.041982403821784246,0.0650506427643643,0.3012021715464943,aniso,symbolic,4,2,0.5682017500000001,1.0702,0.7152504765148047,0.47039407339566236,0.8560688222569603
I₂-3,0.022893705111552566,0.03969876229482229,0.03963176448170732,0.07326904893795844,0.36481258447232573,iso,symbolic,4,3,0.058884675000000004,0.13947,0.9431612300542023,0.8570471225731968,1.2743951020732747
<I₄D1-1>,0.03162633384146341,0.04124723640208495,0.038954720846036586,0.05537873433679707,0.18403920106402508,aniso,symbolic,4,2,0.633549,1.1688,0.7152504765148047,0.47039407339566236,0.8560688222569603
<E_θ>,0.02664110137195122,0.03688404582581699,0.03427997020171149,0.055430640243902436,0.24075547028212277,iso,symbolic,4,4,0.62326485,1.1852,0.22034775792995054,0.260534212746084,0.3412201788229673
<E_z>,0.024886823808068458,0.03505925968071665,0.033892181303670464,0.051450552591463417,0.21242207621548617,iso,symbolic,7,5,0.45260757142857144,1.7593,0.35695798888701025,0.23670558118156995,0.42830892821976496
