name,S1,S1_conf,ST,ST_conf,bucket,kind,n_specimens,n_ages,obs_mean_abs_coeff_raw,obs_max_abs_coeff_raw,psi_grid_mean,psi_grid_std,psi_grid_rms
(<I₄θ-1>)³,0.9950035451746709,0.06658409182161629,1.0113962390742048,0.05628513282704032,aniso,symbolic,2,2,19.7229794,39.438,0.5646339434775183,1.0221902881721283,1.1677690162700807
I₈D1D2,-0.0023245108780385,0.010003983570055108,0.011649561991148402,0.0008660557788125456,cross,symbolic,12,5,1.0969586583333335,3.0141,-1.7001776221879397,0.47078747111066277,1.7641555458471936
<I₄D1-1>,-0.0004352974948511403,0.0017906361521237116,0.00041058455959698005,4.397182620962737e-05,aniso,symbolic,4,2,0.633549,1.1688,0.7152504765148047,0.47039407339566236,0.8560688222569603
<I₄D2-1>,-0.002296924885813219,0.0015501216547401454,0.0003493976904939998,3.340997735395115e-05,aniso,symbolic,4,2,0.5682017500000001,1.0702,0.7152504765148047,0.47039407339566236,0.8560688222569603
<I₄z-1>,-0.00042043433692349997,0.001511371412556765,0.00030536919088001887,3.2640706409265846e-05,aniso,symbolic,5,4,0.42652999999999996,0.9969,0.7184728149849369,0.4739340429792254,0.8607070715214403
<E_θ>,-9.249179273310094e-05,0.001357724720068572,0.0002422963787388757,1.9349796189901305e-05,iso,symbolic,4,4,0.62326485,1.1852,0.22034775792995054,0.260534212746084,0.3412201788229673
<E_z>,-5.691146807229062e-05,0.0015417855220038633,0.00023099022547887768,2.5563516189266975e-05,iso,symbolic,7,5,0.45260757142857144,1.7593,0.35695798888701025,0.23670558118156995,0.42830892821976496
<I₄θ-1>,-4.4611388824583435e-05,0.0005287915148209517,5.2970026793084e-05,4.415052454975587e-06,aniso,symbolic,2,2,0.24751,0.27265,0.445395604132583,0.5212414680092305,0.6856164468221618
I₂-3,-0.0001916738911857276,0.0005149253681565098,3.4746669485621064e-05,2.9041848279826923e-06,iso,symbolic,4,3,0.058884675000000004,0.13947,0.9431612300542023,0.8570471225731968,1.2743951020732747
<I₂-3>ln(1+<I₂-3>),1.5976170611057936e-05,0.00032648677443700575,1.1254438021864308e-05,9.825859047131088e-07,iso,symbolic,3,3,0.027798100000000003,0.066419,0.863146637635935,1.2669826627692315,1.5330581156042429
