age,age_weeks,animal,bucket,kind,name,coeff_raw,psi_grid_rms,contribution,contribution_frac
3weeks,3.0,Lucid,cross,symbolic,I₈D1D2,0.48855,1.7609835602184278,0.8603285183447129,0.6520923340677811
3weeks,3.0,Lucid,iso,symbolic,<E_z>,0.4301,0.42830892821976496,0.1842156700273209,0.13962762326082095
3weeks,3.0,Lucid,aniso,symbolic,<I₄z-1>,0.16608,0.8607070715214403,0.1429462304382808,0.1083471477058962
3weeks,3.0,Lucid,aniso,symbolic,exp(<I₄z-1>)-1,0.016099,8.189639648539492,0.13184500870183727,0.09993289496550178
3weeks,3.0,Rosie,aniso,symbolic,(<I₄θ-1>)³,0.0079588,12.004041706510609,0.09553776713377664,0.25479895792846563
3weeks,3.0,Rosie,iso,symbolic,<I₂-3>ln(1+<I₂-3>),0.0111,6.629887530100487,0.0735917515841154,0.19626899579416493
3weeks,3.0,Rosie,cross,symbolic,I₈D1D2,0.030195,1.7609835602184278,0.05317289860079543,0.1418119719560487
3weeks,3.0,Rosie,aniso,symbolic,(<I₄D1-1>)³,0.023572,1.398781203314038,0.032972070524518504,0.08793641993566119
3weeks,3.0,Rosie,aniso,symbolic,(<I₄D2-1>)³,0.023564,1.398781203314038,0.032960880274891996,0.08790657557118278
3weeks,3.0,Rosie,cross,symbolic,<I₁-3>·<E_θ>,0.01412,1.9477996881650594,0.02750293159689064,0.07335024170130601
3weeks,3.0,Rosie,aniso,symbolic,(<I₄z-1>)³,0.018348,1.4130084578193096,0.025925879184068693,0.06914424732399405
3weeks,3.0,Rosie,iso,symbolic,I₂-3,0.0027677,3.3984764616116645,0.009405963302802604,0.02508567783996474
3weeks,3.0,Rosie,cross,symbolic,<I₄z-1>·<I₄D2-1>,0.0075835,1.0479884094316272,0.007947420102924745,0.021195747202354735
3weeks,3.0,Rosie,iso,symbolic,I₁-3,0.0034977,2.1516701994601934,0.0075258968566519185,0.02007154588265518
8weeks,8.0,Martini,cross,symbolic,I₈D1D2,1.8125,1.7609835602184278,3.1917827028959005,0.6211422431551655
8weeks,8.0,Martini,iso,symbolic,<E_θ>,1.1535,0.7352522831438819,0.8481135086064677,0.16504855631558343
8weeks,8.0,Martini,aniso,symbolic,<I₄z-1>,0.64354,0.8607070715214403,0.5538994288069077,0.10779253029328441
8weeks,8.0,Martini,aniso,symbolic,<I₄θ-1>,0.22237,1.4737105498270213,0.32770901496503474,0.06377436423628312
8weeks,8.0,Martini,iso,symbolic,<E_z>,0.50237,0.42830892821976496,0.2151695562697633,0.041873433526298985
8weeks,8.0,Martini,cross,symbolic,<I₁-3>·<E_z>,0.0020865,0.9084480760312253,0.0018954769106391514,0.00036887247338454707
