name,psi_grid_mean,psi_grid_std,obs_max_eff_w_norm,S1,S1_conf,ST,ST_conf
<I₄z-1>·<I₄D2-1>,0.4802964496197174,0.47735395732642605,0.00025843,0.011247729732575814,0.03464350682393148,0.13611561573904032,0.016467404042011708
<I₁-3>·<E_z>,0.2284707044843501,0.23583345731216443,0.0161,-0.013431394212788127,0.03189576474756451,0.13420317893939623,0.014335187968816566
<I₄D2-1>,0.5807730839621246,0.376722255861721,0.26069,0.03250040297059339,0.030883848777123416,0.12882371617987612,0.014412291369990421
<I₄z-1>·<E_z>,0.23927865780646346,0.23877697181005123,0.0011831,-0.004195834184863634,0.030328830653322415,0.12868450887536337,0.01343201938005353
exp(<I₄z-1>)-1,3.237692414903174,3.2022241376690146,0.098687,-0.03144062039592172,0.030994646692197567,0.12811053050334664,0.014934450985214346
(<I₄D1-1>)³,0.4509886012677282,0.5656652427726341,0.00026538,-0.009586678452008286,0.03248302289938854,0.12616788067572335,0.015750790660414675
<I₄z-1>,0.58085506514337,0.37947212773809375,0.32058,0.01229896422949842,0.034885927068238495,0.1259644299957303,0.016242260947763563
<I₄D1-1>,0.5807730839621246,0.376722255861721,0.2847,-0.026064861112614635,0.030740837552546054,0.12559907764879172,0.015229059266750963
(<I₄D2-1>)³,0.4509886012677282,0.5656652427726341,0.005679,-0.011011457285849463,0.02989419739419622,0.12515080738496995,0.016264112433784228
(<I₄z-1>)³,0.4549571424472296,0.5723970729206842,0.00028889,0.025055696180904974,0.03167528336723466,0.1249421785219113,0.01521379966878042
<E_z>,0.2881692922338371,0.18945865264295988,0.17447,0.005239296711039042,0.032045776808382345,0.12442397517886232,0.014734442263531993
<I₂-3>·<E_z>,0.32779799262145587,0.3763128998024677,0.5283,-0.013051524871320934,0.03470609753474234,0.12430645278712756,0.012947815769073393
I₈D1D2,-1.5614386083943554,0.3770402235677558,1.6362,0.00576063797136175,0.031263718445106684,0.1227349515630874,0.015124330720069442
I₁-3,0.6194151029462188,0.3860687049393694,0.19377,-0.014712067514364276,0.028679589922638915,0.11387403648821548,0.013968354179510908
I₂-3,0.8530911762056274,0.640856283098509,4.6077,0.01156046557155107,0.02880440368476911,0.11380754827484013,0.012550453085890272
<I₂-3>ln(1+<I₂-3>),0.6768723054925654,0.7954444651161877,10.139,-0.003948254088068478,0.029902010017123372,0.11145632614761976,0.011902711420196154
<I₁-3>·<E_θ>,0.2284707044843501,0.23583345731216443,0.00025776,0.027609694692670463,0.030866506653716208,0.09046801695717628,0.011122381869844
<I₄θ-1>,0.5808550651433702,0.3794721277380937,0.28886,-0.022295455883627552,0.025453030937177826,0.07530242779057067,0.00990572621871968
(<I₄θ-1>)³,0.45495714244722973,0.5723970729206842,0.038581,0.010324952699305842,0.02188985392053155,0.07010976537925356,0.01021049207680447
<E_θ>,0.2881692922338371,0.18945865264295988,0.62773,0.0051610229273165165,0.02147210279540036,0.06998505273793645,0.009867100765572595
