name,psi_grid_mean,psi_grid_std,n_specimens,obs_max_coeff_raw,weight_bound,S1,S1_conf,ST,ST_conf
(<I₄θ-1>)³,5.120530158042568,9.470277583056443,2,39.438,39.438,1.0001822019939386,0.07583639955359951,1.0003502166090372,0.06452148408469516
I₈D1D2,-1.9905545380459702,0.6767321469758787,12,3.0141,3.0141,-4.4982554177375305e-05,0.0011700039658439363,0.00017799720423351378,1.3913701017815657e-05
<E_θ>,0.46110954610617055,0.5412623987779929,4,1.1852,1.1852,-3.31982292587043e-06,0.00024979298276291096,1.2818749197338052e-05,1.0732999730939003e-06
<I₄D1-1>,1.0119324740089175,0.6763703870238947,4,1.1688,1.1688,3.2316801579944834e-06,0.00025666095732025776,7.455086991308542e-06,6.832326932248704e-07
<I₄D2-1>,1.0119324740089175,0.6763703870238947,4,1.0702,1.0702,3.5010862174739336e-05,0.0002220398641421055,6.384230253256539e-06,5.33835491763847e-07
<I₄z-1>,1.0142450223966986,0.6814311181034961,5,0.9969,0.9969,1.0400392102860233e-05,0.00019937785722190068,5.283801425439868e-06,4.464050376496869e-07
<E_z>,0.5048186541780236,0.3404756595170465,7,1.7593,1.7593,-0.00015928265226770449,0.00018529431199268466,4.183219756645148e-06,3.360819204239441e-07
I₂-3,2.678028905290519,2.4410878202155475,4,0.13947,0.13947,8.392832339893065e-07,0.0001543464801278357,2.796731484208686e-06,2.1832373831548168e-07
<I₄θ-1>,0.9270343161624812,1.082642272157597,2,0.27265,0.27265,1.9401697347659102e-05,0.0001468142503704145,2.7293028330310318e-06,2.3901768053347314e-07
<I₂-3>ln(1+<I₂-3>),4.408536376773026,5.5932971668497995,3,0.066419,0.066419,-1.4782858438024146e-05,0.00013085529552041964,2.434272957132859e-06,1.977880451883687e-07
exp(<I₄z-1>)-1,16.93059033027275,23.355989381273865,2,0.016099,0.016099,3.415422242187563e-06,5.3838357178441116e-05,3.9199209842641935e-07,3.578629826119683e-08
<I₂-3>·<E_z>,1.6824657275709647,2.2539662319858733,3,0.062301,0.062301,-5.258621420100197e-06,4.2043211531557086e-05,2.3806208401205385e-07,1.8175729874581952e-08
(<I₄D2-1>)³,2.4889292102273193,3.228410940997776,2,0.023564,0.023564,7.635830899073731e-07,1.2288111013764176e-05,1.955649801434043e-08,2.0751221281130657e-09
(<I₄D1-1>)³,2.4889292102273193,3.228410940997776,1,0.023572,0.023572,-2.5658710884051316e-07,1.2823565918071508e-05,1.9249342776162153e-08,1.948979116514031e-09
<I₁-3>·<E_θ>,1.108850347484587,1.7016352346684416,1,0.01412,0.01412,1.760289319543505e-07,1.0707725509694506e-05,1.646081465740496e-08,1.4041387747850787e-09
(<I₄z-1>)³,2.5216552241560963,3.277478256468462,1,0.018348,0.018348,1.3903804325889372e-06,9.625213923826256e-06,1.1452021698463991e-08,1.0854653695896804e-09
I₁-3,1.6613952577032203,1.2130344360576568,3,0.012798,0.012798,5.549792334398202e-07,7.092462768612645e-06,6.880663577118331e-09,6.551884152672871e-10
<I₄z-1>·<I₄D2-1>,1.4871999340418662,1.5263287156982823,1,0.0075835,0.0075835,8.209312978287626e-07,2.766299073748676e-06,6.800589169344016e-10,5.6075630882900254e-11
<I₄z-1>·<E_z>,0.7440202859041833,0.7655491603575545,2,0.012173,0.012173,2.5894720329428523e-07,1.9838325801424756e-06,4.2715997759397434e-10,3.7342336166776796e-11
<I₁-3>·<E_z>,0.959688528782843,1.0204522373294682,1,0.0020865,0.0020865,3.483013806210904e-09,7.401444620440633e-07,6.139976707896829e-11,5.169140285956613e-12
