name,psi_grid_mean,psi_grid_std,n_specimens,obs_max_coeff_raw,weight_bound,S1,S1_conf,ST,ST_conf
exp(<I₄z-1>)-1,16.93059033027275,23.355989381273865,2,0.016099,1.0,0.6212250002936294,0.07862598240288443,0.9207778331827263,0.07059717762269757
<I₂-3>ln(1+<I₂-3>),4.408536376773026,5.5932971668497995,3,0.066419,1.0,-0.005296479026946719,0.029737028866297546,0.08109274506821207,0.008116687298037297
(<I₄θ-1>)³,5.120530158042568,9.470277583056443,2,39.438,1.0,0.007802919768002781,0.026178672340864996,0.0733728287675568,0.007490588309230135
(<I₄z-1>)³,2.5216552241560963,3.277478256468462,1,0.018348,1.0,-0.010259550006420752,0.02405096871469377,0.0567748912211048,0.0053493962409906885
(<I₄D2-1>)³,2.4889292102273193,3.228410940997776,2,0.023564,1.0,0.016904593529447932,0.019810023907935844,0.05543207009870117,0.005565750882808299
(<I₄D1-1>)³,2.4889292102273193,3.228410940997776,1,0.023572,1.0,-0.0028829442566286486,0.02155797254903199,0.05487185345557825,0.005362327524271085
I₂-3,2.678028905290519,2.4410878202155475,4,0.13947,1.0,-0.011158538871341779,0.015169495937851857,0.025174313174528996,0.0027923446672708826
<I₂-3>·<E_z>,1.6824657275709647,2.2539662319858733,3,0.062301,1.0,-0.010137014856543189,0.011815472145375963,0.01916604027968271,0.002024850046610964
<I₄z-1>·<I₄D2-1>,1.4871999340418662,1.5263287156982823,1,0.0075835,1.0,-0.0007437290507291347,0.012083067570943342,0.014550144897758624,0.0014906528724350032
I₈D1D2,-1.9905545380459702,0.6767321469758787,12,3.0141,1.0,-0.000549640284867729,0.00965015811871115,0.010206046431904084,0.000987629199453921
I₁-3,1.6613952577032203,1.2130344360576568,3,0.012798,1.0,0.0012152516082452245,0.00833144600232183,0.007580608837081718,0.0008751142957829012
<I₁-3>·<E_θ>,1.108850347484587,1.7016352346684416,1,0.01412,1.0,0.00019648699014720162,0.005998974208198463,0.006112984022011525,0.0008321839162288492
<I₁-3>·<E_z>,0.959688528782843,1.0204522373294682,1,0.0020865,1.0,-0.00019426897178148822,0.005550728785912776,0.005462994875321772,0.0005955477118262202
<I₄z-1>,1.0142450223966986,0.6814311181034961,5,0.9969,1.0,-0.0017361068362281315,0.0048973127706229596,0.004156386467065669,0.00042228986064116864
<I₄D1-1>,1.0119324740089175,0.6763703870238947,4,1.1688,1.0,0.005074470918834793,0.005668085529181483,0.004123024645441565,0.00038484411660533825
<I₄D2-1>,1.0119324740089175,0.6763703870238947,4,1.0702,1.0,0.00017072258031334593,0.005461145610068499,0.003965527971820118,0.0004465238131118637
<I₄z-1>·<E_z>,0.7440202859041833,0.7655491603575545,2,0.012173,1.0,-0.0019789886506594665,0.006105226752517044,0.00370494322927236,0.000363352132680019
<I₄θ-1>,0.9270343161624812,1.082642272157597,2,0.27265,1.0,-7.09686633585441e-05,0.004287744637508913,0.002609996495720461,0.00033863933102055597
<E_z>,0.5048186541780236,0.3404756595170465,7,1.7593,1.0,0.00013309615036312416,0.0027328518418121336,0.0010064687624133577,0.00010190011324462343
<E_θ>,0.46110954610617055,0.5412623987779929,4,1.1852,1.0,-0.0017499215335871313,0.0024198514174633896,0.0006569677032313892,7.675321075659482e-05
