bucket,name,n_specimens,ages,mean_abs_coeff,max_abs_coeff
cross,I₈D1D2,12,"10weeks,16weeks,28weeks,3weeks,8weeks",1.0969586583333335,3.0141
iso,<E_z>,7,"10weeks,16weeks,28weeks,3weeks,8weeks",0.45260757142857144,1.7593
aniso,<I₄z-1>,5,"10weeks,16weeks,3weeks,8weeks",0.42652999999999996,0.9969
iso,I₂-3,4,"10weeks,28weeks,3weeks",0.058884675000000004,0.13947
aniso,<I₄D1-1>,4,"16weeks,28weeks",0.633549,1.1688
aniso,<I₄D2-1>,4,"16weeks,28weeks",0.5682017500000001,1.0702
iso,<E_θ>,4,"16weeks,28weeks,3weeks,8weeks",0.62326485,1.1852
iso,I₁-3,3,"10weeks,28weeks,3weeks",0.00569449,0.012798
iso,<I₂-3>ln(1+<I₂-3>),3,"10weeks,28weeks,3weeks",0.027798100000000003,0.066419
cross,<I₂-3>·<E_z>,3,"10weeks,16weeks,28weeks",0.038182,0.062301
aniso,(<I₄θ-1>)³,2,"16weeks,3weeks",19.7229794,39.438
aniso,<I₄θ-1>,2,"28weeks,8weeks",0.24751,0.27265
aniso,exp(<I₄z-1>)-1,2,"10weeks,3weeks",0.00856055,0.016099
aniso,(<I₄D2-1>)³,2,"16weeks,3weeks",0.020396,0.023564
cross,<I₄z-1>·<E_z>,2,"28weeks,3weeks",0.0107416,0.012173
aniso,(<I₄D1-1>)³,1,3weeks,0.023572,0.023572
cross,<I₄z-1>·<I₄D2-1>,1,3weeks,0.0075835,0.0075835
cross,<I₁-3>·<E_z>,1,8weeks,0.0020865,0.0020865
aniso,(<I₄z-1>)³,1,3weeks,0.018348,0.018348
cross,<I₁-3>·<E_θ>,1,3weeks,0.01412,0.01412
