name,n_loo_folds_present,mean_rank,std_rank,best_rank,worst_rank,freq_in_topK,mean_ST
I₈D1D2,12,1.9166666666666667,0.2763853991962833,1,2,1.0,0.0884224694126524
b_θz <E_θ><E_z>,12,2.9166666666666665,0.2763853991962833,2,3,1.0,0.012589558296727974
<E_θ>,12,4.083333333333333,0.27638539919628335,4,5,1.0,0.0017051173160429107
<I₄D1-1>,12,4.833333333333333,0.5527707983925666,3,5,1.0,0.004728674575767095
<I₄D2-1>,12,5.833333333333333,0.5527707983925666,4,6,1.0,0.003943011037362738
<I₄z-1>,12,6.916666666666667,0.27638539919628335,6,7,1.0,0.0015049037773804345
<E_z>,12,8.083333333333334,0.2763853991962833,8,9,1.0,0.00028995153313745946
<I₄θ-1>,12,8.916666666666666,0.2763853991962833,8,9,1.0,0.000371289922922338
b_z E_z²,12,9.75,0.82915619758885,7,10,1.0,0.0008732903778488846
I₂-3,12,10.916666666666666,0.2763853991962833,10,11,1.0,0.00017759071607357873
<I₂-3>ln(1+<I₂-3>),12,12.166666666666666,0.8975274678557505,11,15,1.0,2.961690105636199e-05
b_th E_θ²,12,12.916666666666666,0.2763853991962833,12,13,1.0,1.2946388489167667e-05
(<I₄θ-1>)³,12,2.4166666666666665,4.698551786336817,1,18,0.9166666666666666,0.9161395464165144
exp(<I₄z-1>)-1,12,14.333333333333334,2.0949675149960894,12,21,0.9166666666666666,1.7889120540204284e-05
<I₂-3>·<E_z>,12,14.833333333333334,0.5527707983925667,14,16,0.9166666666666666,3.4517346925694136e-06
I₁-3,12,16.083333333333332,1.2555432644432802,15,20,0.25,7.90391285900687e-07
<I₁-3>·<E_θ>,11,17.09090909090909,0.9958591954639383,16,20,0.0,2.560836297942072e-07
(<I₄D1-1>)³,11,17.818181818181817,0.8331955809010619,16,19,0.0,5.514073279639393e-07
(<I₄D2-1>)³,12,18.333333333333332,0.74535599249993,17,19,0.0,5.030825975792839e-07
(<I₄z-1>)³,11,19.727272727272727,0.4453617714151233,19,20,0.0,3.3490833034488503e-07
<I₄z-1>·<I₄D2-1>,11,20.90909090909091,0.28747978728803447,20,21,0.0,1.0159962989514225e-07
<I₄z-1>·<E_z>,12,21.666666666666668,1.1055415967851334,18,22,0.0,5.8968336454741076e-08
<I₁-3>·<E_z>,11,22.636363636363637,1.1499191491521379,19,23,0.0,2.0611459277532823e-09
