name,n_specimens,obs_max_coeff_raw,weight_bound,psi_grid_rms,S1,S1_conf,ST,ST_conf
(<I₄θ-1>)³,2,39.438,39.438,12.004041706510609,0.9999280703062892,0.035377406546350555,0.9999914800789081,0.030441234384850965
b_θz <E_θ><E_z>,12,13.012938509748402,13.012938509748402,0.3193367057748478,-7.192643879509053e-06,0.0005550475387046904,0.00017516623349500142,6.153091555723316e-06
I₈D1D2,12,3.0141,3.0141,1.7609835602184278,-1.3464664863417341e-05,0.00046426583954163614,0.00010269033802436289,4.534222091803916e-06
<E_θ>,4,1.1852,1.1852,0.7352522831438819,-1.6759374833733933e-05,0.00013340841619154074,1.1023158348229176e-05,4.219239750120785e-07
<I₄D1-1>,4,1.1688,1.1688,0.8588836186479157,-1.9010377538971116e-06,7.814228218687156e-05,3.0153849120479004e-06,1.3114176244630701e-07
<I₄D2-1>,4,1.0702,1.0702,0.8588836186479157,2.2908117735069265e-07,6.934305672227228e-05,2.5442672318032106e-06,1.0189327562620335e-07
<I₄θ-1>,2,0.27265,0.27265,1.4737105498270213,-3.1434582271119174e-06,7.165131607846144e-05,2.3445251587295543e-06,9.625165508841228e-08
<I₄z-1>,5,0.9969,0.9969,0.8607070715214403,-1.4931703225569134e-07,5.6560785545750715e-05,2.067938188401601e-06,8.597760781661118e-08
<E_z>,7,1.7593,1.7593,0.42830892821976496,-7.699646379116601e-06,5.3056305820483224e-05,1.635265037101334e-06,6.86590451676734e-08
I₂-3,4,0.13947,0.13947,3.3984764616116645,-1.1705533574272167e-06,5.4419134219650234e-05,1.5613363765969795e-06,6.008069706281258e-08
b_z E_z²,12,2.8850238162903126,2.8850238162903126,0.2648997905751361,8.20171619586312e-07,4.526653311727299e-05,1.217639865690043e-06,5.6115377430136844e-08
<I₂-3>ln(1+<I₂-3>),3,0.066419,0.066419,6.629887530100487,-1.1543273668587596e-06,4.482170956527975e-05,1.1339346395628814e-06,4.6328671423525184e-08
b_th E_θ²,12,0.17602859198843973,0.17602859198843973,1.0073688766164364,1.0989888454682475e-06,2.9313586050150695e-05,5.358842971574091e-07,2.2398465436363137e-08
<I₂-3>·<E_z>,3,0.062301,0.062301,1.7074847471866033,-9.147039629652914e-07,1.0163074965648038e-05,6.133817895747505e-08,2.6731391029009152e-09
exp(<I₄z-1>)-1,2,0.016099,0.016099,8.189639648539492,-4.932091669117251e-07,8.655919284659106e-06,3.244916600486628e-08,1.2597446023573432e-09
<I₁-3>·<E_θ>,1,0.01412,0.01412,1.9477996881650594,1.7463366819173765e-07,4.536892988957586e-06,1.2615959087842806e-08,5.752400446616066e-10
I₁-3,3,0.012798,0.012798,2.1516701994601934,5.793904255821714e-08,3.3652006675411808e-06,4.825781350819607e-09,2.1679850702381338e-10
(<I₄D1-1>)³,1,0.023572,0.023572,1.398781203314038,-6.558668441564356e-08,1.995463147012636e-06,1.8954251661027536e-09,8.049919589922325e-11
(<I₄D2-1>)³,2,0.023564,0.023564,1.398781203314038,2.7743222511841784e-07,1.7166291204734442e-06,1.8808637215771783e-09,7.4797807426142e-11
(<I₄z-1>)³,1,0.018348,0.018348,1.4130084578193096,-7.75709845764708e-08,1.5878591265729693e-06,1.0570972431672869e-09,4.132906452512421e-11
<I₄z-1>·<I₄D2-1>,1,0.0075835,0.0075835,1.0479884094316272,-1.0039591548176372e-07,4.782555740713573e-07,1.3484695835900002e-10,5.851085908363602e-12
<I₄z-1>·<E_z>,2,0.012173,0.012173,0.5236060919660387,5.277621553361687e-08,3.3995711530238573e-07,8.328393472488112e-11,3.755289202955043e-12
<I₁-3>·<E_z>,1,0.0020865,0.0020865,0.9084480760312253,1.994384715554713e-09,2.0722915195647426e-07,1.9669828446694332e-11,8.086291941672977e-13
