name,n_specimens,obs_max_coeff_raw,weight_bound,psi_grid_rms,S1,S1_conf,ST,ST_conf
<I₄z-1>·<I₄D2-1>,1,0.0075835,1.0,1.0479884094316272,0.008336800030077123,0.015452914885334092,0.11681052640658421,0.006357871056559967
<I₄z-1>·<E_z>,2,0.012173,1.0,0.5236060919660387,0.0075070039699829645,0.013855711696262759,0.11306289006567972,0.006941286724077309
b_z E_z²,12,2.8850238162903126,1.0,0.2648997905751361,0.00039494545950973935,0.015513359484474826,0.11232920584627125,0.0074897369034664105
<E_z>,7,1.7593,1.0,0.42830892821976496,0.0014517138466729293,0.016055563219172755,0.11173075579185163,0.0074342853348655915
<I₄D1-1>,4,1.1688,1.0,0.8588836186479157,-0.01050964518611555,0.016418057747769964,0.11160267274395298,0.006073277272963385
<I₄D2-1>,4,1.0702,1.0,0.8588836186479157,0.008337080084381733,0.013623401714795914,0.11101823668668591,0.0056398122238327094
I₈D1D2,12,3.0141,1.0,1.7609835602184278,0.016942632059112867,0.013844447717654357,0.11067090018506322,0.006810194657471152
(<I₄D2-1>)³,2,0.023564,1.0,1.398781203314038,-0.0014636492540116366,0.014214479861062798,0.10985511124893657,0.006445431010959199
<I₄z-1>,5,0.9969,1.0,0.8607070715214403,0.004905028368427399,0.01653638489319539,0.10972029064422609,0.006810374149033762
exp(<I₄z-1>)-1,2,0.016099,1.0,8.189639648539492,-0.01696141283036908,0.015368695695279676,0.10909263219888203,0.005694501401843233
(<I₄z-1>)³,1,0.018348,1.0,1.4130084578193096,-0.0011988947058229414,0.013106612648252004,0.10877085704699446,0.006973016679322079
(<I₄D1-1>)³,1,0.023572,1.0,1.398781203314038,0.013377397616081232,0.015581302455067725,0.10576833941246945,0.006251438743554975
<I₁-3>·<E_z>,1,0.0020865,1.0,0.9084480760312253,0.0034143736391642906,0.014224396456460873,0.09459946132381421,0.006264660062920668
<I₂-3>·<E_z>,3,0.062301,1.0,1.7074847471866033,0.01563732998519584,0.012878527438729843,0.08783709163074667,0.005032210605793843
<I₁-3>·<E_θ>,1,0.01412,1.0,1.9477996881650594,0.004789795806641922,0.011197363827964794,0.07299366824164534,0.004680478406935914
b_θz <E_θ><E_z>,12,13.012938509748402,1.0,0.3193367057748478,0.011308872460627053,0.012887811471603295,0.07184670559751845,0.004373953721647167
b_th E_θ²,12,0.17602859198843973,1.0,1.0073688766164364,-0.008475033065328754,0.010693281394890898,0.07051936302717111,0.005016569263482619
I₂-3,4,0.13947,1.0,3.3984764616116645,0.0066531834360278,0.010803393624811993,0.06496909048964392,0.004347691536353823
<I₄θ-1>,2,0.27265,1.0,1.4737105498270213,0.008114926363635675,0.010698327600900333,0.06481078682812505,0.004871505650467842
(<I₄θ-1>)³,2,39.438,1.0,12.004041706510609,0.00636840719716413,0.01128088021760013,0.06475766887681367,0.004489784701090869
<E_θ>,4,1.1852,1.0,0.7352522831438819,-0.002450517822252969,0.010045665772613253,0.0642601802682858,0.004672436522634199
<I₂-3>ln(1+<I₂-3>),3,0.066419,1.0,6.629887530100487,0.008717125460316479,0.009811982622978214,0.06007366581538839,0.00424826648598957
I₁-3,3,0.012798,1.0,2.1516701994601934,0.006857599325515034,0.01007195332458078,0.04554400439749972,0.0034244389858106568
