name,n_specimens,obs_max_coeff_raw,weight_bound,psi_grid_rms,S1,S1_conf,ST,ST_conf
(<I₄θ-1>)³,2,39.438,1.0,12.004041706510609,0.33300302296196754,0.038441259568615896,0.648904564164604,0.025441471712680006
exp(<I₄z-1>)-1,2,0.016099,1.0,8.189639648539492,0.08443538251119792,0.02260840998992269,0.2880810731610597,0.01813898546019642
<I₂-3>ln(1+<I₂-3>),3,0.066419,1.0,6.629887530100487,0.027179209347049548,0.022055114707787024,0.27807605648289707,0.014389191040585825
I₂-3,4,0.13947,1.0,3.3984764616116645,0.005565224756685569,0.013540071953006697,0.10710507302050888,0.005937002013534417
<I₁-3>·<E_θ>,1,0.01412,1.0,1.9477996881650594,-0.0007508425216973773,0.0105084755684158,0.044637137732179165,0.002144227145736066
I₁-3,3,0.012798,1.0,2.1516701994601934,0.0036480903112448646,0.008941305434740702,0.0386056344451167,0.0020430239271975984
<I₂-3>·<E_z>,3,0.062301,1.0,1.7074847471866033,0.0009752699382934112,0.006793663276685056,0.02611785521088053,0.0015930518314906479
I₈D1D2,12,3.0141,1.0,1.7609835602184278,0.004493848982652683,0.0060966541874413315,0.023398796479203444,0.0014139356880843125
<I₄θ-1>,2,0.27265,1.0,1.4737105498270213,-0.00123973652643221,0.00677048636653471,0.022769319838629388,0.001219105679565674
(<I₄D1-1>)³,1,0.023572,1.0,1.398781203314038,8.153571363696121e-05,0.00610373316141532,0.016243008100530653,0.0009934820543980808
(<I₄D2-1>)³,2,0.023564,1.0,1.398781203314038,-0.0013453498047856372,0.005464162423273726,0.016169204327386527,0.0010226931575629174
(<I₄z-1>)³,1,0.018348,1.0,1.4130084578193096,0.0007409560659811073,0.0058673403514896425,0.016106890474953808,0.0009519931800717643
b_th E_θ²,12,0.17602859198843973,1.0,1.0073688766164364,-0.0015724285754974256,0.003938456359674073,0.01224095121913684,0.0006425345078374748
<I₄z-1>·<I₄D2-1>,1,0.0075835,1.0,1.0479884094316272,0.0019383521938319324,0.004290577382361796,0.009493432934596997,0.000588807248199379
<I₁-3>·<E_z>,1,0.0020865,1.0,0.9084480760312253,-0.002962738260880307,0.0036285124020188587,0.007962952553581955,0.0004685881617125149
<I₄D1-1>,4,1.1688,1.0,0.8588836186479157,0.0001235703987521458,0.00366149347370464,0.0062367985816863215,0.00042621903784128103
<I₄D2-1>,4,1.0702,1.0,0.8588836186479157,0.0006378219322282607,0.0035637972882150933,0.0062089942907258295,0.0003555215229697856
<I₄z-1>,5,0.9969,1.0,0.8607070715214403,0.0026502004420890235,0.0035188149767961725,0.006137253428468557,0.0003808281419720308
<E_θ>,4,1.1852,1.0,0.7352522831438819,-0.0007761437603093838,0.0029074308310267543,0.005726307076244155,0.00033822564201780746
<I₄z-1>·<E_z>,2,0.012173,1.0,0.5236060919660387,-0.0025263108050172997,0.0022947181093639496,0.0023648132875570735,0.00014597018746955666
<E_z>,7,1.7593,1.0,0.42830892821976496,0.00028381463542360253,0.0016951134367773851,0.001498344621063516,0.00011034264036786835
b_θz <E_θ><E_z>,12,13.012938509748402,1.0,0.3193367057748478,-0.0037744236340021705,0.0013346214856939838,0.0009433106985420112,5.306758238115099e-05
b_z E_z²,12,2.8850238162903126,1.0,0.2648997905751361,-0.0005757538709712419,0.0011271455195667097,0.0005881976404220815,3.675763208842036e-05
