name,n_specimens,obs_max_coeff_raw,weight_bound,psi_grid_rms,S1,S1_conf,ST,ST_conf
(<I₄θ-1>)³,2,39.438,39.438,1.2645736100006353,0.9912329592525871,0.03715523329895514,1.0000908816817689,0.032807664018708466
I₈D1D2,12,3.0141,3.0141,1.4612574132160296,0.002333768590972837,0.003550499408136031,0.008440294979235074,0.0003588529495983577
b_θz <E_θ><E_z>,12,13.012938509748402,13.012938509748402,0.10258517767266145,-0.014485352928328367,0.0016660831084266258,0.0016208461474692282,6.773697340897012e-05
<E_θ>,4,1.1852,1.1852,0.3762115700590765,-4.0342230473098296e-05,0.0006842037612507477,0.00025570296190152264,1.0925032279565629e-05
<I₄D1-1>,4,1.1688,1.1688,0.5351642359400264,-5.8000764027933334e-05,0.000579985551182697,0.0001520029309417148,7.155126570394599e-06
<I₄D2-1>,4,1.0702,1.0702,0.5351642359400264,0.0003443131976389272,0.0005239354972757031,0.00012773404657189248,5.885331177519122e-06
<I₄z-1>,5,0.9969,0.9969,0.5360644550258421,4.413886777267291e-05,0.0004508307036716162,0.00010783547211844877,5.367235725635666e-06
<E_z>,7,1.7593,1.7593,0.2660001165882321,0.0002255425474128964,0.0004235504264600175,8.233308646322385e-05,3.6447359499932155e-06
<I₄θ-1>,2,0.27265,0.27265,0.7559688217955531,-0.00012858810361537595,0.00031062313897951507,5.445285927162236e-05,2.2870737437351723e-06
b_z E_z²,12,2.8850238162903126,2.8850238162903126,0.10209554684488353,1.2756561605584214e-05,0.00019098516960581517,2.4773983025589283e-05,1.3379251748707558e-06
I₂-3,4,0.13947,0.13947,0.9422060648136731,9.65196163165231e-06,0.00020587534571531253,1.9371637260525997e-05,8.558012471783936e-07
<I₂-3>ln(1+<I₂-3>),3,0.066419,0.066419,0.921789225442432,1.9746180467573204e-06,0.000103797276915196,4.1580799303215565e-06,1.7319204434145244e-07
b_th E_θ²,12,0.17602859198843973,0.17602859198843973,0.23507090933076447,1.1883488824828168e-05,8.028349297396195e-05,2.5588424024783473e-06,1.149348309966097e-07
exp(<I₄z-1>)-1,2,0.016099,0.016099,2.5540103603888507,3.7829475657910838e-06,3.3611635585068226e-05,5.24001183206459e-07,2.5406315677756596e-08
<I₂-3>·<E_z>,3,0.062301,0.062301,0.3255028012746668,6.84548407385707e-07,2.4982724406754653e-05,2.9251021796930825e-07,1.3219612928356376e-08
I₁-3,3,0.012798,0.012798,0.6636456160840022,6.680973350978212e-07,1.1654285818155036e-05,8.279149971797418e-08,3.56594154223551e-09
<I₁-3>·<E_θ>,1,0.01412,0.01412,0.3914559095695377,5.590792620002798e-07,9.425225369422702e-06,4.372275628735376e-08,1.6516686157091122e-09
(<I₄D2-1>)³,2,0.023564,0.023564,0.32993577550816144,4.521793996168843e-07,4.614314219479408e-06,1.4022096174560332e-08,7.65238869118686e-10
(<I₄D1-1>)³,1,0.023572,0.023572,0.32993577550816144,2.4163345862052265e-07,4.739106572385332e-06,1.3982038060667762e-08,7.27034146081838e-10
(<I₄z-1>)³,1,0.018348,0.018348,0.3329678335366932,-3.935869888532632e-07,4.014847724553037e-06,8.40169938377399e-09,4.410610655975965e-10
<I₄z-1>·<I₄D2-1>,1,0.0075835,0.0075835,0.40210791185734535,5.146980489041915e-07,2.0240578681254095e-06,2.672534457795854e-09,1.1103617213635266e-10
<I₄z-1>·<E_z>,2,0.012173,0.012173,0.2003430238772246,-4.04051255738182e-07,1.8660425499692453e-06,1.6899654026487778e-09,9.073484537645561e-11
<I₁-3>·<E_z>,1,0.0020865,0.0020865,0.21596906530286145,-2.1357655444829942e-07,5.770021073807875e-07,1.4398324392228348e-10,5.669867749964279e-12
