name,n_specimens,obs_max_coeff_raw,weight_bound,psi_grid_rms,S1,S1_conf,ST,ST_conf
exp(<I₄z-1>)-1,2,0.016099,1.0,2.5540103603888507,-0.007633206473923266,0.0136275820940878,0.10451702529461955,0.005653629903497981
<I₁-3>·<E_z>,1,0.0020865,1.0,0.21596906530286145,-0.00024866156077541087,0.013949372661957999,0.10436015647691403,0.005691493942848382
<I₄D1-1>,4,1.1688,1.0,0.5351642359400264,-0.0034712415066274166,0.014563170469006763,0.10422346507835048,0.006326402497223854
b_z E_z²,12,2.8850238162903126,1.0,0.10209554684488353,-0.0013867314679699375,0.014912725121158415,0.10413963237876468,0.0062584212650793275
<E_z>,7,1.7593,1.0,0.2660001165882321,0.0009533978616570535,0.013551574544390328,0.10269003076348387,0.0058349225139952225
<I₄z-1>·<E_z>,2,0.012173,1.0,0.2003430238772246,-0.0010365608808492713,0.014570659571076134,0.10165500955149723,0.006041651236316464
I₈D1D2,12,3.0141,1.0,1.4612574132160296,-0.012455892158259027,0.01594501790340522,0.10134023985893088,0.005673162419960393
<I₄z-1>·<I₄D2-1>,1,0.0075835,1.0,0.40210791185734535,-0.0041097898038267395,0.012818620334768535,0.10129222903111706,0.006136995281673014
<I₄z-1>,5,0.9969,1.0,0.5360644550258421,-0.0011042929143529757,0.014337316749279681,0.1010574472817761,0.0051785042848757805
(<I₄z-1>)³,1,0.018348,1.0,0.3329678335366932,0.0023819232191947494,0.015016880856885816,0.1001552854446588,0.006058535391407689
<I₄D2-1>,4,1.0702,1.0,0.5351642359400264,0.008477285228198734,0.013747757577676503,0.1000706533835874,0.005803773257292474
(<I₄D1-1>)³,1,0.023572,1.0,0.32993577550816144,-0.010230922437255556,0.012639269574928863,0.09992408815916201,0.005376491794666512
(<I₄D2-1>)³,2,0.023564,1.0,0.32993577550816144,-0.003977862538089166,0.014741809058034419,0.0996520200892135,0.005599563519799905
<I₂-3>·<E_z>,3,0.062301,1.0,0.3255028012746668,-0.001400726576074325,0.01331671668408831,0.09497057752285654,0.005122236308681114
I₂-3,4,0.13947,1.0,0.9422060648136731,0.013280197354251944,0.013725845514242798,0.0919232864557994,0.005713871056988744
I₁-3,3,0.012798,1.0,0.6636456160840022,0.007351429508206302,0.01393561083612491,0.09026213409239862,0.0054239254927372724
<I₂-3>ln(1+<I₂-3>),3,0.066419,1.0,0.921789225442432,0.0025334042379345422,0.01298864442216241,0.08950065548459632,0.005274555794969065
b_θz <E_θ><E_z>,12,13.012938509748402,1.0,0.10258517767266145,0.007362978721422559,0.01349538826745213,0.08887203975064309,0.0046867333535151245
<I₁-3>·<E_θ>,1,0.01412,1.0,0.3914559095695377,-0.007797559091053378,0.011885074016253936,0.08332414130275212,0.005587795502937842
<I₄θ-1>,2,0.27265,1.0,0.7559688217955531,-0.004153625210456809,0.010802535040345954,0.07266944244238036,0.004663696232553744
b_th E_θ²,12,0.17602859198843973,1.0,0.23507090933076447,0.0079999652712637,0.012579291328004165,0.07255505090661472,0.0049125291285559754
<E_θ>,4,1.1852,1.0,0.3762115700590765,0.011191772537506632,0.011878324427846879,0.07211487563474049,0.004396364672939358
(<I₄θ-1>)³,2,39.438,1.0,1.2645736100006353,-0.004281547470210202,0.010676046273201872,0.0676641779824481,0.004160213187359328
