name,n_specimens,obs_max_coeff_raw,weight_bound,psi_grid_rms,S1,S1_conf,ST,ST_conf
exp(<I₄z-1>)-1,2,0.016099,1.0,2.5540103603888507,0.1727509283907333,0.040112561597594534,0.6955575091443481,0.033721524715445844
I₈D1D2,12,3.0141,1.0,1.4612574132160296,0.021894796539173225,0.024358059485997053,0.3145913680047269,0.014722698257445774
(<I₄θ-1>)³,2,39.438,1.0,1.2645736100006353,0.015275940257830743,0.017900593916116262,0.14342999706696605,0.008960981154130054
I₂-3,4,0.13947,1.0,0.9422060648136731,-0.001359737226196627,0.01607909124440321,0.14069297682322812,0.008132701375929354
<I₂-3>ln(1+<I₂-3>),3,0.066419,1.0,0.921789225442432,0.0002096973579779706,0.01676811803858215,0.11619405813460026,0.006056619081983511
<I₄θ-1>,2,0.27265,1.0,0.7559688217955531,-0.0025231803831910877,0.01194754123411302,0.07557444028237721,0.004202231091163355
I₁-3,3,0.012798,1.0,0.6636456160840022,-0.0011036960076510243,0.011499871159294807,0.07280603657611741,0.0038124995182411787
<I₄D1-1>,4,1.1688,1.0,0.5351642359400264,0.008477729273785945,0.009945708294406011,0.055761139280595826,0.0029161213971899175
<I₄z-1>,5,0.9969,1.0,0.5360644550258421,0.00853155270078312,0.010657107668417314,0.055451153593288185,0.0028534697613418073
<I₄D2-1>,4,1.0702,1.0,0.5351642359400264,0.0021357940138454832,0.009336344958071029,0.055143951403525744,0.002859963186988344
<I₄z-1>·<I₄D2-1>,1,0.0075835,1.0,0.40210791185734535,0.003809147494132671,0.0071155537458405995,0.0302431251126438,0.001655730990753676
<I₁-3>·<E_θ>,1,0.01412,1.0,0.3914559095695377,0.005163101415584423,0.006831214212845871,0.021970648897964976,0.0012891151636532149
(<I₄z-1>)³,1,0.018348,1.0,0.3329678335366932,-0.0022856809255525573,0.006182634369551026,0.019995748678416914,0.0010013193542486125
(<I₄D2-1>)³,2,0.023564,1.0,0.32993577550816144,-0.002035153199312027,0.0071175847144787354,0.019973019146946217,0.0011654593882243485
<E_θ>,4,1.1852,1.0,0.3762115700590765,-0.003913678172109808,0.005998273001116578,0.01994235129022927,0.0010899238292550364
(<I₄D1-1>)³,1,0.023572,1.0,0.32993577550816144,0.002754058412371189,0.005996881104936947,0.019725753473741704,0.0010570478744819092
<I₂-3>·<E_z>,3,0.062301,1.0,0.3255028012746668,-0.002342259192395811,0.0054509984231345485,0.017394855466689608,0.0008995844896499462
<E_z>,7,1.7593,1.0,0.2660001165882321,-0.004179909150278342,0.0046086478338173715,0.013746923675075785,0.0007735675036779464
<I₁-3>·<E_z>,1,0.0020865,1.0,0.21596906530286145,-0.0011866777138878888,0.003757080927452006,0.008345698330178064,0.0004901091203425499
<I₄z-1>·<E_z>,2,0.012173,1.0,0.2003430238772246,-0.0017918984993492855,0.003556634336967159,0.0077318266334211756,0.000385905510211233
b_th E_θ²,12,0.17602859198843973,1.0,0.23507090933076447,-0.0010769519934001048,0.0034840695277130232,0.007656716519983406,0.00040590283691094374
b_z E_z²,12,2.8850238162903126,1.0,0.10209554684488353,-0.00014986264349649118,0.0016119926684918745,0.002042191183366763,0.00011484246928042105
b_θz <E_θ><E_z>,12,13.012938509748402,1.0,0.10258517767266145,0.0005392247268675493,0.0018448537465450194,0.0016004755631789597,8.978871571691232e-05
