name,n_specimens,obs_max_coeff_raw,weight_bound,psi_grid_rms,S1,S1_conf,ST,ST_conf
(<I₄θ-1>)³,2,39.438,39.438,1.1677690162700807,0.9781401983460268,0.06846254194277411,1.0026130171793821,0.05687658331678948
I₈D1D2,12,3.0141,3.0141,1.7641555458471936,-0.0027690923940140305,0.009296186683617947,0.011621736826695258,0.00085676917709346
b_θz <E_θ><E_z>,12,13.012938509748402,13.012938509748402,0.14893990309323696,-0.021530987503583086,0.0053435336455837056,0.003940158780886546,0.0003296094960957568
<I₄D1-1>,4,1.1688,1.1688,0.8560688222569603,0.0004890032505061596,0.0018098310114790879,0.000393260547732344,4.625318319569955e-05
<I₄D2-1>,4,1.0702,1.0702,0.8560688222569603,0.0005935334343278861,0.0016118667254202213,0.0003546610034856458,4.16026615598689e-05
<I₄z-1>,5,0.9969,0.9969,0.8607070715214403,-0.00012834633275746947,0.0013765065254884475,0.0003067695944207641,3.248344539432255e-05
<E_θ>,4,1.1852,1.1852,0.3412201788229673,8.877076868606186e-05,0.001233073715452406,0.00024368968501918548,2.1046402302328967e-05
<E_z>,7,1.7593,1.7593,0.42830892821976496,0.0002505679565727756,0.0012135861002208579,0.00023019513353508738,2.640417750119361e-05
b_z E_z²,12,2.8850238162903126,2.8850238162903126,0.2648997905751361,-2.805723599227596e-06,0.0011381226876745751,0.00017426402477030146,1.6387117308163015e-05
<I₄θ-1>,2,0.27265,0.27265,0.6856164468221618,-4.6459997723210457e-05,0.0006412752413720739,5.239898771376559e-05,3.855032416335943e-06
I₂-3,4,0.13947,0.13947,1.2743951020732747,-8.735523910736641e-05,0.00045340277196975076,3.438471190891656e-05,3.058216512043213e-06
<I₂-3>ln(1+<I₂-3>),3,0.066419,0.066419,1.5330581156042429,-2.0501213395168417e-05,0.0003048462657216531,1.1439817772646648e-05,9.232067910578049e-07
exp(<I₄z-1>)-1,2,0.016099,0.016099,8.189639648539492,-2.9685858268452854e-05,0.00017673287454474047,4.902085488483395e-06,5.883935687105414e-07
b_th E_θ²,12,0.17602859198843973,0.17602859198843973,0.2178398580996501,-3.125318754830067e-05,0.0001464833351903561,2.4920641162221082e-06,2.1695819141253766e-07
<I₂-3>·<E_z>,3,0.062301,0.062301,0.7359132769839796,3.650008323106647e-06,0.00010170814146638018,1.5128294491890022e-06,1.3534921780652068e-07
(<I₄D1-1>)³,1,0.023572,0.023572,1.3881228780769788,-6.568823307930022e-05,5.032874631109395e-05,2.8773785795692157e-07,4.0054930874414413e-08
(<I₄D2-1>)³,2,0.023564,0.023564,1.3881228780769788,-8.075123245077036e-06,4.522334545912777e-05,2.761271550458714e-07,3.21391477563652e-08
(<I₄z-1>)³,1,0.018348,0.018348,1.4130084578193096,1.885586434548077e-06,3.639353842582333e-05,1.6922115803449433e-07,2.0440565752197386e-08
I₁-3,3,0.012798,0.012798,0.8495259948661691,-2.7411715036006584e-06,3.1905294795083595e-05,1.2376402282703614e-07,1.0324790233554518e-08
<I₁-3>·<E_θ>,1,0.01412,0.01412,0.4467008862520879,-1.7273462607852358e-06,2.0734197703205425e-05,6.239989151809925e-08,4.8384296267549175e-09
<I₄z-1>·<I₄D2-1>,1,0.0075835,0.0075835,1.0452085254672614,5.053136606276222e-07,1.306829519056184e-05,1.9381748597336042e-08,2.0482413554584176e-09
<I₄z-1>·<E_z>,2,0.012173,0.012173,0.5236060919660387,-8.832559427974821e-07,9.074692500237644e-06,1.2840221992229011e-08,1.6537138973160258e-09
<I₁-3>·<E_z>,1,0.0020865,0.0020865,0.4709785430969416,1.0953016987135769e-08,2.2743385023517953e-06,6.24815221851372e-10,5.410363521215886e-11
